process_id,bundle_id,family,selector_recipe_ids,primary_target,eligible,replacement_allowed
R7R__RB00__RIDGE,RB00,positive_ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,Y5,true,false
R7R__RB00__GAM,RB00,additive_spline_ridge,GAM_K3_A1|GAM_K3_A10|GAM_K5_A1|GAM_K5_A10,Y5,true,false
R7R__RB00__LGBM,RB00,monotone_lightgbm,LGBM_D1_N50|LGBM_D1_N100|LGBM_D2_N50|LGBM_D2_N100,Y5,true,false
R7R__RB01__RIDGE,RB01,positive_ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,Y5,true,false
R7R__RB01__GAM,RB01,additive_spline_ridge,GAM_K3_A1|GAM_K3_A10|GAM_K5_A1|GAM_K5_A10,Y5,true,false
R7R__RB01__LGBM,RB01,monotone_lightgbm,LGBM_D1_N50|LGBM_D1_N100|LGBM_D2_N50|LGBM_D2_N100,Y5,true,false
R7R__RB02__RIDGE,RB02,positive_ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,Y5,true,false
R7R__RB02__GAM,RB02,additive_spline_ridge,GAM_K3_A1|GAM_K3_A10|GAM_K5_A1|GAM_K5_A10,Y5,true,false
R7R__RB02__LGBM,RB02,monotone_lightgbm,LGBM_D1_N50|LGBM_D1_N100|LGBM_D2_N50|LGBM_D2_N100,Y5,true,false
R7R__RB03__RIDGE,RB03,positive_ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,Y5,true,false
R7R__RB03__GAM,RB03,additive_spline_ridge,GAM_K3_A1|GAM_K3_A10|GAM_K5_A1|GAM_K5_A10,Y5,true,false
R7R__RB03__LGBM,RB03,monotone_lightgbm,LGBM_D1_N50|LGBM_D1_N100|LGBM_D2_N50|LGBM_D2_N100,Y5,true,false
R7R__RB04__RIDGE,RB04,positive_ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,Y5,true,false
R7R__RB04__GAM,RB04,additive_spline_ridge,GAM_K3_A1|GAM_K3_A10|GAM_K5_A1|GAM_K5_A10,Y5,true,false
R7R__RB04__LGBM,RB04,monotone_lightgbm,LGBM_D1_N50|LGBM_D1_N100|LGBM_D2_N50|LGBM_D2_N100,Y5,true,false
R7R__RB05__RIDGE,RB05,positive_ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,Y5,true,false
R7R__RB05__GAM,RB05,additive_spline_ridge,GAM_K3_A1|GAM_K3_A10|GAM_K5_A1|GAM_K5_A10,Y5,true,false
R7R__RB05__LGBM,RB05,monotone_lightgbm,LGBM_D1_N50|LGBM_D1_N100|LGBM_D2_N50|LGBM_D2_N100,Y5,true,false
R7R__RB06__RIDGE,RB06,positive_ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,Y5,true,false
R7R__RB06__GAM,RB06,additive_spline_ridge,GAM_K3_A1|GAM_K3_A10|GAM_K5_A1|GAM_K5_A10,Y5,true,false
R7R__RB06__LGBM,RB06,monotone_lightgbm,LGBM_D1_N50|LGBM_D1_N100|LGBM_D2_N50|LGBM_D2_N100,Y5,true,false
R7R__RB07__RIDGE,RB07,positive_ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,Y5,true,false
R7R__RB07__GAM,RB07,additive_spline_ridge,GAM_K3_A1|GAM_K3_A10|GAM_K5_A1|GAM_K5_A10,Y5,true,false
R7R__RB07__LGBM,RB07,monotone_lightgbm,LGBM_D1_N50|LGBM_D1_N100|LGBM_D2_N50|LGBM_D2_N100,Y5,true,false
R7R__RB08__RIDGE,RB08,positive_ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,Y5,true,false
R7R__RB08__GAM,RB08,additive_spline_ridge,GAM_K3_A1|GAM_K3_A10|GAM_K5_A1|GAM_K5_A10,Y5,true,false
R7R__RB08__LGBM,RB08,monotone_lightgbm,LGBM_D1_N50|LGBM_D1_N100|LGBM_D2_N50|LGBM_D2_N100,Y5,true,false
