comparison_id,family,candidate_process_id,parent_process_id,frequency_scope,primary_endpoint,predictive_endpoint,gate_profile,bh_family_size_per_frequency,promotion_authority
PAIR__UNI_RIDGE__XS001_MOM_255_0,paired_promotion,UNI_RIDGE__XS001_MOM_255_0,RAW__XS001_MOM_255_0,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS002_MOM_12_1,paired_promotion,UNI_RIDGE__XS002_MOM_12_1,RAW__XS002_MOM_12_1,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS003_MOM_12_7,paired_promotion,UNI_RIDGE__XS003_MOM_12_7,RAW__XS003_MOM_12_7,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS004_HIGH_52W,paired_promotion,UNI_RIDGE__XS004_HIGH_52W,RAW__XS004_HIGH_52W,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS007_ST_REV_21,paired_promotion,UNI_RIDGE__XS007_ST_REV_21,RAW__XS007_ST_REV_21,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS008_SAME_MONTH_5Y,paired_promotion,UNI_RIDGE__XS008_SAME_MONTH_5Y,RAW__XS008_SAME_MONTH_5Y,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS013_LOW_BETA_FP,paired_promotion,UNI_RIDGE__XS013_LOW_BETA_FP,RAW__XS013_LOW_BETA_FP,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS015_MAX_21,paired_promotion,UNI_RIDGE__XS015_MAX_21,RAW__XS015_MAX_21,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS018_AMIHUD_252,paired_promotion,UNI_RIDGE__XS018_AMIHUD_252,RAW__XS018_AMIHUD_252,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS019_PRICE_DELAY_52W,paired_promotion,UNI_RIDGE__XS019_PRICE_DELAY_52W,RAW__XS019_PRICE_DELAY_52W,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS020_VOLUME_SHOCK_50D,paired_promotion,UNI_RIDGE__XS020_VOLUME_SHOCK_50D,RAW__XS020_VOLUME_SHOCK_50D,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS032_GROSS_PROFIT_AT,paired_promotion,UNI_RIDGE__XS032_GROSS_PROFIT_AT,RAW__XS032_GROSS_PROFIT_AT,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS041_ASSET_GROWTH,paired_promotion,UNI_RIDGE__XS041_ASSET_GROWTH,RAW__XS041_ASSET_GROWTH,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_RIDGE__XS056_CFO_ACCRUALS_PT,paired_promotion,UNI_RIDGE__XS056_CFO_ACCRUALS_PT,RAW__XS056_CFO_ACCRUALS_PT,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS001_MOM_255_0,paired_promotion,UNI_LGBM__XS001_MOM_255_0,RAW__XS001_MOM_255_0,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS002_MOM_12_1,paired_promotion,UNI_LGBM__XS002_MOM_12_1,RAW__XS002_MOM_12_1,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS003_MOM_12_7,paired_promotion,UNI_LGBM__XS003_MOM_12_7,RAW__XS003_MOM_12_7,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS004_HIGH_52W,paired_promotion,UNI_LGBM__XS004_HIGH_52W,RAW__XS004_HIGH_52W,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS007_ST_REV_21,paired_promotion,UNI_LGBM__XS007_ST_REV_21,RAW__XS007_ST_REV_21,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS008_SAME_MONTH_5Y,paired_promotion,UNI_LGBM__XS008_SAME_MONTH_5Y,RAW__XS008_SAME_MONTH_5Y,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS013_LOW_BETA_FP,paired_promotion,UNI_LGBM__XS013_LOW_BETA_FP,RAW__XS013_LOW_BETA_FP,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS015_MAX_21,paired_promotion,UNI_LGBM__XS015_MAX_21,RAW__XS015_MAX_21,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS018_AMIHUD_252,paired_promotion,UNI_LGBM__XS018_AMIHUD_252,RAW__XS018_AMIHUD_252,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS019_PRICE_DELAY_52W,paired_promotion,UNI_LGBM__XS019_PRICE_DELAY_52W,RAW__XS019_PRICE_DELAY_52W,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS020_VOLUME_SHOCK_50D,paired_promotion,UNI_LGBM__XS020_VOLUME_SHOCK_50D,RAW__XS020_VOLUME_SHOCK_50D,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS032_GROSS_PROFIT_AT,paired_promotion,UNI_LGBM__XS032_GROSS_PROFIT_AT,RAW__XS032_GROSS_PROFIT_AT,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS041_ASSET_GROWTH,paired_promotion,UNI_LGBM__XS041_ASSET_GROWTH,RAW__XS041_ASSET_GROWTH,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
PAIR__UNI_LGBM__XS056_CFO_ACCRUALS_PT,paired_promotion,UNI_LGBM__XS056_CFO_ACCRUALS_PT,RAW__XS056_CFO_ACCRUALS_PT,weekly|monthly,top20_primary_cost_period_relative_log_increment,mean_date_rank_ic_increment,paired_promotion,39,true
