bundle_id,bundle_type,factor_ids,factor_count,state_ids,state_count,role5,all14,rsp_included,rsp_ablation_of,paired_factor_only_bundle_id,common_universe_id
ATOM_XS001_MOM_255_0,atomic,XS001_MOM_255_0,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS002_MOM_12_1,atomic,XS002_MOM_12_1,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS003_MOM_12_7,atomic,XS003_MOM_12_7,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS004_HIGH_52W,atomic,XS004_HIGH_52W,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS007_ST_REV_21,atomic,XS007_ST_REV_21,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS008_SAME_MONTH_5Y,atomic,XS008_SAME_MONTH_5Y,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS013_LOW_BETA_FP,atomic,XS013_LOW_BETA_FP,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS015_MAX_21,atomic,XS015_MAX_21,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS018_AMIHUD_252,atomic,XS018_AMIHUD_252,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS019_PRICE_DELAY_52W,atomic,XS019_PRICE_DELAY_52W,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS020_VOLUME_SHOCK_50D,atomic,XS020_VOLUME_SHOCK_50D,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS032_GROSS_PROFIT_AT,atomic,XS032_GROSS_PROFIT_AT,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS041_ASSET_GROWTH,atomic,XS041_ASSET_GROWTH,1,,0,false,false,false,,,COMMON10_OF_14
ATOM_XS056_CFO_ACCRUALS_PT,atomic,XS056_CFO_ACCRUALS_PT,1,,0,false,false,false,,,COMMON10_OF_14
ROLE5,factor_only,XS002_MOM_12_1|XS003_MOM_12_7|XS008_SAME_MONTH_5Y|XS041_ASSET_GROWTH|XS056_CFO_ACCRUALS_PT,5,,0,true,false,false,,,COMMON10_OF_14
ALL14,factor_only,XS001_MOM_255_0|XS002_MOM_12_1|XS003_MOM_12_7|XS004_HIGH_52W|XS007_ST_REV_21|XS008_SAME_MONTH_5Y|XS013_LOW_BETA_FP|XS015_MAX_21|XS018_AMIHUD_252|XS019_PRICE_DELAY_52W|XS020_VOLUME_SHOCK_50D|XS032_GROSS_PROFIT_AT|XS041_ASSET_GROWTH|XS056_CFO_ACCRUALS_PT,14,,0,false,true,false,,,COMMON10_OF_14
DIM6_ALL14,factor_only_static,XS001_MOM_255_0|XS002_MOM_12_1|XS003_MOM_12_7|XS004_HIGH_52W|XS007_ST_REV_21|XS008_SAME_MONTH_5Y|XS013_LOW_BETA_FP|XS015_MAX_21|XS018_AMIHUD_252|XS019_PRICE_DELAY_52W|XS020_VOLUME_SHOCK_50D|XS032_GROSS_PROFIT_AT|XS041_ASSET_GROWTH|XS056_CFO_ACCRUALS_PT,14,,0,false,true,false,,,COMMON10_OF_14
ROLE5_S2,factor_state,XS002_MOM_12_1|XS003_MOM_12_7|XS008_SAME_MONTH_5Y|XS041_ASSET_GROWTH|XS056_CFO_ACCRUALS_PT,5,MKT_TREND126|MKT_BREADTH_RSP63,2,true,false,true,,ROLE5,COMMON10_OF_14
ROLE5_S1_NO_RSP,factor_state,XS002_MOM_12_1|XS003_MOM_12_7|XS008_SAME_MONTH_5Y|XS041_ASSET_GROWTH|XS056_CFO_ACCRUALS_PT,5,MKT_TREND126,1,true,false,false,ROLE5_S2,ROLE5,COMMON10_OF_14
ALL14_S6,factor_state,XS001_MOM_255_0|XS002_MOM_12_1|XS003_MOM_12_7|XS004_HIGH_52W|XS007_ST_REV_21|XS008_SAME_MONTH_5Y|XS013_LOW_BETA_FP|XS015_MAX_21|XS018_AMIHUD_252|XS019_PRICE_DELAY_52W|XS020_VOLUME_SHOCK_50D|XS032_GROSS_PROFIT_AT|XS041_ASSET_GROWTH|XS056_CFO_ACCRUALS_PT,14,MKT_TREND126|MKT_LOG_RV21|MKT_DD252_SEVERITY|MKT_BREADTH_RSP63|MKT_XS_DISP21|MKT_AVG_CORR63,6,false,true,true,,ALL14,COMMON10_OF_14
ALL14_S5_NO_RSP,factor_state,XS001_MOM_255_0|XS002_MOM_12_1|XS003_MOM_12_7|XS004_HIGH_52W|XS007_ST_REV_21|XS008_SAME_MONTH_5Y|XS013_LOW_BETA_FP|XS015_MAX_21|XS018_AMIHUD_252|XS019_PRICE_DELAY_52W|XS020_VOLUME_SHOCK_50D|XS032_GROSS_PROFIT_AT|XS041_ASSET_GROWTH|XS056_CFO_ACCRUALS_PT,14,MKT_TREND126|MKT_LOG_RV21|MKT_DD252_SEVERITY|MKT_XS_DISP21|MKT_AVG_CORR63,5,false,true,false,ALL14_S6,ALL14,COMMON10_OF_14
