process_id,layer,bundle_id,family,selector_recipe_ids,annual_recipe_selection,recipe_inherit_from,refit_rule,training_memory,target_id,frequency_scope,common_universe_id,primary_candidate,no_rsp_diagnostic,eligible
RAW__XS001_MOM_255_0,raw_control,ATOM_XS001_MOM_255_0,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS002_MOM_12_1,raw_control,ATOM_XS002_MOM_12_1,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS003_MOM_12_7,raw_control,ATOM_XS003_MOM_12_7,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS004_HIGH_52W,raw_control,ATOM_XS004_HIGH_52W,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS007_ST_REV_21,raw_control,ATOM_XS007_ST_REV_21,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS008_SAME_MONTH_5Y,raw_control,ATOM_XS008_SAME_MONTH_5Y,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS013_LOW_BETA_FP,raw_control,ATOM_XS013_LOW_BETA_FP,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS015_MAX_21,raw_control,ATOM_XS015_MAX_21,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS018_AMIHUD_252,raw_control,ATOM_XS018_AMIHUD_252,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS019_PRICE_DELAY_52W,raw_control,ATOM_XS019_PRICE_DELAY_52W,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS020_VOLUME_SHOCK_50D,raw_control,ATOM_XS020_VOLUME_SHOCK_50D,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS032_GROSS_PROFIT_AT,raw_control,ATOM_XS032_GROSS_PROFIT_AT,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS041_ASSET_GROWTH,raw_control,ATOM_XS041_ASSET_GROWTH,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
RAW__XS056_CFO_ACCRUALS_PT,raw_control,ATOM_XS056_CFO_ACCRUALS_PT,direct_rank,DIRECT_RANK,false,,none,none,NONE,weekly|monthly,COMMON10_OF_14,true,false,true
UNI_RIDGE__XS001_MOM_255_0,single_factor_model,ATOM_XS001_MOM_255_0,ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,true,,monthly_refit_annual_recipe_freeze,latest_260_weekly_or_60_monthly_complete_dates,Y_XS_FREQ_RANK,weekly|monthly,COMMON10_OF_14,true,false,true
UNI_RIDGE__XS002_MOM_12_1,single_factor_model,ATOM_XS002_MOM_12_1,ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,true,,monthly_refit_annual_recipe_freeze,latest_260_weekly_or_60_monthly_complete_dates,Y_XS_FREQ_RANK,weekly|monthly,COMMON10_OF_14,true,false,true
UNI_RIDGE__XS003_MOM_12_7,single_factor_model,ATOM_XS003_MOM_12_7,ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,true,,monthly_refit_annual_recipe_freeze,latest_260_weekly_or_60_monthly_complete_dates,Y_XS_FREQ_RANK,weekly|monthly,COMMON10_OF_14,true,false,true
UNI_RIDGE__XS004_HIGH_52W,single_factor_model,ATOM_XS004_HIGH_52W,ridge,RIDGE_A01|RIDGE_A1|RIDGE_A10|RIDGE_A100,true,,monthly_refit_annual_recipe_freeze,latest_260_weekly_or_60_monthly_complete_dates,Y_XS_FREQ_RANK,weekly|monthly,COMMON10_OF_14,true,false,true
