process_id,layer,family,recipe_id,state_bundle,parent_process,rsp_twin,primary_candidate
STATIC_EQ10,static,static_equal,STATIC_EQ10,,, ,true
STATIC_DIM5,static,static_dimension_equal,STATIC_DIM5,,, ,true
FO_RIDGE_A01,factor_only,ridge,RIDGE_A01,,STATIC_DIM5,,true
FO_RIDGE_A1,factor_only,ridge,RIDGE_A1,,STATIC_DIM5,,true
FO_RIDGE_A10,factor_only,ridge,RIDGE_A10,,STATIC_DIM5,,true
FO_RIDGE_A100,factor_only,ridge,RIDGE_A100,,STATIC_DIM5,,true
FO_LGBM_D1_N50,factor_only,lightgbm,LGBM_D1_N50,,STATIC_DIM5,,true
FO_LGBM_D1_N100,factor_only,lightgbm,LGBM_D1_N100,,STATIC_DIM5,,true
FO_LGBM_D2_N50,factor_only,lightgbm,LGBM_D2_N50,,STATIC_DIM5,,true
FO_LGBM_D2_N100,factor_only,lightgbm,LGBM_D2_N100,,STATIC_DIM5,,true
FS_RIDGE_A01_S2,state,ridge,RIDGE_A01,S2,FO_RIDGE_A01,FS_RIDGE_A01_S1,true
FS_RIDGE_A1_S2,state,ridge,RIDGE_A1,S2,FO_RIDGE_A1,FS_RIDGE_A1_S1,true
FS_RIDGE_A10_S2,state,ridge,RIDGE_A10,S2,FO_RIDGE_A10,FS_RIDGE_A10_S1,true
FS_RIDGE_A100_S2,state,ridge,RIDGE_A100,S2,FO_RIDGE_A100,FS_RIDGE_A100_S1,true
FS_RIDGE_A01_S1,state,ridge,RIDGE_A01,S1_NO_RSP,FO_RIDGE_A01,FS_RIDGE_A01_S2,true
FS_RIDGE_A1_S1,state,ridge,RIDGE_A1,S1_NO_RSP,FO_RIDGE_A1,FS_RIDGE_A1_S2,true
FS_RIDGE_A10_S1,state,ridge,RIDGE_A10,S1_NO_RSP,FO_RIDGE_A10,FS_RIDGE_A10_S2,true
FS_RIDGE_A100_S1,state,ridge,RIDGE_A100,S1_NO_RSP,FO_RIDGE_A100,FS_RIDGE_A100_S2,true
FS_RIDGE_A01_S6,state,ridge,RIDGE_A01,S6,FO_RIDGE_A01,FS_RIDGE_A01_S5,true
FS_RIDGE_A1_S6,state,ridge,RIDGE_A1,S6,FO_RIDGE_A1,FS_RIDGE_A1_S5,true
FS_RIDGE_A10_S6,state,ridge,RIDGE_A10,S6,FO_RIDGE_A10,FS_RIDGE_A10_S5,true
FS_RIDGE_A100_S6,state,ridge,RIDGE_A100,S6,FO_RIDGE_A100,FS_RIDGE_A100_S5,true
FS_RIDGE_A01_S5,state,ridge,RIDGE_A01,S5_NO_RSP,FO_RIDGE_A01,FS_RIDGE_A01_S6,true
FS_RIDGE_A1_S5,state,ridge,RIDGE_A1,S5_NO_RSP,FO_RIDGE_A1,FS_RIDGE_A1_S6,true
FS_RIDGE_A10_S5,state,ridge,RIDGE_A10,S5_NO_RSP,FO_RIDGE_A10,FS_RIDGE_A10_S6,true
FS_RIDGE_A100_S5,state,ridge,RIDGE_A100,S5_NO_RSP,FO_RIDGE_A100,FS_RIDGE_A100_S6,true
FS_LGBM_D2_N50_S2,state,lightgbm,LGBM_D2_N50,S2,FO_LGBM_D2_N50,FS_LGBM_D2_N50_S1,true
FS_LGBM_D2_N100_S2,state,lightgbm,LGBM_D2_N100,S2,FO_LGBM_D2_N100,FS_LGBM_D2_N100_S1,true
FS_LGBM_D2_N50_S1,state,lightgbm,LGBM_D2_N50,S1_NO_RSP,FO_LGBM_D2_N50,FS_LGBM_D2_N50_S2,true
FS_LGBM_D2_N100_S1,state,lightgbm,LGBM_D2_N100,S1_NO_RSP,FO_LGBM_D2_N100,FS_LGBM_D2_N100_S2,true
FS_LGBM_D2_N50_S6,state,lightgbm,LGBM_D2_N50,S6,FO_LGBM_D2_N50,FS_LGBM_D2_N50_S5,true
FS_LGBM_D2_N100_S6,state,lightgbm,LGBM_D2_N100,S6,FO_LGBM_D2_N100,FS_LGBM_D2_N100_S5,true
FS_LGBM_D2_N50_S5,state,lightgbm,LGBM_D2_N50,S5_NO_RSP,FO_LGBM_D2_N50,FS_LGBM_D2_N50_S6,true
FS_LGBM_D2_N100_S5,state,lightgbm,LGBM_D2_N100,S5_NO_RSP,FO_LGBM_D2_N100,FS_LGBM_D2_N100_S6,true
