sid,effective_from,effective_to,cik10,issuer_name,mapping_basis,evidence_url,review_status,notes
sec::BBWI,,,0000701985,Bath & Body Works Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/701985/000114036121026658/nt10026698x7_8k.htm,verified_override,"Same listed issuer through LB to BBWI; rejects ticker-reuse CIK 0001995807."
sec::BCR,,,0000009892,C. R. Bard Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/9892/000119312517383532/d489045dex991.htm,verified_override,Historical NYSE BCR issuer through the 2017 BD acquisition.
sec::BMS,,,0000011199,Bemis Company Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/11199/000001119919000006/bms-20181231x10kq4.htm,verified_override,Historical NYSE BMS issuer.
sec::CA,,,0000356028,CA Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/356028/000119312518317918/d631849d8k.htm,verified_override,"Computer Associates to CA name chain; rejects later ticker reuse."
sec::CAM,,,0000941548,Cameron International Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/941548/000110465916109460/a16-6473_2ex99d1.htm,verified_override,Historical NYSE CAM issuer through the 2016 Schlumberger merger.
sec::CCE,1998-01-01,2010-10-02,0000804055,Coca-Cola Enterprises Inc. (legacy),reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/804055/000134100410001684/form8k.htm,verified_override,Legacy CCE issuer before the 2010 transaction.
sec::CCE,2010-10-02,2016-05-28,0001491675,Coca-Cola Enterprises Inc. (successor),reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1491675/000119312516610069/d201852d8k.htm,verified_override,New CCE issuer through the 2016 CCEP combination.
sec::CMCSK,,,0001166691,Comcast Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1166691/000095010315009516/dp61838_ex9901.htm,verified_override,CMCSK was Comcast Class A Special and converted to CMCSA.
sec::COL,,,0001137411,Rockwell Collins Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1137411/000120677411002553/rockwellcollins_10k.htm,verified_override,Historical NYSE COL issuer.
sec::CSRA,,,0001646383,CSRA Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1646383/000164638316000336/csrafy1610-k.htm,verified_override,Historical NYSE CSRA issuer.
sec::DISCK,,,0001437107,Discovery Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1437107/000143710722000031/disca-20211231.htm,verified_override,Discovery Series C through the WBD conversion.
sec::DTV,2006-01-01,2009-11-20,0000944868,The DIRECTV Group Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/944868/000110465909065982/a09-33737_2s8pos.htm,verified_override,Pre-2009 DIRECTV issuer.
sec::DTV,2009-11-20,2015-07-25,0001465112,DIRECTV,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1465112/000104746914001182/0001047469-14-001182-index.htm,verified_override,Successor listed holding company through AT&T acquisition.
sec::DWDP,,,0001666700,DowDuPont Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000006/a2018dwdp10-k.htm,verified_override,DWDP issuer; later renamed DuPont under the same CIK.
sec::EMC,,,0000790070,EMC Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/790070/000119312516703391/d255971d8k.htm,verified_override,Historical EMC issuer through Dell acquisition.
sec::ENDP,,,0001593034,Endo International plc,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1593034/000159303417000039/0001593034-17-000039-index.html,verified_override,Post-reorganization Endo issuer for the frozen membership episode.
sec::ESV,,,0000314808,Ensco plc,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/314808/000031480814000026/0000314808-14-000026-index.htm,verified_override,Historical ESV issuer.
sec::GGP,,,0001496048,General Growth Properties Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1496048/000149604818000009/0001496048-18-000009-index.htm,verified_override,Post-bankruptcy GGP issuer; excludes legacy CIK 0000895648.
sec::HAR,2006-02-01,2017-03-13,0000800459,Harman International Industries Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/800459/000156459016024079/R1.htm,verified_override,Historical NYSE HAR issuer; single CIK through the Samsung acquisition.
sec::HOT,,,0000316206,Starwood Hotels & Resorts Worldwide Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/316206/000156459016013371/0001564590-16-013371-index.htm,verified_override,Historical HOT issuer through Marriott acquisition.
sec::HWM,,,0000004281,Howmet Aerospace Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/4281/000000428122000004/hwm-20211231.htm,verified_override,"Same listed issuer through AA to ARNC to HWM; rejects new Arconic CIK 0001790982."
sec::INFO,,,0001598014,IHS Markit Ltd.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1598014/000159801422000011/info-20211130.htm,verified_override,Historical NYSE INFO issuer.
sec::LVLT,,,0000794323,Level 3 Communications Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/794323/000119312517329395/d459582d8k.htm,verified_override,Historical LVLT issuer through CenturyLink acquisition.
