group_id,strategy_id,portfolio_mode,status,assessment,parent_id,supersedes_run_id,record_type
G00,G00__GRID__long_only,long_only,completed,valid_free_research_frozen_v3,,,grid_result
G00,G00__GRID__long_short,long_short,completed,valid_mechanism_control_weak_wml_frozen_v3,,,grid_result
G11,G11__GRID__long_only,long_only,completed,h1_failed_sharpe_cagr_worse_mdd_improved_18_of_18_frozen_v3,G00__GRID__long_only,,grid_result
G11,G11__GRID__long_short,long_short,completed,positive_continuous_scale_mechanism_robust_cost_borrow_stress_weak_absolute_performance_frozen_v3,G00__GRID__long_short,,grid_result
G12,G12__GRID__long_only,long_only,completed,h1_failed_sharpe_cagr_worse_mdd_improved_16_of_18_overinsured_frozen_v3,G00__GRID__long_only,,grid_result
G12,G12__GRID__long_short,long_short,completed,positive_continuous_scale_mechanism_204_of_216_stress_weak_absolute_performance_frozen_v3,G00__GRID__long_short,,grid_result
G13,G13__GRID__long_only,long_only,completed,h1_failed_sharpe_cagr_worse_mdd_improved_18_of_18_overinsured_frozen_v3,G00__GRID__long_only,,grid_result
G13,G13__GRID__long_short,long_short,completed,partial_continuous_scale_mechanism_mdd_robust_sharpe_cost_borrow_sensitive_weak_absolute_performance_frozen_v3,G00__GRID__long_short,,grid_result
G21,G21__GRID__long_only,long_only,completed,failed_mechanism_negative_control_frozen_v3,G00__GRID__long_only,,grid_result
G21,G21__GRID__long_short,long_short,completed,positive_wml_mechanism_weak_absolute_performance_frozen_v3,G00__GRID__long_short,,grid_result
G22,G22__GRID__long_only,long_only,completed,h1_failed_joint_4_of_36_mdd_worse_frozen_v3,G00__GRID__long_only,,grid_result
G22,G22__GRID__long_short,long_short,completed,partial_weekly_direct_reversal_mechanism_joint_23_of_36_monthly_threshold_missed_cost_sensitive_weak_absolute_frozen_v3,G00__GRID__long_short,,grid_result
G23,G23__GRID__long_only,long_only,completed,h1_failed_joint_0_of_36_sharpe_mdd_worse_frozen_v3,G00__GRID__long_only,,grid_result
G23,G23__GRID__long_short,long_short,completed,platform_supported_joint_33_of_36_frequency_pass_cost_borrow_sensitive_weak_absolute_frozen_v3,G00__GRID__long_short,,grid_result
G31,G31__GRID__long_only,long_only,completed,partial_mdd_improvement_h1_failed_frozen_v3,G00__GRID__long_only,,grid_result
G31,G31__GRID__long_short,long_short,completed,positive_derisk_mechanism_weak_absolute_performance_frozen_v3,G00__GRID__long_short,,grid_result
G32,G32__GRID__long_only,long_only,completed,h1_failed_sharpe_cagr_worse_mdd_mixed_frozen_v3,G00__GRID__long_only,,grid_result
G32,G32__GRID__long_short,long_short,completed,positive_derisk_mechanism_robust_cost_borrow_stress_weak_absolute_performance_frozen_v3,G00__GRID__long_short,,grid_result
G33,G33__GRID__long_only,long_only,completed,h1_failed_sharpe_cagr_worse_mdd_improved_18_of_18_frozen_v3,G00__GRID__long_only,,grid_result
G33,G33__GRID__long_short,long_short,completed,partial_derisk_mechanism_mdd_robust_sharpe_cost_borrow_sensitive_weak_absolute_performance_frozen_v3,G00__GRID__long_short,,grid_result
XS01,XS01__GRID__long_only,long_only,planned,not_run_on_frozen_v3,G00__GRID__long_only,,grid_registration
XS01,XS01__GRID__long_short,long_short,planned,not_run_on_frozen_v3,G00__GRID__long_short,,grid_registration
