arm_id,batch_id,family,process_id,status,hyperparameters,selection_target,feature_set
R2C__SENT_RV21,R2C_SPY_TBILL,sentinel,R2C__PROC_SENT_RV21,completed_rejected_no_simple_benchmark,score=log_spy_rv21,cash_wins_1w,sentinel
R2C__SENT_SMA_GAP,R2C_SPY_TBILL,sentinel,R2C__PROC_SENT_SMA_GAP,completed_rejected_no_simple_benchmark,score=negative_sma50_200_gap,cash_wins_1w,sentinel
R2C__SENT_DRAWDOWN252,R2C_SPY_TBILL,sentinel,R2C__PROC_SENT_DRAWDOWN252,completed_rejected_no_simple_benchmark,score=negative_drawdown252,cash_wins_1w,sentinel
R2C__SENT_RET21,R2C_SPY_TBILL,sentinel,R2C__PROC_SENT_RET21,completed_rejected_no_simple_benchmark,score=negative_spy_total_return_21d,cash_wins_1w,sentinel
R2C__RIDGE_L001,R2C_SPY_TBILL,ridge,R2C__PROC_RIDGE,completed_selector_rejected_no_simple_benchmark,l2_lambda=0.01,cash_wins_1w,core
R2C__RIDGE_L01,R2C_SPY_TBILL,ridge,R2C__PROC_RIDGE,completed_selector_rejected_no_simple_benchmark,l2_lambda=0.1,cash_wins_1w,core
R2C__RIDGE_L1,R2C_SPY_TBILL,ridge,R2C__PROC_RIDGE,completed_selector_rejected_no_simple_benchmark,l2_lambda=1,cash_wins_1w,core
R2C__RIDGE_L10,R2C_SPY_TBILL,ridge,R2C__PROC_RIDGE,completed_selector_rejected_no_simple_benchmark,l2_lambda=10,cash_wins_1w,core
R2C__GAM_L01,R2C_SPY_TBILL,gam,R2C__PROC_GAM,completed_selector_rejected_no_simple_benchmark,l2_lambda=0.1;n_knots=3;degree=2,cash_wins_1w,core
R2C__GAM_L1,R2C_SPY_TBILL,gam,R2C__PROC_GAM,completed_selector_rejected_no_simple_benchmark,l2_lambda=1;n_knots=3;degree=2,cash_wins_1w,core
R2C__GAM_L10,R2C_SPY_TBILL,gam,R2C__PROC_GAM,completed_selector_rejected_no_simple_benchmark,l2_lambda=10;n_knots=3;degree=2,cash_wins_1w,core
R2C__RF_D3,R2C_SPY_TBILL,random_forest,R2C__PROC_RF,not_opened_by_preregistered_gate,n_estimators=1000;max_depth=3;min_leaf=0.10,cash_wins_1w,core
R2C__XGB_D1N25,R2C_SPY_TBILL,xgboost,R2C__PROC_XGB,not_opened_by_preregistered_gate,max_depth=1;n_estimators=25,cash_wins_1w,core
R2C__XGB_D1N75,R2C_SPY_TBILL,xgboost,R2C__PROC_XGB,not_opened_by_preregistered_gate,max_depth=1;n_estimators=75,cash_wins_1w,core
R2C__XGB_D2N25,R2C_SPY_TBILL,xgboost,R2C__PROC_XGB,not_opened_by_preregistered_gate,max_depth=2;n_estimators=25,cash_wins_1w,core
R2C__XGB_D2N75,R2C_SPY_TBILL,xgboost,R2C__PROC_XGB,not_opened_by_preregistered_gate,max_depth=2;n_estimators=75,cash_wins_1w,core
R2C__HMM2,R2C_SPY_TBILL,hmm,R2C__PROC_HMM2,not_opened_by_preregistered_gate,n_states=2;covariance=diag;restarts=10,cash_wins_1w,hmm_observations
