override_id,sid,start_date,end_date,interval_type,reason,evidence,notes
halt_sivb_20230310_20230327,sec::SIVB,2023-03-10,2023-03-27,closed,known_trading_halt,candidate_v2_bounded_price_audit_2026-08-14,Also covers audited suspicious next-open on 2023-03-13
halt_sbny_20230313_20230327,sec::SBNY,2023-03-13,2023-03-27,closed,known_trading_halt,candidate_v2_bounded_price_audit_2026-08-14,Also covers audited suspicious next-open on 2023-03-13
next_open_amcr_20190610,sec::AMCR,2019-06-10,2019-06-10,closed,audited_next_open_outlier,candidate_v2_bounded_price_audit_2026-08-14,
next_open_nbl_20201005,sec::NBL,2020-10-05,2020-10-05,closed,audited_next_open_outlier,candidate_v2_bounded_price_audit_2026-08-14,
next_open_mxim_20210830,sec::MXIM,2021-08-30,2021-08-30,closed,audited_next_open_outlier,candidate_v2_bounded_price_audit_2026-08-14,
next_open_xlnx_20220214,sec::XLNX,2022-02-14,2022-02-14,closed,audited_next_open_outlier,candidate_v2_bounded_price_audit_2026-08-14,
next_open_pbct_20220404,sec::PBCT,2022-04-04,2022-04-04,closed,audited_next_open_outlier,candidate_v2_bounded_price_audit_2026-08-14,
next_open_ctxs_20221003,sec::CTXS,2022-10-03,2022-10-03,closed,audited_next_open_outlier,candidate_v2_bounded_price_audit_2026-08-14,
next_open_dre_20221003,sec::DRE,2022-10-03,2022-10-03,closed,audited_next_open_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_pfg_20180608,sec::PFG,2018-06-08,2018-06-08,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_xel_20180608,sec::XEL,2018-06-08,2018-06-08,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_amcr_20190607,sec::AMCR,2019-06-07,2019-06-07,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_bkr_20191018,sec::BKR,2019-10-18,2019-10-18,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_chd_20191231,sec::CHD,2019-12-31,2019-12-31,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_rtn_20200403,sec::RTN,2020-04-03,2020-04-03,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_cci_20200731,sec::CCI,2020-07-31,2020-07-31,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_etfc_20201002,sec::ETFC,2020-10-02,2020-10-02,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_biib_20201106,sec::BIIB,2020-11-06,2020-11-06,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_var_20210416,sec::VAR,2021-04-16,2021-04-16,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_mxim_20210827,sec::MXIM,2021-08-27,2021-08-27,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_ctxs_20220930,sec::CTXS,2022-09-30,2022-09-30,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_atvi_20231013,sec::ATVI,2023-10-13,2023-10-13,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_pxd_20240503,sec::PXD,2024-05-03,2024-05-03,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
signal_close_mro_20241122,sec::MRO,2024-11-22,2024-11-22,closed,audited_signal_close_outlier,candidate_v2_bounded_price_audit_2026-08-14,
