group_id,strategy_id,portfolio_mode,variant_id,cost_bps,borrow_fee_annual,reference_strategy_id,comparison_type,metric,estimate
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,cagr,-0.11988665939891002
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.1686125814748176
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,max_drawdown,0.18382332455077743
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_volatility,-0.17142527033648863
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,-3.2198137764974524
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,cagr,-0.11757585932713716
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.17216842365956053
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,max_drawdown,0.18357727570547056
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_volatility,-0.17143334143852504
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,-3.2198137764974524
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,10.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,cagr,-0.11527904862743266
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,10.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.17572935764669445
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,10.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,max_drawdown,0.18332422690463063
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,10.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_volatility,-0.17144197289406382
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,10.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,-3.2198137764974506
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,20.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,cagr,-0.11072714857146909
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,20.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.18286357131876613
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,20.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,max_drawdown,0.1827975758919425
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,20.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_volatility,-0.17146091436017866
G13,G13__mom_12_1__top10__monthly__long_only,long_only,base,20.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,-3.2198137764974524
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,cagr,-0.01982795777971222
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.08010173453397312
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.0690628237244788
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07398990519368662
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.226304252349669
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,cagr,-0.018756716104294024
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.08428432207482991
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.07122366152617754
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07400964370362928
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.2270015530735154
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,cagr,-0.01667074093284343
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.09252615220089452
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.07681330593514202
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07404849873785332
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,0.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.2283710362912181
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,5.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,cagr,-0.019094603850013256
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,5.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.08572092577688709
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,5.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.07090393480203228
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,5.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07398393493940028
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,5.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.226304252349669
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,5.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,cagr,-0.0180306265303129
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,5.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.0899023593599447
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,5.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.07382774825200589
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,5.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07400366056834964
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,5.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.2270015530735154
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,5.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,cagr,-0.015958839212406595
