group_id,strategy_id,portfolio_mode,signal,top_n,frequency,variant_id,cost_bps,borrow_fee_annual,valid_scenario,invalid_reason,is_primary_scenario,collateralized_total_return,signed_skipped_rebalance_count,terminal_last_close_count,observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,relative_observations,annualized_excess_return,geometric_excess_return,beta,annualized_alpha_zero_rf,annualized_alpha_excess_rf,tracking_error,information_ratio,base_target_gross_exposure,base_target_net_exposure,high_vol_rebalance_count,high_vol_rebalance_fraction,average_q4_target_risk_allocation,minimum_q4_target_risk_allocation,delta_vs_g00_cagr,delta_vs_g00_sharpe_excess_rf,delta_vs_g00_max_drawdown,delta_vs_g00_annualized_volatility,delta_vs_g00_annualized_l1_turnover
G32,G32__mom_12_1__top10__monthly__long_only,long_only,mom_12_1,10,monthly,base,0.0,0.0,True,,False,True,0,0,2134.0,3.021298545652347,0.17860551387596302,0.32269899213222397,0.6717968319404424,0.5854570535187512,0.8083478646526854,-0.4556585740553273,1010.0,0.3919722442318758,0.6943493832533965,8.363428560049345,0.0,0.0,0.0,0.0,0.0,0.0,0.9299161412837307,0.48069152055167214,1.0,0.39215686274509803,0.0,0.9306607073923634,0.9306607073923634,0.0,0.9306607073923634,0.9306607073923634,0.0,2134.0,0.061834297931458136,0.02826311091679843,1.2155200762299327,0.028438629640286973,0.034463735947202506,0.2268046508130605,0.27263240727115384,1.0,1.0,40,0.39215686274509803,0.821286160273513,0.48069152055167214,-0.04930696955082697,-0.10435180263673094,-0.006795876850421156,-0.020561613456224537,-0.5449352687771203
G32,G32__mom_12_1__top10__monthly__long_only,long_only,mom_12_1,10,monthly,base,5.0,0.0,True,,True,True,0,0,2134.0,2.8813623757227513,0.17368626589231018,0.3226932001376274,0.6588363013097462,0.5724944511092444,0.7900073313384209,-0.46010168314632605,1108.0,0.37749539341952976,0.6943493832533965,8.363428560049345,0.04198533607420722,0.0,0.0,0.0,0.0,0.0,0.9299161412837307,0.48069152055167214,1.0,0.39215686274509803,0.0,0.9306607073923634,0.9306607073923634,0.0,0.9306607073923634,0.9306607073923634,0.0,2134.0,0.05764813178313647,0.023971360050634282,1.21544779827156,0.024263663240799843,0.03028672959010533,0.22680814450497022,0.25417134781010114,1.0,1.0,40,0.39215686274509803,0.821286160273513,0.48069152055167214,-0.048767916349407414,-0.10433226263406259,-0.0063891451648099284,-0.0205630546916844,-0.5449352687771203
G32,G32__mom_12_1__top10__monthly__long_only,long_only,mom_12_1,10,monthly,base,10.0,0.0,True,,False,True,0,0,2134.0,2.7462445812942726,0.16878566244249482,0.3226922083286012,0.6458656977423087,0.5595230612498651,0.7716770389546728,-0.4645103713949825,1109.0,0.36336252716082623,0.6943493832533965,8.363428560049345,0.08230977833714993,0.0,0.0,0.0,0.0,0.0,0.9299161412837307,0.48069152055167214,1.0,0.39215686274509803,0.0,0.9306607073923634,0.9306607073923634,0.0,0.9306607073923634,0.9306607073923634,0.0,2134.0,0.05346196563481479,0.01969587542974043,1.215375520313187,0.02008869684131271,0.026109723233008104,0.22681846751567059,0.23570376001734153,1.0,1.0,40,0.39215686274509803,0.821286160273513,0.48069152055167214,-0.048232253858414786,-0.1043112886625055,-0.00598850139655055,-0.020564810019025992,-0.5449352687771185
G32,G32__mom_12_1__top10__monthly__long_only,long_only,mom_12_1,10,monthly,base,20.0,0.0,True,,False,True,0,0,2134.0,2.489813061351786,0.15904013483177426,0.3227046252300893,0.6198965876267926,0.5335562352599998,0.7350494772238781,-0.4732254935156238,1277.0,0.3360768534472952,0.6943493832533965,8.363428560049345,0.1582227779201994,0.0,0.0,0.0,0.0,0.0,0.9299161412837307,0.48069152055167214,1.0,0.39215686274509803,0.0,0.9306607073923634,0.9306607073923634,0.0,0.9306607073923634,0.9306607073923634,0.0,2134.0,0.0450896333381716,0.011193483051166637,1.2152309643964414,0.011738764042338697,0.01775571051881378,0.22685959714754664,0.1987556793061123,1.0,1.0,40,0.39215686274509803,0.821286160273513,0.48069152055167214,-0.047171035133155736,-0.10426504747429943,-0.005205206690271635,-0.02056926262143549,-0.5449352687771203
G32,G32__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,0.0,0.0,True,,False,True,0,0,2134.0,0.8636328919770726,0.0762826549095168,0.18745731732957624,0.4861625053407704,0.33756049152592105,0.46665726068546043,-0.34802816841067163,1209.0,0.21918528967891937,0.7323366071869738,8.820984138300831,0.0,4.0,27.0,3.0,0.0,0.0,0.9254459132516328,0.3154879394049634,1.0,0.20588235294117646,0.0,0.000971560491068596,0.4653633709505789,0.46439181045951033,0.9297551814100893,0.000971560491068596,0.0,2134.0,-0.06381914361593707,-0.061007488991334846,0.010620778438103154,0.08948898839403717,0.06193594664341146,0.2667966478329517,-0.23920519292242345,1.0,0.0,21,0.20588235294117646,0.6378801500793593,0.3154879394049634,0.008464636431988498,0.05783089536728925,0.08910131834502977,-0.04496039538163865,-0.6191021938051371
G32,G32__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,0.0,0.01,True,,False,True,0,0,2134.0,0.7922368650592735,0.07132929690530054,0.18749425787633833,0.46149568451234174,0.31291791111342526,0.4321268637399129,-0.35421142961252583,1309.0,0.20137491605882996,0.732513027781165,8.823109121877724,0.0,4.0,27.0,3.0,0.0,0.0,0.9254459132516328,0.3154879394049634,1.0,0.20588235294117646,0.0,0.0009713901818827293,0.46546083003014843,0.46448943984826574,0.9299502698784141,0.0009713901818827293,0.039073780212645376,2134.0,-0.06842607177256939,-0.06532899881878182,0.010608514935962514,0.08488396051443119,0.05733047861724039,0.26682429678258807,-0.2564461804927902,1.0,0.0,21,0.20588235294117646,0.6378801500793593,0.3154879394049634,0.008845334261350646,0.054745724457359035,0.08917343471487749,-0.044973794070612055,-0.6193766185859797
G32,G32__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,0.0,0.03,True,,False,True,0,0,2134.0,0.6593642780639173,0.061628334608824886,0.18756718750809184,0.4128842192712332,0.26435441433416446,0.3642923352685198,-0.3662326240486389,1356.0,0.16827647391850079,0.7328611580598481,8.82730234619041,0.0,4.0,27.0,3.0,0.0,0.0,0.9254459132516328,0.3154879394049634,1.0,0.20588235294117646,0.0,0.0009710532025600391,0.4656530574434397,0.4646820042408797,0.9303350616843195,0.0009710532025600391,0.1115921276742822,2134.0,-0.07751033087816417,-0.07379251061507058,0.010584342619174137,0.07580344700269206,0.048249097423932054,0.2668788837855135,-0.2904326103988731,1.0,0.0,21,0.20588235294117646,0.6378801500793593,0.3154879394049634,0.009585110692915288,0.048664538170680754,0.09084898226499905,-0.04500017529112585,-0.6199184835193421
G32,G32__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,5.0,0.0,True,,False,True,0,0,2134.0,0.7952980024157414,0.07154521530636959,0.18745928501923892,0.46262279535412715,0.31401764303790924,0.43358199894656374,-0.35454501557489215,1309.0,0.20179444686412965,0.7323366071869738,8.820984138300831,0.0370090508027911,4.0,27.0,3.0,0.0,0.0,0.9254459132516328,0.3154879394049634,1.0,0.20588235294117646,0.0,0.000971560491068596,0.4653633709505789,0.46439181045951033,0.9297551814100893,0.000971560491068596,0.0,2134.0,-0.0682309242026573,-0.06514062287435131,0.01064552521285744,0.08507337319898053,0.0575209680934189,0.2667946149093591,-0.2557432586330055,1.0,0.0,21,0.20588235294117646,0.6378801500793593,0.3154879394049634,0.008756523345789594,0.05460625494111493,0.08878547399321945,-0.044954599222894576,-0.6191021938051371
G32,G32__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,5.0,0.01,True,,True,True,0,0,2134.0,0.7265043535519247,0.06661252659683226,0.18749622586084438,0.43795563328440873,0.2893747527174079,0.3991282685799135,-0.3606681183645568,1316.0,0.18469202905675605,0.732513027781165,8.823109121877724,0.036308369861430594,4.0,27.0,3.0,0.0,0.0,0.9254459132516328,0.3154879394049634,1.0,0.20588235294117646,0.0,0.0009713901818827293,0.46546083003014843,0.46448943984826574,0.9299502698784141,0.0009713901818827293,0.03829856638288163,2134.0,-0.07283883431802103,-0.0694440999732949,0.01063332603940438,0.08046735339266455,0.052914509905182115,0.26682225567168383,-0.2729863524114978,1.0,0.0,21,0.20588235294117646,0.6378801500793593,0.3154879394049634,0.009134036771512755,0.05152149743286391,0.0896533005926794,-0.04496799027332313,-0.6193766185859797
G32,G32__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,5.0,0.03,True,,False,True,0,0,2134.0,0.5984766409821405,0.05695205803131831,0.18756915552274558,0.3893434996057926,0.2408106488095365,0.3314443479814209,-0.3725723127193076,1367.0,0.15286175619342238,0.7328611580598481,8.82730234619041,0.03497897504940606,4.0,27.0,3.0,0.0,0.0,0.9254459132516328,0.3154879394049634,1.0,0.20588235294117646,0.0,0.0009710532025600391,0.4656530574434397,0.4646820042408797,0.9303350616843195,0.0009710532025600391,0.10940634375247528,2134.0,-0.08192503122401472,-0.07787228340120222,0.010609280718154476,0.07138488240207727,0.04383117471676415,0.2668768261288517,-0.30697693918339775,1.0,0.0,21,0.20588235294117646,0.6378801500793593,0.3154879394049634,0.00986759964400541,0.04544113627823551,0.09127941253819721,-0.04499435650281722,-0.6199184835193421
