frequency,factor_left,factor_right,spearman
monthly,XS001_MOM_255_0,XS002_MOM_12_1,0.9402975920866666
monthly,XS001_MOM_255_0,XS003_MOM_12_7,0.6774545637255048
monthly,XS001_MOM_255_0,XS004_HIGH_52W,0.746452906442706
monthly,XS001_MOM_255_0,XS007_ST_REV_21,-0.2500456729046805
monthly,XS001_MOM_255_0,XS008_SAME_MONTH_5Y,0.12718835851625654
monthly,XS001_MOM_255_0,XS013_LOW_BETA_FP,-0.04356260680478099
monthly,XS001_MOM_255_0,XS015_MAX_21,0.1241021470269321
monthly,XS001_MOM_255_0,XS018_AMIHUD_252,-0.13241384327411815
monthly,XS001_MOM_255_0,XS019_PRICE_DELAY_52W,0.04992746924388157
monthly,XS001_MOM_255_0,XS020_VOLUME_SHOCK_50D,-0.03207812337429166
monthly,XS001_MOM_255_0,XS032_GROSS_PROFIT_AT,0.04418824678969642
monthly,XS001_MOM_255_0,XS041_ASSET_GROWTH,-0.08078689874770388
monthly,XS001_MOM_255_0,XS056_CFO_ACCRUALS_PT,0.0748345508948681
monthly,XS002_MOM_12_1,XS003_MOM_12_7,0.7099639937743276
monthly,XS002_MOM_12_1,XS004_HIGH_52W,0.6272561530969387
monthly,XS002_MOM_12_1,XS007_ST_REV_21,0.025291196275564677
monthly,XS002_MOM_12_1,XS008_SAME_MONTH_5Y,0.12977298720464278
monthly,XS002_MOM_12_1,XS013_LOW_BETA_FP,-0.0433277003494438
monthly,XS002_MOM_12_1,XS015_MAX_21,0.19473813179047006
monthly,XS002_MOM_12_1,XS018_AMIHUD_252,-0.13421690211592707
monthly,XS002_MOM_12_1,XS019_PRICE_DELAY_52W,0.04877215014658118
monthly,XS002_MOM_12_1,XS020_VOLUME_SHOCK_50D,0.002594240187172439
monthly,XS002_MOM_12_1,XS032_GROSS_PROFIT_AT,0.04379165421797724
monthly,XS002_MOM_12_1,XS041_ASSET_GROWTH,-0.0877730079321231
monthly,XS002_MOM_12_1,XS056_CFO_ACCRUALS_PT,0.07532609820461335
monthly,XS003_MOM_12_7,XS004_HIGH_52W,0.2872735595263846
monthly,XS003_MOM_12_7,XS007_ST_REV_21,-0.017572887550481198
monthly,XS003_MOM_12_7,XS008_SAME_MONTH_5Y,0.16177806780789064
monthly,XS003_MOM_12_7,XS013_LOW_BETA_FP,-0.04762604332365364
monthly,XS003_MOM_12_7,XS015_MAX_21,0.06640554159677507
monthly,XS003_MOM_12_7,XS018_AMIHUD_252,-0.1235611624421916
monthly,XS003_MOM_12_7,XS019_PRICE_DELAY_52W,0.04404349238155874
monthly,XS003_MOM_12_7,XS020_VOLUME_SHOCK_50D,0.003228900287925153
monthly,XS003_MOM_12_7,XS032_GROSS_PROFIT_AT,0.03292877201114876
monthly,XS003_MOM_12_7,XS041_ASSET_GROWTH,-0.09647177698924478
monthly,XS003_MOM_12_7,XS056_CFO_ACCRUALS_PT,0.05353747370649423
monthly,XS004_HIGH_52W,XS007_ST_REV_21,-0.44357278718700816
monthly,XS004_HIGH_52W,XS008_SAME_MONTH_5Y,0.03610357832653995
monthly,XS004_HIGH_52W,XS013_LOW_BETA_FP,0.16160870434585092
monthly,XS004_HIGH_52W,XS015_MAX_21,0.2529393792776849
monthly,XS004_HIGH_52W,XS018_AMIHUD_252,-0.13868896884833737
monthly,XS004_HIGH_52W,XS019_PRICE_DELAY_52W,0.04694782125588866
monthly,XS004_HIGH_52W,XS020_VOLUME_SHOCK_50D,-0.022352859280504955
monthly,XS004_HIGH_52W,XS032_GROSS_PROFIT_AT,0.027363817630186603
monthly,XS004_HIGH_52W,XS041_ASSET_GROWTH,-0.014879263168337924
monthly,XS004_HIGH_52W,XS056_CFO_ACCRUALS_PT,-0.0038474477755999275
monthly,XS007_ST_REV_21,XS008_SAME_MONTH_5Y,-0.011086082851095608
monthly,XS007_ST_REV_21,XS013_LOW_BETA_FP,0.019962826647749787
monthly,XS007_ST_REV_21,XS015_MAX_21,0.25599369025604185
monthly,XS007_ST_REV_21,XS018_AMIHUD_252,-0.004254841148533773
monthly,XS007_ST_REV_21,XS019_PRICE_DELAY_52W,0.0036687446927429353
monthly,XS007_ST_REV_21,XS020_VOLUME_SHOCK_50D,0.08738020340635728
monthly,XS007_ST_REV_21,XS032_GROSS_PROFIT_AT,-0.004991378194890891
monthly,XS007_ST_REV_21,XS041_ASSET_GROWTH,-0.003761832233405702
monthly,XS007_ST_REV_21,XS056_CFO_ACCRUALS_PT,-0.00776985624786129
monthly,XS008_SAME_MONTH_5Y,XS013_LOW_BETA_FP,-0.042161651434979235
monthly,XS008_SAME_MONTH_5Y,XS015_MAX_21,-0.008450539495018916
monthly,XS008_SAME_MONTH_5Y,XS018_AMIHUD_252,-0.05767038282443806
monthly,XS008_SAME_MONTH_5Y,XS019_PRICE_DELAY_52W,-0.05334364991518486
monthly,XS008_SAME_MONTH_5Y,XS020_VOLUME_SHOCK_50D,-0.022184174694286518
monthly,XS008_SAME_MONTH_5Y,XS032_GROSS_PROFIT_AT,0.06459687884645492
monthly,XS008_SAME_MONTH_5Y,XS041_ASSET_GROWTH,-0.08896060665275471
monthly,XS008_SAME_MONTH_5Y,XS056_CFO_ACCRUALS_PT,-0.0031834843766284596
monthly,XS013_LOW_BETA_FP,XS015_MAX_21,0.3224570184436105
monthly,XS013_LOW_BETA_FP,XS018_AMIHUD_252,-0.10404778973898415
monthly,XS013_LOW_BETA_FP,XS019_PRICE_DELAY_52W,0.1853193801041718
monthly,XS013_LOW_BETA_FP,XS020_VOLUME_SHOCK_50D,0.0783773747508825
monthly,XS013_LOW_BETA_FP,XS032_GROSS_PROFIT_AT,0.024673985703276946
monthly,XS013_LOW_BETA_FP,XS041_ASSET_GROWTH,0.05155662044587533
monthly,XS013_LOW_BETA_FP,XS056_CFO_ACCRUALS_PT,-0.031813939854095676
monthly,XS015_MAX_21,XS018_AMIHUD_252,-0.1269328227230741
monthly,XS015_MAX_21,XS019_PRICE_DELAY_52W,0.08734166291830289
monthly,XS015_MAX_21,XS020_VOLUME_SHOCK_50D,0.02674217696465895
monthly,XS015_MAX_21,XS032_GROSS_PROFIT_AT,-0.005589240512064714
monthly,XS015_MAX_21,XS041_ASSET_GROWTH,0.061039749288572184
monthly,XS015_MAX_21,XS056_CFO_ACCRUALS_PT,-0.06623790243617567
monthly,XS018_AMIHUD_252,XS019_PRICE_DELAY_52W,-0.06455216619018077
monthly,XS018_AMIHUD_252,XS020_VOLUME_SHOCK_50D,0.031051252200250123
monthly,XS018_AMIHUD_252,XS032_GROSS_PROFIT_AT,-0.1662402460151954
monthly,XS018_AMIHUD_252,XS041_ASSET_GROWTH,0.04024320908618956
monthly,XS018_AMIHUD_252,XS056_CFO_ACCRUALS_PT,-0.04010778467263655
monthly,XS019_PRICE_DELAY_52W,XS020_VOLUME_SHOCK_50D,-0.005742955570376185
monthly,XS019_PRICE_DELAY_52W,XS032_GROSS_PROFIT_AT,-0.0077327404266889655
monthly,XS019_PRICE_DELAY_52W,XS041_ASSET_GROWTH,0.051243985370447644
monthly,XS019_PRICE_DELAY_52W,XS056_CFO_ACCRUALS_PT,0.1117593230780062
monthly,XS020_VOLUME_SHOCK_50D,XS032_GROSS_PROFIT_AT,-0.02027022411834843
monthly,XS020_VOLUME_SHOCK_50D,XS041_ASSET_GROWTH,0.0002926401750313104
monthly,XS020_VOLUME_SHOCK_50D,XS056_CFO_ACCRUALS_PT,-0.03343433594686804
monthly,XS032_GROSS_PROFIT_AT,XS041_ASSET_GROWTH,-0.08822475533524195
monthly,XS032_GROSS_PROFIT_AT,XS056_CFO_ACCRUALS_PT,0.09202068100315111
monthly,XS041_ASSET_GROWTH,XS056_CFO_ACCRUALS_PT,0.062395835255885004
weekly,XS001_MOM_255_0,XS002_MOM_12_1,0.9351010515451817
weekly,XS001_MOM_255_0,XS003_MOM_12_7,0.6763108225083625
weekly,XS001_MOM_255_0,XS004_HIGH_52W,0.7489973539761439
weekly,XS001_MOM_255_0,XS007_ST_REV_21,-0.25790448947804934
weekly,XS001_MOM_255_0,XS008_SAME_MONTH_5Y,0.08721861136817746
weekly,XS001_MOM_255_0,XS013_LOW_BETA_FP,-0.04219404394282753
weekly,XS001_MOM_255_0,XS015_MAX_21,0.12285782758748193
weekly,XS001_MOM_255_0,XS018_AMIHUD_252,-0.12821242826358947
weekly,XS001_MOM_255_0,XS019_PRICE_DELAY_52W,0.042012272095424276
weekly,XS001_MOM_255_0,XS020_VOLUME_SHOCK_50D,-0.03305110557218438
weekly,XS001_MOM_255_0,XS032_GROSS_PROFIT_AT,0.041369391497847
weekly,XS001_MOM_255_0,XS041_ASSET_GROWTH,-0.07921185836374141
weekly,XS001_MOM_255_0,XS056_CFO_ACCRUALS_PT,0.07483160271199622
weekly,XS002_MOM_12_1,XS003_MOM_12_7,0.7120905765701161
weekly,XS002_MOM_12_1,XS004_HIGH_52W,0.6247999746398692
weekly,XS002_MOM_12_1,XS007_ST_REV_21,0.026240432783639578
weekly,XS002_MOM_12_1,XS008_SAME_MONTH_5Y,0.07915222488507483
weekly,XS002_MOM_12_1,XS013_LOW_BETA_FP,-0.04477005075566037
weekly,XS002_MOM_12_1,XS015_MAX_21,0.19345779393760967
weekly,XS002_MOM_12_1,XS018_AMIHUD_252,-0.13248869131280708
weekly,XS002_MOM_12_1,XS019_PRICE_DELAY_52W,0.045846215075520814
weekly,XS002_MOM_12_1,XS020_VOLUME_SHOCK_50D,0.01792288007968207
weekly,XS002_MOM_12_1,XS032_GROSS_PROFIT_AT,0.04122662799296256
weekly,XS002_MOM_12_1,XS041_ASSET_GROWTH,-0.08403090613520615
weekly,XS002_MOM_12_1,XS056_CFO_ACCRUALS_PT,0.07481689174982163
weekly,XS003_MOM_12_7,XS004_HIGH_52W,0.28485009998194394
weekly,XS003_MOM_12_7,XS007_ST_REV_21,-0.011584187762216853
weekly,XS003_MOM_12_7,XS008_SAME_MONTH_5Y,0.08726329180848665
weekly,XS003_MOM_12_7,XS013_LOW_BETA_FP,-0.04898209030922552
weekly,XS003_MOM_12_7,XS015_MAX_21,0.06939507352925019
weekly,XS003_MOM_12_7,XS018_AMIHUD_252,-0.11938110750629387
weekly,XS003_MOM_12_7,XS019_PRICE_DELAY_52W,0.036663344144682135
weekly,XS003_MOM_12_7,XS020_VOLUME_SHOCK_50D,0.006492660595085367
weekly,XS003_MOM_12_7,XS032_GROSS_PROFIT_AT,0.0342515662423248
weekly,XS003_MOM_12_7,XS041_ASSET_GROWTH,-0.09666545105546145
weekly,XS003_MOM_12_7,XS056_CFO_ACCRUALS_PT,0.05484359729255456
weekly,XS004_HIGH_52W,XS007_ST_REV_21,-0.4491957717318332
weekly,XS004_HIGH_52W,XS008_SAME_MONTH_5Y,0.02659678305641555
weekly,XS004_HIGH_52W,XS013_LOW_BETA_FP,0.1538494458566366
weekly,XS004_HIGH_52W,XS015_MAX_21,0.24882792986393026
weekly,XS004_HIGH_52W,XS018_AMIHUD_252,-0.1260096010554678
weekly,XS004_HIGH_52W,XS019_PRICE_DELAY_52W,0.031063583437382133
weekly,XS004_HIGH_52W,XS020_VOLUME_SHOCK_50D,-0.05354843659392038
weekly,XS004_HIGH_52W,XS032_GROSS_PROFIT_AT,0.027846905073573965
weekly,XS004_HIGH_52W,XS041_ASSET_GROWTH,-0.01577957896075812
weekly,XS004_HIGH_52W,XS056_CFO_ACCRUALS_PT,-0.003503138199805036
weekly,XS007_ST_REV_21,XS008_SAME_MONTH_5Y,-0.004893658094761952
weekly,XS007_ST_REV_21,XS013_LOW_BETA_FP,0.016080745583625683
weekly,XS007_ST_REV_21,XS015_MAX_21,0.25400963133771254
weekly,XS007_ST_REV_21,XS018_AMIHUD_252,-0.012507238279988125
weekly,XS007_ST_REV_21,XS019_PRICE_DELAY_52W,0.016701703988597865
weekly,XS007_ST_REV_21,XS020_VOLUME_SHOCK_50D,0.14232148732521208
weekly,XS007_ST_REV_21,XS032_GROSS_PROFIT_AT,-0.0032579073801207704
