factor_id,frequency,signal_dates,median_rank_ic,mean_rank_ic,positive_fraction,block_sign_p,bh_q,active_terminal_return,active_sharpe,topk_positive_count,topk_tested_count,cost_positive_count,cost_tested_count,2018_2021_active_terminal,2018_2021_factor_sharpe,2022_2026h1_active_terminal,2022_2026h1_factor_sharpe,subperiods_active_positive,dimension,evidence_qualified,weak_dimension_floor,dimension_representative,status,g00_identity_gate_passed,interpretation_status
XS001_MOM_255_0,monthly,101,0.0150085145200099,0.0102163034559018,0.5346534653465347,0.2184429391814729,0.707870326787748,3.507235869722688,0.2860258087675698,4,4,4,4,-0.1846927956540578,0.40558014166704,1.9798840280082208,1.0878760620830168,False,trend_price_path,False,True,False,not_advanced,False,provisional_g00_top50_identity_exception
XS001_MOM_255_0,weekly,443,0.0055679282844187,0.0063877886685021,0.5124153498871332,0.134299656896789,0.3760390393110094,2.288135715900309,0.1911564384177038,4,4,4,4,-0.3638378809166271,0.1883642150191528,1.999506489228731,1.1117998945398928,False,trend_price_path,False,True,False,not_advanced,False,provisional_g00_top50_identity_exception
XS002_MOM_12_1,monthly,101,0.0178356108261677,0.0075445928753213,0.5544554455445545,0.3038962846195646,0.7090913307789841,2.292822698516669,0.1822194709611969,4,4,4,4,-0.2445735141590084,0.3331167190584702,1.5620263541712451,0.9699118494714564,False,trend_price_path,False,True,False,not_advanced,False,provisional_g00_top50_identity_exception
XS002_MOM_12_1,weekly,443,0.0138818277994985,0.0110444158965514,0.5169300225733634,0.0718283115403311,0.2513990903911591,1.639270744092022,0.1144993813890234,4,4,4,4,-0.3027618844347857,0.2741325903106745,1.3680168149733103,0.9177618841317152,False,trend_price_path,False,True,False,not_advanced,False,provisional_g00_top50_identity_exception
XS003_MOM_12_7,monthly,101,0.0172142454415572,0.0084820910881243,0.5544554455445545,0.1425800396644484,0.707870326787748,4.74335207450047,0.3897597021720185,4,4,4,4,0.0410975809829881,0.6442819254257309,1.81900867661608,1.0814577830821914,True,trend_price_path,False,True,True,dimension_representative,False,provisional_g00_top50_identity_exception
XS003_MOM_12_7,weekly,443,0.0123909197763187,0.0109717486619374,0.5282167042889391,0.0553884446037507,0.2513990903911591,3.9962132646577424,0.3284806989555801,4,4,4,4,-0.0943037767547935,0.5178932827485,1.8568620480383813,1.1018184642636095,False,trend_price_path,False,True,True,dimension_representative,False,provisional_g00_top50_identity_exception
XS004_HIGH_52W,monthly,101,0.028288963331964,0.0055070554421181,0.5742574257425742,0.2528108309956243,0.707870326787748,-0.5498153687948641,-0.1282944505702696,0,4,0,4,-0.1044555706686816,0.6039326518039448,-0.1335708436813802,0.10755731515281,False,trend_price_path,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS004_HIGH_52W,weekly,443,-0.001007209234009,-0.0029057123700845,0.4966139954853273,0.4660011656369855,0.7867439828636055,-1.689688620976543,-0.7029308813285879,0,4,0,4,-0.5142085769122536,-0.1958815399031197,-0.3216387842651893,-0.1949283259216822,False,trend_price_path,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS007_ST_REV_21,monthly,101,0.0007205023608099,-0.0017619690953055,0.504950495049505,0.6396021917628606,0.8707432137159317,-0.5138035807029324,-0.1767493431584907,0,4,0,4,0.3727817305959326,0.7507848412794917,-0.4234520824098341,-0.1773795395456944,False,reversal_calendar,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS007_ST_REV_21,weekly,443,0.0056964707858831,0.0170207899475822,0.5191873589164786,0.0333986901137295,0.2513990903911591,-0.1882967789512162,-0.1265013347351903,0,4,1,4,0.3439978091934568,0.7093531353153272,-0.3112896393806676,-0.0032630917079279,False,reversal_calendar,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS008_SAME_MONTH_5Y,monthly,101,0.0068672866580414,-0.0011515496042792,0.5148514851485149,0.4709690321359896,0.8707432137159317,-0.4611495162516736,-0.1608432834341982,0,4,0,4,0.0246530487253666,0.6114378549264359,-0.2066926909222274,0.0633232404638526,False,reversal_calendar,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
