top_k,frequency,cost_bps,maximum_abs_diff,identity_passed
10,weekly,0,0.0,True
10,weekly,5,0.0,True
10,weekly,10,0.0,True
10,weekly,20,0.0,True
20,weekly,0,0.0,True
20,weekly,5,0.0,True
20,weekly,10,0.0,True
20,weekly,20,0.0,True
50,weekly,0,0.004611353094626125,False
50,weekly,5,0.004611353094626125,False
50,weekly,10,0.004611353094626125,False
50,weekly,20,0.004611353094626125,False
10,monthly,0,0.0,True
10,monthly,5,0.0,True
10,monthly,10,0.0,True
10,monthly,20,0.0,True
20,monthly,0,0.0,True
20,monthly,5,0.0,True
20,monthly,10,0.0,True
20,monthly,20,0.0,True
50,monthly,0,0.0062465005204668245,False
50,monthly,5,0.0061336530565347935,False
50,monthly,10,0.006021941471969328,False
50,monthly,20,0.005802050212784238,False
