factor_id,frequency,topk_positive_count,topk_tested_count,cost_positive_count,cost_tested_count
XS001_MOM_255_0,monthly,4,4,4,4
XS001_MOM_255_0,weekly,4,4,4,4
XS002_MOM_12_1,monthly,4,4,4,4
XS002_MOM_12_1,weekly,4,4,4,4
XS003_MOM_12_7,monthly,4,4,4,4
XS003_MOM_12_7,weekly,4,4,4,4
XS004_HIGH_52W,monthly,0,4,0,4
XS004_HIGH_52W,weekly,0,4,0,4
XS007_ST_REV_21,monthly,0,4,0,4
XS007_ST_REV_21,weekly,0,4,1,4
XS008_SAME_MONTH_5Y,monthly,0,4,0,4
XS008_SAME_MONTH_5Y,weekly,0,4,0,4
XS013_LOW_BETA_FP,monthly,0,4,0,4
XS013_LOW_BETA_FP,weekly,0,4,0,4
XS015_MAX_21,monthly,0,4,0,4
XS015_MAX_21,weekly,0,4,0,4
XS018_AMIHUD_252,monthly,0,4,0,4
XS018_AMIHUD_252,weekly,0,4,0,4
XS019_PRICE_DELAY_52W,monthly,0,4,0,4
XS019_PRICE_DELAY_52W,weekly,0,4,0,4
XS020_VOLUME_SHOCK_50D,monthly,1,4,1,4
XS020_VOLUME_SHOCK_50D,weekly,0,4,1,4
XS032_GROSS_PROFIT_AT,monthly,0,4,0,4
XS032_GROSS_PROFIT_AT,weekly,0,4,0,4
XS041_ASSET_GROWTH,monthly,4,4,4,4
XS041_ASSET_GROWTH,weekly,4,4,4,4
XS056_CFO_ACCRUALS_PT,monthly,2,4,4,4
XS056_CFO_ACCRUALS_PT,weekly,2,4,4,4
