factor_id,frequency,top_k,cost_bps,path_type,maximum_abs_diff,identity_passed
XS001_MOM_255_0,monthly,0,0,eligible_ew,9.71445146547012e-17,True
XS001_MOM_255_0,monthly,0,5,eligible_ew,1.1324274851176597e-14,True
XS001_MOM_255_0,monthly,0,10,eligible_ew,2.55351295663786e-14,True
XS001_MOM_255_0,monthly,0,20,eligible_ew,8.881784197001252e-15,True
XS001_MOM_255_0,weekly,0,0,eligible_ew,2.220446049250313e-16,True
XS001_MOM_255_0,weekly,0,5,eligible_ew,3.375077994860476e-14,True
XS001_MOM_255_0,weekly,0,10,eligible_ew,3.863576125695545e-14,True
XS001_MOM_255_0,weekly,0,20,eligible_ew,2.4868995751603507e-14,True
XS002_MOM_12_1,monthly,0,0,eligible_ew,6.938893903907228e-17,True
XS002_MOM_12_1,monthly,0,5,eligible_ew,2.2648549702353193e-14,True
XS002_MOM_12_1,monthly,0,10,eligible_ew,3.3306690738754696e-14,True
XS002_MOM_12_1,monthly,0,20,eligible_ew,4.529709940470639e-14,True
XS002_MOM_12_1,weekly,0,0,eligible_ew,1.3877787807814457e-17,True
XS002_MOM_12_1,weekly,0,5,eligible_ew,2.5757174171303632e-14,True
XS002_MOM_12_1,weekly,0,10,eligible_ew,2.3092638912203256e-14,True
XS002_MOM_12_1,weekly,0,20,eligible_ew,5.240252676230739e-14,True
XS003_MOM_12_7,monthly,0,0,eligible_ew,5.551115123125783e-17,True
XS003_MOM_12_7,monthly,0,5,eligible_ew,1.0658141036401503e-14,True
XS003_MOM_12_7,monthly,0,10,eligible_ew,3.730349362740526e-14,True
XS003_MOM_12_7,monthly,0,20,eligible_ew,5.1958437552457326e-14,True
XS003_MOM_12_7,weekly,0,0,eligible_ew,2.220446049250313e-16,True
XS003_MOM_12_7,weekly,0,5,eligible_ew,3.6415315207705135e-14,True
XS003_MOM_12_7,weekly,0,10,eligible_ew,2.7533531010703882e-14,True
XS003_MOM_12_7,weekly,0,20,eligible_ew,3.863576125695545e-14,True
XS004_HIGH_52W,monthly,0,0,eligible_ew,6.938893903907228e-17,True
XS004_HIGH_52W,monthly,0,5,eligible_ew,3.197442310920451e-14,True
XS004_HIGH_52W,monthly,0,10,eligible_ew,1.3766765505351941e-14,True
XS004_HIGH_52W,monthly,0,20,eligible_ew,1.7985612998927536e-14,True
XS004_HIGH_52W,weekly,0,0,eligible_ew,5.551115123125783e-17,True
XS004_HIGH_52W,weekly,0,5,eligible_ew,4.884981308350689e-14,True
XS004_HIGH_52W,weekly,0,10,eligible_ew,2.2870594307278225e-14,True
XS004_HIGH_52W,weekly,0,20,eligible_ew,2.4424906541753444e-14,True
XS007_ST_REV_21,monthly,0,0,eligible_ew,5.551115123125783e-17,True
XS007_ST_REV_21,monthly,0,5,eligible_ew,3.26405569239796e-14,True
XS007_ST_REV_21,monthly,0,10,eligible_ew,3.397282455352979e-14,True
XS007_ST_REV_21,monthly,0,20,eligible_ew,3.108624468950438e-14,True
XS007_ST_REV_21,weekly,0,0,eligible_ew,2.7755575615628914e-17,True
XS007_ST_REV_21,weekly,0,5,eligible_ew,9.992007221626409e-15,True
XS007_ST_REV_21,weekly,0,10,eligible_ew,2.2648549702353193e-14,True
XS007_ST_REV_21,weekly,0,20,eligible_ew,4.551914400963142e-14,True
XS008_SAME_MONTH_5Y,monthly,0,0,eligible_ew,5.551115123125783e-17,True
XS008_SAME_MONTH_5Y,monthly,0,5,eligible_ew,4.884981308350689e-14,True
XS008_SAME_MONTH_5Y,monthly,0,10,eligible_ew,2.0872192862952943e-14,True
XS008_SAME_MONTH_5Y,monthly,0,20,eligible_ew,2.0872192862952943e-14,True
XS008_SAME_MONTH_5Y,weekly,0,0,eligible_ew,1.3877787807814457e-17,True
XS008_SAME_MONTH_5Y,weekly,0,5,eligible_ew,4.218847493575595e-14,True
XS008_SAME_MONTH_5Y,weekly,0,10,eligible_ew,2.531308496145357e-14,True
XS008_SAME_MONTH_5Y,weekly,0,20,eligible_ew,3.3306690738754696e-14,True
XS013_LOW_BETA_FP,monthly,0,0,eligible_ew,5.551115123125783e-17,True
XS013_LOW_BETA_FP,monthly,0,5,eligible_ew,3.597122599785507e-14,True
XS013_LOW_BETA_FP,monthly,0,10,eligible_ew,2.708944180085382e-14,True
XS013_LOW_BETA_FP,monthly,0,20,eligible_ew,2.5757174171303632e-14,True
XS013_LOW_BETA_FP,weekly,0,0,eligible_ew,4.163336342344337e-17,True
XS013_LOW_BETA_FP,weekly,0,5,eligible_ew,7.993605777301127e-15,True
XS013_LOW_BETA_FP,weekly,0,10,eligible_ew,5.3290705182007514e-14,True
XS013_LOW_BETA_FP,weekly,0,20,eligible_ew,4.4853010194856324e-14,True
XS015_MAX_21,monthly,0,0,eligible_ew,5.551115123125783e-17,True
XS015_MAX_21,monthly,0,5,eligible_ew,2.2648549702353193e-14,True
XS015_MAX_21,monthly,0,10,eligible_ew,3.419486915845482e-14,True
XS015_MAX_21,monthly,0,20,eligible_ew,4.3076653355456074e-14,True
XS015_MAX_21,weekly,0,0,eligible_ew,5.551115123125783e-17,True
XS015_MAX_21,weekly,0,5,eligible_ew,2.5757174171303632e-14,True
XS015_MAX_21,weekly,0,10,eligible_ew,3.419486915845482e-14,True
XS015_MAX_21,weekly,0,20,eligible_ew,4.085620730620576e-14,True
XS018_AMIHUD_252,monthly,0,0,eligible_ew,5.551115123125783e-17,True
XS018_AMIHUD_252,monthly,0,5,eligible_ew,2.886579864025407e-14,True
XS018_AMIHUD_252,monthly,0,10,eligible_ew,2.4202861936828413e-14,True
XS018_AMIHUD_252,monthly,0,20,eligible_ew,2.0872192862952943e-14,True
