frequency,state_id,state_bin,observations
monthly,MKT_AVG_CORR63,high,29
monthly,MKT_AVG_CORR63,low,52
monthly,MKT_AVG_CORR63,mid,20
monthly,MKT_BREADTH_RSP63,high,29
monthly,MKT_BREADTH_RSP63,low,49
monthly,MKT_BREADTH_RSP63,mid,23
monthly,MKT_DD252_SEVERITY,high,48
monthly,MKT_DD252_SEVERITY,low,24
monthly,MKT_DD252_SEVERITY,mid,29
monthly,MKT_LOG_RV21,high,43
monthly,MKT_LOG_RV21,low,22
monthly,MKT_LOG_RV21,mid,36
monthly,MKT_TREND126,high,44
monthly,MKT_TREND126,low,38
monthly,MKT_TREND126,mid,19
monthly,MKT_XS_DISP21,high,61
monthly,MKT_XS_DISP21,low,5
monthly,MKT_XS_DISP21,mid,35
monthly,SHADOW_BREADTH_SMA200,high,21
monthly,SHADOW_BREADTH_SMA200,low,50
monthly,SHADOW_BREADTH_SMA200,mid,30
monthly,SHADOW_LOG_RV_RATIO,high,34
monthly,SHADOW_LOG_RV_RATIO,low,29
monthly,SHADOW_LOG_RV_RATIO,mid,38
monthly,SHADOW_SMA50_200,high,49
monthly,SHADOW_SMA50_200,low,37
monthly,SHADOW_SMA50_200,mid,15
weekly,MKT_AVG_CORR63,high,116
weekly,MKT_AVG_CORR63,low,225
weekly,MKT_AVG_CORR63,mid,102
weekly,MKT_BREADTH_RSP63,high,145
weekly,MKT_BREADTH_RSP63,low,222
weekly,MKT_BREADTH_RSP63,mid,76
weekly,MKT_DD252_SEVERITY,high,192
weekly,MKT_DD252_SEVERITY,low,136
weekly,MKT_DD252_SEVERITY,mid,115
weekly,MKT_LOG_RV21,high,208
weekly,MKT_LOG_RV21,low,91
weekly,MKT_LOG_RV21,mid,144
weekly,MKT_TREND126,high,189
weekly,MKT_TREND126,low,160
weekly,MKT_TREND126,mid,94
weekly,MKT_XS_DISP21,high,281
weekly,MKT_XS_DISP21,low,36
weekly,MKT_XS_DISP21,mid,126
weekly,SHADOW_BREADTH_SMA200,high,99
weekly,SHADOW_BREADTH_SMA200,low,208
weekly,SHADOW_BREADTH_SMA200,mid,136
weekly,SHADOW_LOG_RV_RATIO,high,155
weekly,SHADOW_LOG_RV_RATIO,low,139
weekly,SHADOW_LOG_RV_RATIO,mid,149
weekly,SHADOW_SMA50_200,high,213
weekly,SHADOW_SMA50_200,low,160
weekly,SHADOW_SMA50_200,mid,70
