factor_id,frequency,state_id,state_bin,episode_id,start_signal,end_signal,observations,relative_log_contribution,episode_relative_mdd
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,low,1,2017-12-29,2018-01-31,2,0.07679130389306457,0.0
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,low,4,2018-06-29,2018-09-28,4,-0.08920569613250556,-0.105888736852228
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,low,7,2019-03-29,2019-07-31,5,0.05273321297312711,-0.01808111560289838
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,low,11,2019-11-29,2020-01-31,3,0.054846777127896214,0.0
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,low,14,2021-01-29,2021-06-30,6,-0.14950356104521256,-0.1254617354676143
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,low,16,2021-08-31,2021-08-31,1,0.0068022688708279586,0.0
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,low,18,2021-10-29,2021-10-29,1,0.004748270907881368,0.0
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,low,22,2023-06-30,2023-10-31,5,0.03126703823579505,-0.019369979427729667
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,low,24,2024-01-31,2025-03-31,15,0.15690914325744917,-0.09957599984544852
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,low,26,2025-07-31,2026-04-30,10,0.4064873026228967,-0.049215241863439285
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,mid,3,2018-05-31,2018-05-31,1,-0.06089682862009079,0.0
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,mid,5,2018-10-31,2018-11-30,2,-0.09513256333818917,-0.030004383898154074
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,mid,9,2019-09-30,2019-09-30,1,-0.0019338797123212396,0.0
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,mid,13,2020-09-30,2020-12-31,4,-0.03193346142605474,-0.0477827215391996
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,mid,15,2021-07-30,2021-07-30,1,0.010507408860970555,0.0
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,mid,17,2021-09-30,2021-09-30,1,0.03236960241549351,0.0
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,mid,19,2021-11-30,2022-03-31,5,0.0355751485046164,-0.017351913364683558
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,mid,21,2023-03-31,2023-05-31,3,0.0505418273570389,-0.0029344746764007335
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,mid,23,2023-11-30,2023-12-29,2,0.04860596913224058,0.0
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,high,2,2018-02-28,2018-04-30,3,0.0483142407895234,-0.0053845231355788
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,high,6,2018-12-31,2019-02-28,3,0.010007493665345354,0.0
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,high,8,2019-08-30,2019-08-30,1,-0.07575097914491666,0.0
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,high,10,2019-10-31,2019-10-31,1,0.002343104392755927,0.0
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,high,12,2020-02-28,2020-08-31,7,0.10560466224418567,-0.035958621020039994
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,high,20,2022-04-29,2023-02-28,11,0.12308206876249041,-0.11756894266231721
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,high,25,2025-04-30,2025-06-30,3,0.039375200325196355,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,2,2018-02-28,2018-02-28,1,-0.00809288044142539,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,6,2018-06-29,2018-10-31,5,-0.15387453249314012,-0.16187991772125054
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,11,2019-04-30,2019-05-31,2,-0.002585938333861254,-0.01808111560289838
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,13,2019-08-30,2019-10-31,3,-0.07534175446448198,-0.0019320109717843037
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,15,2019-12-31,2020-05-29,6,0.11910334461174185,-0.035958621020040105
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,18,2020-08-31,2020-09-30,2,-0.041757578122464764,-0.02724239383813465
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,20,2021-06-30,2021-12-31,7,-0.07107169792761614,-0.09334090619617508
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,23,2022-08-31,2022-08-31,1,0.030808481023180616,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,26,2023-03-31,2023-07-31,5,0.04702629691897156,-0.010990687161133272
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,28,2023-09-29,2023-11-30,3,0.051083461574468414,-0.003253837598622189
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,30,2024-03-28,2024-03-28,1,-0.004255964783621072,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,32,2024-05-31,2024-07-31,3,-0.08305273697827516,-0.09957599984544852
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,36,2024-12-31,2025-02-28,3,-0.02402228114804497,-0.06035825289508667
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,38,2025-05-30,2025-11-28,7,0.058506695604953876,-0.055025928320184714
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,1,2017-12-29,2018-01-31,2,0.07679130389306457,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,3,2018-03-29,2018-03-29,1,-0.005399071929323656,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,5,2018-05-31,2018-05-31,1,-0.06089682862009079,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,7,2018-11-30,2018-12-31,2,-0.0570921890726943,-0.02627705068939934
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,9,2019-02-28,2019-02-28,1,0.033321052671379546,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,12,2019-06-28,2019-07-31,2,0.09071528788229427,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,14,2019-11-29,2019-11-29,1,-0.003299161508670573,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,17,2020-07-31,2020-07-31,1,0.0020285486380243536,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,22,2022-07-29,2022-07-29,1,0.07666553380055131,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,24,2022-09-30,2022-09-30,1,0.06502949071576418,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,27,2023-08-31,2023-08-31,1,-0.019560035740175098,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,29,2023-12-29,2024-02-29,3,0.08594822371445965,-0.01469252731749704
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,31,2024-04-30,2024-04-30,1,0.046558796412199094,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,33,2024-08-30,2024-08-30,1,0.045898154558737,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,35,2024-10-31,2024-11-29,2,0.07801000224217046,-0.012366187972967069
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,39,2025-12-31,2025-12-31,1,0.056311940059509125,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,41,2026-04-30,2026-04-30,1,0.12420641149665344,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,high,4,2018-04-30,2018-04-30,1,0.061806193160272443,0.0
