frequency,factor_id,empirical_cluster
weekly,XS001_MOM_255_0,XS001_MOM_255_0
weekly,XS002_MOM_12_1,XS001_MOM_255_0
weekly,XS003_MOM_12_7,XS003_MOM_12_7
weekly,XS004_HIGH_52W,XS004_HIGH_52W
weekly,XS007_ST_REV_21,XS007_ST_REV_21
weekly,XS008_SAME_MONTH_5Y,XS008_SAME_MONTH_5Y
weekly,XS013_LOW_BETA_FP,XS013_LOW_BETA_FP
weekly,XS015_MAX_21,XS015_MAX_21
weekly,XS018_AMIHUD_252,XS018_AMIHUD_252
weekly,XS019_PRICE_DELAY_52W,XS019_PRICE_DELAY_52W
weekly,XS020_VOLUME_SHOCK_50D,XS020_VOLUME_SHOCK_50D
weekly,XS032_GROSS_PROFIT_AT,XS032_GROSS_PROFIT_AT
weekly,XS041_ASSET_GROWTH,XS041_ASSET_GROWTH
weekly,XS056_CFO_ACCRUALS_PT,XS056_CFO_ACCRUALS_PT
monthly,XS001_MOM_255_0,XS001_MOM_255_0
monthly,XS002_MOM_12_1,XS001_MOM_255_0
monthly,XS003_MOM_12_7,XS003_MOM_12_7
monthly,XS004_HIGH_52W,XS004_HIGH_52W
monthly,XS007_ST_REV_21,XS007_ST_REV_21
monthly,XS008_SAME_MONTH_5Y,XS008_SAME_MONTH_5Y
monthly,XS013_LOW_BETA_FP,XS013_LOW_BETA_FP
monthly,XS015_MAX_21,XS015_MAX_21
monthly,XS018_AMIHUD_252,XS018_AMIHUD_252
monthly,XS019_PRICE_DELAY_52W,XS019_PRICE_DELAY_52W
monthly,XS020_VOLUME_SHOCK_50D,XS020_VOLUME_SHOCK_50D
monthly,XS032_GROSS_PROFIT_AT,XS032_GROSS_PROFIT_AT
monthly,XS041_ASSET_GROWTH,XS041_ASSET_GROWTH
monthly,XS056_CFO_ACCRUALS_PT,XS056_CFO_ACCRUALS_PT
