factor_id,frequency,state_id,outcome,best_bin,worst_bin,bh_q,qualification_effect,standardized_range,cross_outcome_contrast,relationship_role,qualifies,leave_one_year_out_estimable,leave_one_year_out_direction_fraction,maximum_single_year_absolute_contribution_fraction,topk_widths_same_direction,top20_same_direction,twenty_bps_same_direction,all_stability_gates
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,active_return,low,mid,0.9689668826013044,0.1449428160967599,0.2482056616061676,0.06437998236993846,none,False,10,1.0,0.19736388747429318,3,True,True,True
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,rank_ic,low,mid,0.6986758695913027,0.0643799823699384,0.2942409736885818,0.012078568008063329,none,False,10,1.0,0.29735461494919047,3,True,True,True
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,active_return,mid,low,0.1549484632244267,0.3943856674066895,0.6753612089427008,0.08739020462624723,exploratory_state_candidate,False,10,1.0,0.29450860885589986,3,True,True,True
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,rank_ic,mid,high,0.6288601376029921,0.0931355646617825,0.4256649073565901,0.016949171718837905,none,False,10,1.0,0.22264117450057852,3,True,True,True
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,active_return,mid,high,1.0,0.0368955631163846,0.0631813835293564,0.08595724819953425,none,False,10,0.8,0.2251534340940698,2,True,True,True
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,rank_ic,mid,high,0.6288601376029921,0.0859572481995342,0.3928572744939419,0.0030746302596987227,none,False,10,1.0,0.2924616227278333,3,True,True,True
XS001_MOM_255_0,monthly,MKT_LOG_RV21,active_return,mid,low,1.0,0.1038160853261158,0.1777786635974361,-0.034863058081342865,none,False,10,0.9,0.4020406581640219,2,True,True,True
XS001_MOM_255_0,monthly,MKT_LOG_RV21,rank_ic,low,high,0.5908630318324148,0.1108658759881218,0.5066991648449827,-0.007390589150005029,none,False,10,1.0,0.410899025843658,3,True,True,True
XS001_MOM_255_0,monthly,MKT_TREND126,active_return,low,mid,0.9537739361917644,0.136756518279254,0.23418712988023,-0.014026852286954414,none,False,10,1.0,0.23459883793225567,3,True,True,True
XS001_MOM_255_0,monthly,MKT_TREND126,rank_ic,mid,low,1.0,0.0140268522869544,0.064108042947004,-0.011396376523271173,none,False,10,0.9,0.27894251020444466,3,True,True,True
XS001_MOM_255_0,monthly,MKT_XS_DISP21,active_return,low,high,1.0,0.1447053646701646,0.2477990406364323,0.0039257575264836,none,False,0,0.0,0.41636449348851906,3,True,True,False
XS001_MOM_255_0,monthly,MKT_XS_DISP21,rank_ic,mid,high,1.0,0.0664907009005825,0.3038877591143764,0.0027167643240492223,none,False,10,1.0,0.25145676863947286,3,True,True,True
