factor_id,frequency,role_tags,primary_role,broad_static,qualifying_state_relationships,exploratory_state_relationships,time_break_unexplained
XS001_MOM_255_0,monthly,time_break_unexplained|exploratory_state_candidate,time_break_unexplained,False,0,1,True
XS001_MOM_255_0,weekly,time_break_unexplained,time_break_unexplained,False,0,0,True
XS002_MOM_12_1,monthly,conditional_sign_switch,conditional_sign_switch,False,1,0,False
XS002_MOM_12_1,weekly,time_break_unexplained,time_break_unexplained,False,0,0,True
XS003_MOM_12_7,monthly,broad_static|time_break_unexplained,broad_static,True,0,0,True
XS003_MOM_12_7,weekly,time_break_unexplained|exploratory_state_candidate,time_break_unexplained,False,0,1,True
XS004_HIGH_52W,monthly,time_break_unexplained|exploratory_state_candidate,time_break_unexplained,False,0,1,True
XS004_HIGH_52W,weekly,time_break_unexplained|exploratory_state_candidate,time_break_unexplained,False,0,3,True
XS007_ST_REV_21,monthly,time_break_unexplained|exploratory_state_candidate,time_break_unexplained,False,0,1,True
XS007_ST_REV_21,weekly,time_break_unexplained,time_break_unexplained,False,0,0,True
XS008_SAME_MONTH_5Y,monthly,conditional_sign_switch|exploratory_state_candidate,conditional_sign_switch,False,1,1,False
XS008_SAME_MONTH_5Y,weekly,no_state_evidence,no_state_evidence,False,0,0,False
XS013_LOW_BETA_FP,monthly,exploratory_state_candidate,exploratory_state_candidate,False,0,1,False
XS013_LOW_BETA_FP,weekly,no_state_evidence,no_state_evidence,False,0,0,False
XS015_MAX_21,monthly,no_state_evidence,no_state_evidence,False,0,0,False
XS015_MAX_21,weekly,time_break_unexplained,time_break_unexplained,False,0,0,True
XS018_AMIHUD_252,monthly,time_break_unexplained,time_break_unexplained,False,0,0,True
XS018_AMIHUD_252,weekly,no_state_evidence,no_state_evidence,False,0,0,False
XS019_PRICE_DELAY_52W,monthly,no_state_evidence,no_state_evidence,False,0,0,False
XS019_PRICE_DELAY_52W,weekly,no_state_evidence,no_state_evidence,False,0,0,False
XS020_VOLUME_SHOCK_50D,monthly,time_break_unexplained,time_break_unexplained,False,0,0,True
XS020_VOLUME_SHOCK_50D,weekly,no_state_evidence,no_state_evidence,False,0,0,False
XS032_GROSS_PROFIT_AT,monthly,time_break_unexplained,time_break_unexplained,False,0,0,True
XS032_GROSS_PROFIT_AT,weekly,time_break_unexplained,time_break_unexplained,False,0,0,True
XS041_ASSET_GROWTH,monthly,broad_static|time_break_unexplained|exploratory_state_candidate,broad_static,True,0,1,True
XS041_ASSET_GROWTH,weekly,broad_static|time_break_unexplained,broad_static,True,0,0,True
XS056_CFO_ACCRUALS_PT,monthly,broad_static|time_break_unexplained|exploratory_state_candidate,broad_static,True,0,1,True
XS056_CFO_ACCRUALS_PT,weekly,time_break_unexplained,time_break_unexplained,False,0,0,True
