frequency,signal_date,common_names,median_available_factors,minimum_available_factors
monthly,2014-01-31,388,11.0,10
monthly,2014-02-28,392,11.0,10
monthly,2014-03-31,393,11.0,10
monthly,2014-04-30,394,11.0,10
monthly,2014-05-30,396,11.0,10
monthly,2014-06-30,396,11.0,10
monthly,2014-07-31,398,11.0,10
monthly,2014-08-29,400,11.0,10
monthly,2014-09-30,401,11.0,10
monthly,2014-10-31,401,11.0,10
monthly,2014-11-28,400,11.0,10
monthly,2014-12-31,400,11.0,10
monthly,2015-01-30,400,11.0,10
monthly,2015-02-27,400,11.0,10
monthly,2015-03-31,404,11.0,10
monthly,2015-04-30,406,11.0,10
monthly,2015-05-29,406,11.0,10
monthly,2015-06-30,407,11.0,10
monthly,2015-07-31,409,11.0,10
monthly,2015-08-31,410,11.0,10
monthly,2015-09-30,412,11.0,10
monthly,2015-10-30,411,11.0,10
monthly,2015-11-30,412,11.0,10
monthly,2015-12-31,417,12.0,10
monthly,2016-01-29,420,13.0,10
monthly,2016-02-29,423,13.0,10
monthly,2016-03-31,425,13.0,10
monthly,2016-04-29,425,13.0,10
monthly,2016-05-31,429,13.0,10
monthly,2016-06-30,431,13.0,10
monthly,2016-07-29,435,13.0,10
monthly,2016-08-31,435,13.0,10
monthly,2016-09-30,438,13.0,10
monthly,2016-10-31,440,13.0,10
monthly,2016-11-30,441,13.0,10
monthly,2016-12-30,442,13.0,10
monthly,2017-01-31,443,13.0,10
monthly,2017-02-28,444,13.0,10
monthly,2017-03-31,447,13.0,10
monthly,2017-04-28,449,13.0,10
monthly,2017-05-31,449,13.0,10
monthly,2017-06-30,450,13.0,10
monthly,2017-07-31,452,13.0,10
monthly,2017-08-31,452,13.0,10
monthly,2017-09-29,452,13.0,10
monthly,2017-10-31,489,13.0,10
monthly,2017-11-30,490,13.0,10
monthly,2017-12-29,490,13.0,10
monthly,2018-01-31,491,13.0,10
monthly,2018-02-28,493,13.0,10
monthly,2018-03-29,493,13.0,10
monthly,2018-04-30,493,13.0,10
monthly,2018-05-31,493,13.0,10
monthly,2018-06-29,492,13.0,10
monthly,2018-07-31,493,13.0,10
monthly,2018-08-31,493,13.0,10
monthly,2018-09-28,494,13.0,10
monthly,2018-10-31,493,13.0,10
monthly,2018-11-30,493,13.0,10
monthly,2018-12-31,495,13.0,10
monthly,2019-01-31,494,13.0,10
monthly,2019-02-28,495,13.0,10
monthly,2019-03-29,495,13.0,10
monthly,2019-04-30,494,13.0,10
monthly,2019-05-31,494,13.0,10
monthly,2019-06-28,493,13.0,10
monthly,2019-07-31,493,13.0,10
monthly,2019-08-30,494,13.0,10
monthly,2019-09-30,495,13.0,10
monthly,2019-10-31,494,14.0,10
monthly,2019-11-29,495,14.0,10
monthly,2019-12-31,495,14.0,10
monthly,2020-01-31,495,14.0,10
monthly,2020-02-28,496,14.0,10
monthly,2020-03-31,499,14.0,10
monthly,2020-04-30,497,14.0,10
monthly,2020-05-29,498,14.0,10
monthly,2020-06-30,498,14.0,10
monthly,2020-07-31,497,14.0,10
monthly,2020-08-31,497,14.0,10
monthly,2020-09-30,498,14.0,10
monthly,2020-10-30,497,14.0,10
monthly,2020-11-30,496,14.0,10
monthly,2020-12-31,497,14.0,10
monthly,2021-01-29,497,14.0,10
monthly,2021-02-26,497,14.0,10
monthly,2021-03-31,500,14.0,10
monthly,2021-04-30,500,14.0,10
monthly,2021-05-28,500,14.0,10
monthly,2021-06-30,499,14.0,10
monthly,2021-07-30,499,14.0,10
monthly,2021-08-31,499,14.0,10
monthly,2021-09-30,499,14.0,10
monthly,2021-10-29,499,14.0,10
monthly,2021-11-30,499,14.0,11
monthly,2021-12-31,499,14.0,11
monthly,2022-01-31,499,14.0,11
monthly,2022-02-28,498,14.0,11
monthly,2022-03-31,499,14.0,11
monthly,2022-04-29,498,14.0,11
monthly,2022-05-31,499,14.0,11
monthly,2022-06-30,498,14.0,11
monthly,2022-07-29,498,14.0,11
monthly,2022-08-31,498,14.0,11
monthly,2022-09-30,497,14.0,11
monthly,2022-10-31,497,14.0,11
monthly,2022-11-30,498,14.0,11
monthly,2022-12-30,498,14.0,11
monthly,2023-01-31,497,14.0,11
monthly,2023-02-28,498,14.0,11
monthly,2023-03-31,498,14.0,11
monthly,2023-04-28,498,14.0,11
monthly,2023-05-31,499,14.0,11
monthly,2023-06-30,499,14.0,11
monthly,2023-07-31,499,14.0,11
monthly,2023-08-31,498,14.0,11
monthly,2023-09-29,498,14.0,11
monthly,2023-10-31,497,14.0,11
monthly,2023-11-30,497,14.0,11
monthly,2023-12-29,497,14.0,11
monthly,2024-01-31,497,14.0,11
monthly,2024-02-29,498,14.0,11
monthly,2024-03-28,499,14.0,11
monthly,2024-04-30,497,14.0,11
monthly,2024-05-31,498,14.0,10
monthly,2024-06-28,498,14.0,10
monthly,2024-07-31,499,14.0,10
monthly,2024-08-30,499,14.0,10
monthly,2024-09-30,499,14.0,10
monthly,2024-10-31,499,14.0,10
monthly,2024-11-29,499,14.0,10
monthly,2024-12-31,500,14.0,10
monthly,2025-01-31,500,14.0,10
monthly,2025-02-28,500,14.0,10
monthly,2025-03-31,502,14.0,11
monthly,2025-04-30,502,14.0,11
monthly,2025-05-30,502,14.0,11
monthly,2025-06-30,502,14.0,11
monthly,2025-07-31,502,14.0,11
monthly,2025-08-29,503,14.0,11
monthly,2025-09-30,503,14.0,11
monthly,2025-10-31,502,14.0,11
monthly,2025-11-28,499,14.0,11
monthly,2025-12-31,500,14.0,11
monthly,2026-01-30,500,14.0,11
monthly,2026-02-27,501,14.0,11
monthly,2026-03-31,501,14.0,11
monthly,2026-04-30,501,14.0,11
weekly,2014-01-03,355,10.0,10
weekly,2014-01-10,387,11.0,10
weekly,2014-01-17,387,11.0,10
weekly,2014-01-24,388,11.0,10
weekly,2014-01-31,388,11.0,10
weekly,2014-02-07,388,11.0,10
weekly,2014-02-14,388,11.0,10
weekly,2014-02-21,390,11.0,10
weekly,2014-02-28,392,11.0,10
weekly,2014-03-07,392,11.0,10
weekly,2014-03-14,392,11.0,10
weekly,2014-03-21,392,11.0,10
weekly,2014-03-28,393,11.0,10
weekly,2014-04-04,395,11.0,10
weekly,2014-04-11,395,11.0,10
weekly,2014-04-17,395,11.0,10
weekly,2014-04-25,395,11.0,10
weekly,2014-05-02,395,11.0,10
weekly,2014-05-09,396,11.0,10
weekly,2014-05-16,396,11.0,10
weekly,2014-05-23,396,11.0,10
weekly,2014-05-30,396,11.0,10
weekly,2014-06-06,396,11.0,10
weekly,2014-06-13,396,11.0,10
weekly,2014-06-20,396,11.0,10
weekly,2014-06-27,396,11.0,10
weekly,2014-07-03,398,11.0,10
weekly,2014-07-11,398,11.0,10
weekly,2014-07-18,398,11.0,10
weekly,2014-07-25,398,11.0,10
weekly,2014-08-01,398,11.0,10
weekly,2014-08-08,398,11.0,10
weekly,2014-08-15,400,11.0,10
weekly,2014-08-22,400,11.0,10
weekly,2014-08-29,400,11.0,10
weekly,2014-09-05,400,11.0,10
weekly,2014-09-12,400,11.0,10
weekly,2014-09-19,400,11.0,10
weekly,2014-09-26,401,11.0,10
weekly,2014-10-03,401,11.0,10
weekly,2014-10-10,401,11.0,10
weekly,2014-10-17,401,11.0,10
weekly,2014-10-24,401,11.0,10
weekly,2014-10-31,401,11.0,10
weekly,2014-11-07,400,11.0,10
weekly,2014-11-14,400,11.0,10
weekly,2014-11-21,400,11.0,10
weekly,2014-11-28,400,11.0,10
weekly,2014-12-05,400,11.0,10
weekly,2014-12-12,400,11.0,10
weekly,2014-12-19,400,11.0,10
weekly,2014-12-26,400,11.0,10
weekly,2015-01-02,400,11.0,10
weekly,2015-01-09,400,11.0,10
weekly,2015-01-16,400,11.0,10
weekly,2015-01-23,400,11.0,10
weekly,2015-01-30,400,11.0,10
weekly,2015-02-06,400,11.0,10
weekly,2015-02-13,400,11.0,10
weekly,2015-02-20,400,11.0,10
weekly,2015-02-27,400,11.0,10
weekly,2015-03-06,400,11.0,10
weekly,2015-03-13,401,11.0,10
weekly,2015-03-20,402,11.0,10
weekly,2015-03-27,404,11.0,10
weekly,2015-04-02,404,11.0,10
weekly,2015-04-10,405,11.0,10
weekly,2015-04-17,405,11.0,10
weekly,2015-04-24,406,11.0,10
weekly,2015-05-01,406,11.0,10
weekly,2015-05-08,406,11.0,10
weekly,2015-05-15,406,11.0,10
weekly,2015-05-22,406,11.0,10
weekly,2015-05-29,406,11.0,10
weekly,2015-06-05,406,11.0,10
weekly,2015-06-12,406,11.0,10
weekly,2015-06-19,406,11.0,10
weekly,2015-06-26,407,11.0,10
weekly,2015-07-02,407,11.0,10
weekly,2015-07-10,408,11.0,10
weekly,2015-07-17,408,11.0,10
weekly,2015-07-24,408,11.0,10
weekly,2015-07-31,409,11.0,10
weekly,2015-08-07,409,11.0,10
weekly,2015-08-14,409,11.0,10
weekly,2015-08-21,409,11.0,10
weekly,2015-08-28,409,11.0,10
weekly,2015-09-04,411,11.0,10
weekly,2015-09-11,411,11.0,10
weekly,2015-09-18,411,11.0,10
weekly,2015-09-25,412,11.0,10
weekly,2015-10-02,410,11.0,10
weekly,2015-10-09,411,11.0,10
weekly,2015-10-16,411,11.0,10
weekly,2015-10-23,411,11.0,10
weekly,2015-10-30,411,11.0,10
weekly,2015-11-06,411,11.0,10
weekly,2015-11-13,411,11.0,10
weekly,2015-11-20,412,11.0,10
weekly,2015-11-27,412,11.0,10
weekly,2015-12-04,411,11.0,10
weekly,2015-12-11,411,11.0,10
weekly,2015-12-18,411,11.0,10
weekly,2015-12-24,411,11.0,10
weekly,2015-12-31,417,12.0,10
weekly,2016-01-08,419,12.0,10
weekly,2016-01-15,419,12.0,10
weekly,2016-01-22,420,12.0,10
weekly,2016-01-29,420,13.0,10
weekly,2016-02-05,422,13.0,10
weekly,2016-02-12,422,13.0,10
weekly,2016-02-19,422,13.0,10
weekly,2016-02-26,423,13.0,10
weekly,2016-03-04,423,13.0,10
weekly,2016-03-11,424,13.0,10
