process_id,frequency,economic_mean,economic_p,mean_rank_ic,rank_ic_p,economic_q,rank_ic_q
RAW__XS001_MOM_255_0,weekly,0.001265216861628853,0.15836832633473305,0.0063980018194913805,0.22975404919016196,1.0,0.6514907544806828
RAW__XS002_MOM_12_1,weekly,0.0009695562308511902,0.20855828834233153,0.011061240165142395,0.11177764447110577,1.0,0.6514907544806828
RAW__XS003_MOM_12_7,weekly,0.0020454026297702997,0.03059388122375525,0.01098882960174676,0.122375524895021,1.0,0.6514907544806828
RAW__XS004_HIGH_52W,weekly,-0.0024947421341848255,0.9994001199760048,-0.0029238816830065976,0.6250749850029994,1.0,1.0
RAW__XS007_ST_REV_21,weekly,-0.00010647635903115552,0.5548890221955609,0.017272893286851422,0.008598280343931213,1.0,0.22785442911417714
RAW__XS008_SAME_MONTH_5Y,weekly,-0.001365023428528867,0.9500099980003999,-0.007988892809536734,0.8992201559688062,1.0,1.0
RAW__XS013_LOW_BETA_FP,weekly,-0.0012746435073822697,0.8930213957208558,-0.008790899575680503,0.7558488302339532,1.0,1.0
RAW__XS015_MAX_21,weekly,-0.0014832505925845,0.9892021595680864,-0.0017968120940938768,0.5900819836032793,1.0,1.0
RAW__XS018_AMIHUD_252,weekly,-0.0009467052732750021,0.9142171565686863,-0.004095384179593302,0.7778444311137772,1.0,1.0
RAW__XS019_PRICE_DELAY_52W,weekly,-0.0008402814251512452,0.8462307538492302,-0.006008427766070997,0.8044391121775645,1.0,1.0
RAW__XS020_VOLUME_SHOCK_50D,weekly,-0.0011965057426567376,0.981003799240152,0.005750776019785034,0.08478304339132174,1.0,0.6514907544806828
RAW__XS032_GROSS_PROFIT_AT,weekly,-0.00010149105200456398,0.5736852629474105,0.004217301872352915,0.22675464907018597,1.0,0.6514907544806828
RAW__XS041_ASSET_GROWTH,weekly,0.000826823845893152,0.126374725054989,-0.0029023888530116462,0.7198560287942412,1.0,1.0
RAW__XS056_CFO_ACCRUALS_PT,weekly,0.0004597428334346897,0.2975404919016197,1.8929884988004233e-05,0.4859028194361128,1.0,0.9950232175787065
UNI_RIDGE__XS001_MOM_255_0,weekly,0.0006478968970905036,0.3285342931413717,-0.005571265725032865,0.7124575084983004,1.0,1.0
UNI_RIDGE__XS002_MOM_12_1,weekly,-0.00011039700508025172,0.5238952209558089,-0.0068390987892510075,0.7360527894421116,1.0,1.0
UNI_RIDGE__XS003_MOM_12_7,weekly,0.0016506987629622137,0.07698460307938412,0.00896061202547794,0.19016196760647872,1.0,0.6514907544806828
