process_id,frequency,prediction_rows,signal_dates,median_names,invalid_selected_total
AB_RIDGE__ALL14_S5_NO_RSP,monthly,50243,101,498.0,8
AB_RIDGE__ALL14_S5_NO_RSP,weekly,220395,443,498.0,104
AB_RIDGE__ROLE5_S1_NO_RSP,monthly,50243,101,498.0,0
AB_RIDGE__ROLE5_S1_NO_RSP,weekly,220395,443,498.0,24
FO_RIDGE__ALL14,monthly,50243,101,498.0,0
FO_RIDGE__ALL14,weekly,220395,443,498.0,68
FO_RIDGE__ROLE5,monthly,50243,101,498.0,0
FO_RIDGE__ROLE5,weekly,220395,443,498.0,56
FS_RIDGE__ALL14_S6,monthly,50243,101,498.0,4
FS_RIDGE__ALL14_S6,weekly,220395,443,498.0,124
FS_RIDGE__ROLE5_S2,monthly,50243,101,498.0,4
FS_RIDGE__ROLE5_S2,weekly,220395,443,498.0,20
RAW__XS001_MOM_255_0,monthly,50180,101,498.0,4
RAW__XS001_MOM_255_0,weekly,220121,443,498.0,8
RAW__XS002_MOM_12_1,monthly,50243,101,498.0,4
RAW__XS002_MOM_12_1,weekly,220395,443,498.0,12
RAW__XS003_MOM_12_7,monthly,50243,101,498.0,0
RAW__XS003_MOM_12_7,weekly,220395,443,498.0,8
RAW__XS004_HIGH_52W,monthly,50183,101,498.0,4
RAW__XS004_HIGH_52W,weekly,220133,443,498.0,20
RAW__XS007_ST_REV_21,monthly,50243,101,498.0,8
RAW__XS007_ST_REV_21,weekly,220395,443,498.0,52
RAW__XS008_SAME_MONTH_5Y,monthly,49130,101,494.0,0
RAW__XS008_SAME_MONTH_5Y,weekly,215507,443,494.0,4
RAW__XS013_LOW_BETA_FP,monthly,49104,101,493.0,4
RAW__XS013_LOW_BETA_FP,weekly,215429,443,494.0,16
RAW__XS015_MAX_21,monthly,50243,101,498.0,0
RAW__XS015_MAX_21,weekly,220395,443,498.0,52
RAW__XS018_AMIHUD_252,monthly,50140,101,498.0,12
RAW__XS018_AMIHUD_252,weekly,219950,443,498.0,16
RAW__XS019_PRICE_DELAY_52W,monthly,50243,101,498.0,4
RAW__XS019_PRICE_DELAY_52W,weekly,220395,443,498.0,8
RAW__XS020_VOLUME_SHOCK_50D,monthly,50243,101,498.0,48
RAW__XS020_VOLUME_SHOCK_50D,weekly,220395,443,498.0,120
RAW__XS032_GROSS_PROFIT_AT,monthly,28307,101,290.0,0
RAW__XS032_GROSS_PROFIT_AT,weekly,124262,443,290.0,16
RAW__XS041_ASSET_GROWTH,monthly,49560,101,491.0,0
RAW__XS041_ASSET_GROWTH,weekly,217415,443,491.0,12
