comparison_id,candidate_process_id,parent_process_id,frequency,economic_mean_increment,economic_p,mean_rank_ic_increment,rank_ic_p,economic_q,rank_ic_q
PAIR__UNI_RIDGE__XS001_MOM_255_0,UNI_RIDGE__XS001_MOM_255_0,RAW__XS001_MOM_255_0,weekly,-0.000617319964538349,0.6810637872425515,-0.011969267544524249,0.856628674265147,1.0,1.0
PAIR__UNI_RIDGE__XS002_MOM_12_1,UNI_RIDGE__XS002_MOM_12_1,RAW__XS002_MOM_12_1,weekly,-0.0010799532359314415,0.8452309538092382,-0.017900338954393403,0.9706058788242351,1.0,1.0
PAIR__UNI_RIDGE__XS003_MOM_12_7,UNI_RIDGE__XS003_MOM_12_7,RAW__XS003_MOM_12_7,weekly,-0.0003947038668080857,0.6644671065786842,-0.0020282175762688227,0.5940811837632474,1.0,1.0
PAIR__UNI_RIDGE__XS004_HIGH_52W,UNI_RIDGE__XS004_HIGH_52W,RAW__XS004_HIGH_52W,weekly,0.0013826922448679506,0.10377924415116976,0.00542337870669863,0.33153369326134774,1.0,1.0
PAIR__UNI_RIDGE__XS007_ST_REV_21,UNI_RIDGE__XS007_ST_REV_21,RAW__XS007_ST_REV_21,weekly,0.0,1.0,0.0,1.0,1.0,1.0
PAIR__UNI_RIDGE__XS008_SAME_MONTH_5Y,UNI_RIDGE__XS008_SAME_MONTH_5Y,RAW__XS008_SAME_MONTH_5Y,weekly,,1.0,,1.0,1.0,1.0
PAIR__UNI_RIDGE__XS013_LOW_BETA_FP,UNI_RIDGE__XS013_LOW_BETA_FP,RAW__XS013_LOW_BETA_FP,weekly,,1.0,,1.0,1.0,1.0
PAIR__UNI_RIDGE__XS015_MAX_21,UNI_RIDGE__XS015_MAX_21,RAW__XS015_MAX_21,weekly,0.0007999891940393864,0.08418316336732654,0.001009749035421187,0.40491901619676063,1.0,1.0
PAIR__UNI_RIDGE__XS018_AMIHUD_252,UNI_RIDGE__XS018_AMIHUD_252,RAW__XS018_AMIHUD_252,weekly,0.0001723497434257554,0.4537092581483703,-0.00707244962374127,0.7464507098580284,1.0,1.0
PAIR__UNI_RIDGE__XS019_PRICE_DELAY_52W,UNI_RIDGE__XS019_PRICE_DELAY_52W,RAW__XS019_PRICE_DELAY_52W,weekly,-2.5469135992400622e-05,0.5192961407718456,0.006933258194823384,0.27434513097380525,1.0,1.0
PAIR__UNI_RIDGE__XS020_VOLUME_SHOCK_50D,UNI_RIDGE__XS020_VOLUME_SHOCK_50D,RAW__XS020_VOLUME_SHOCK_50D,weekly,-0.0009032295081832091,0.999000199960008,-0.007446945835302239,0.989002199560088,1.0,1.0
