process_id,frequency,primary_status,tags
AB_LGBM__ALL14_S5_NO_RSP,monthly,invalid,invalid
AB_LGBM__ROLE5_S1_NO_RSP,monthly,invalid,invalid
AB_RIDGE__ALL14_S5_NO_RSP,monthly,not_qualified,no_rsp_mechanism_control
AB_RIDGE__ROLE5_S1_NO_RSP,monthly,not_qualified,no_rsp_mechanism_control
FO_LGBM__ALL14,monthly,invalid,invalid
FO_LGBM__ROLE5,monthly,invalid,invalid
FO_RIDGE__ALL14,monthly,not_qualified,not_qualified
FO_RIDGE__ROLE5,monthly,not_qualified,not_qualified
FS_LGBM__ALL14_S6,monthly,invalid,invalid
FS_LGBM__ROLE5_S2,monthly,invalid,invalid
FS_RIDGE__ALL14_S6,monthly,not_qualified,rsp_incremental_supported
FS_RIDGE__ROLE5_S2,monthly,not_qualified,not_qualified
RAW__XS001_MOM_255_0,monthly,not_qualified,exploratory_unstable
RAW__XS002_MOM_12_1,monthly,not_qualified,not_qualified
RAW__XS003_MOM_12_7,monthly,not_qualified,exploratory_unstable
RAW__XS004_HIGH_52W,monthly,not_qualified,not_qualified
RAW__XS007_ST_REV_21,monthly,not_qualified,not_qualified
RAW__XS008_SAME_MONTH_5Y,monthly,not_qualified,not_qualified
RAW__XS013_LOW_BETA_FP,monthly,not_qualified,not_qualified
RAW__XS015_MAX_21,monthly,not_qualified,not_qualified
RAW__XS018_AMIHUD_252,monthly,not_qualified,not_qualified
RAW__XS019_PRICE_DELAY_52W,monthly,not_qualified,not_qualified
RAW__XS020_VOLUME_SHOCK_50D,monthly,not_qualified,not_qualified
RAW__XS032_GROSS_PROFIT_AT,monthly,not_qualified,not_qualified
RAW__XS041_ASSET_GROWTH,monthly,not_qualified,not_qualified
RAW__XS056_CFO_ACCRUALS_PT,monthly,not_qualified,not_qualified
STATIC_DIM6_ALL14,monthly,not_qualified,not_qualified
STATIC_EQ_ALL14,monthly,not_qualified,not_qualified
STATIC_EQ_ROLE5,monthly,not_qualified,not_qualified
UNI_LGBM__XS001_MOM_255_0,monthly,not_qualified,not_qualified
UNI_LGBM__XS002_MOM_12_1,monthly,not_qualified,not_qualified
UNI_LGBM__XS003_MOM_12_7,monthly,not_qualified,not_qualified
UNI_LGBM__XS004_HIGH_52W,monthly,not_qualified,not_qualified
UNI_LGBM__XS007_ST_REV_21,monthly,not_qualified,not_qualified
UNI_LGBM__XS008_SAME_MONTH_5Y,monthly,invalid,invalid
UNI_LGBM__XS013_LOW_BETA_FP,monthly,invalid,invalid
UNI_LGBM__XS015_MAX_21,monthly,not_qualified,not_qualified
UNI_LGBM__XS018_AMIHUD_252,monthly,not_qualified,not_qualified
UNI_LGBM__XS019_PRICE_DELAY_52W,monthly,not_qualified,not_qualified
UNI_LGBM__XS020_VOLUME_SHOCK_50D,monthly,not_qualified,not_qualified
UNI_LGBM__XS032_GROSS_PROFIT_AT,monthly,not_qualified,not_qualified
UNI_LGBM__XS041_ASSET_GROWTH,monthly,not_qualified,not_qualified
UNI_LGBM__XS056_CFO_ACCRUALS_PT,monthly,not_qualified,not_qualified
