process_id,frequency,period,periods,relative_log_sum,active_mean
AB_RIDGE__ALL14_S5_NO_RSP,monthly,2018_2021,48,-0.09755706504112005,0.0033752091390952255
AB_RIDGE__ALL14_S5_NO_RSP,monthly,2022_2026h1,53,-0.2596232197323158,-0.004572237199863891
AB_RIDGE__ALL14_S5_NO_RSP,monthly,full,101,-0.35718028477343583,-0.0007952329991704493
AB_RIDGE__ALL14_S5_NO_RSP,weekly,2018_2021,209,-0.8265642159425697,-0.0031253278775220457
AB_RIDGE__ALL14_S5_NO_RSP,weekly,2022_2026h1,234,-0.40076487481781325,-0.00135139932475398
AB_RIDGE__ALL14_S5_NO_RSP,weekly,full,443,-1.2273290907603829,-0.002188309183734851
AB_RIDGE__ROLE5_S1_NO_RSP,monthly,2018_2021,48,-0.02072145956989138,0.0010720711791403794
AB_RIDGE__ROLE5_S1_NO_RSP,monthly,2022_2026h1,53,0.05753612906086143,0.0023430452468334736
AB_RIDGE__ROLE5_S1_NO_RSP,monthly,full,101,0.036814669490969995,0.0017390179671377456
AB_RIDGE__ROLE5_S1_NO_RSP,weekly,2018_2021,209,0.027277835148899456,8.535516411752062e-05
AB_RIDGE__ROLE5_S1_NO_RSP,weekly,2022_2026h1,234,0.27510562241713865,0.0014738410429969298
AB_RIDGE__ROLE5_S1_NO_RSP,weekly,full,443,0.3023834575660382,0.0008187765990109331
FO_RIDGE__ALL14,monthly,2018_2021,48,-0.12041031886544468,0.0008774924241307704
FO_RIDGE__ALL14,monthly,2022_2026h1,53,0.07704999924988812,0.0025840904762692305
FO_RIDGE__ALL14,monthly,full,101,-0.0433603196155566,0.0017730339762430318
FO_RIDGE__ALL14,weekly,2018_2021,209,-0.014467198579239874,-3.6393198566029174e-05
FO_RIDGE__ALL14,weekly,2022_2026h1,234,-0.0014420261412097513,0.0004724509830838364
FO_RIDGE__ALL14,weekly,full,443,-0.01590922472044959,0.00023238679806166507
FO_RIDGE__ROLE5,monthly,2018_2021,48,0.03521658005860451,0.002167948312402188
FO_RIDGE__ROLE5,monthly,2022_2026h1,53,-0.02741469842463779,0.0010008204022199773
FO_RIDGE__ROLE5,monthly,full,101,0.0078018816339667715,0.001555495052603602
FO_RIDGE__ROLE5,weekly,2018_2021,209,-0.04073273293731091,-0.00024802283324184535
FO_RIDGE__ROLE5,weekly,2022_2026h1,234,0.32784459417877937,0.001676432006086582
FO_RIDGE__ROLE5,weekly,full,443,0.28711186124146854,0.0007685063595411164
FS_RIDGE__ALL14_S6,monthly,2018_2021,48,0.5732770170213215,0.016563673195476605
FS_RIDGE__ALL14_S6,monthly,2022_2026h1,53,-0.21795549893607252,-0.0033475519868357167
FS_RIDGE__ALL14_S6,monthly,full,101,0.35532151808524903,0.006115208495847366
FS_RIDGE__ALL14_S6,weekly,2018_2021,209,-0.3082234217391694,-0.001113239537590594
FS_RIDGE__ALL14_S6,weekly,2022_2026h1,234,-0.46608581652561004,-0.0016498584543498216
FS_RIDGE__ALL14_S6,weekly,full,443,-0.7743092382647794,-0.0013966906132602537
FS_RIDGE__ROLE5_S2,monthly,2018_2021,48,-0.035602414373995334,0.001176294548581124
