frequency,signal_date,complete_names,base_names,coverage
monthly,2014-01-31,386,388,0.9948453608247423
monthly,2014-02-28,391,392,0.9974489795918368
monthly,2014-03-31,392,393,0.9974554707379135
monthly,2014-04-30,393,394,0.9974619289340102
monthly,2014-05-30,395,396,0.9974747474747475
monthly,2014-06-30,395,396,0.9974747474747475
monthly,2014-07-31,397,398,0.9974874371859297
monthly,2014-08-29,399,400,0.9975
monthly,2014-09-30,401,401,1.0
monthly,2014-10-31,401,401,1.0
monthly,2014-11-28,400,400,1.0
monthly,2014-12-31,400,400,1.0
monthly,2015-01-30,400,400,1.0
monthly,2015-02-27,395,400,0.9875
monthly,2015-03-31,399,404,0.9876237623762376
monthly,2015-04-30,400,406,0.9852216748768473
monthly,2015-05-29,400,406,0.9852216748768473
monthly,2015-06-30,401,407,0.9852579852579852
monthly,2015-07-31,401,409,0.980440097799511
monthly,2015-08-31,402,410,0.9804878048780488
monthly,2015-09-30,404,412,0.9805825242718447
monthly,2015-10-30,403,411,0.9805352798053528
monthly,2015-11-30,404,412,0.9805825242718447
monthly,2015-12-31,404,417,0.9688249400479616
monthly,2016-01-29,407,420,0.969047619047619
monthly,2016-02-29,414,423,0.9787234042553191
monthly,2016-03-31,417,425,0.9811764705882353
monthly,2016-04-29,418,425,0.9835294117647059
monthly,2016-05-31,422,429,0.9836829836829837
monthly,2016-06-30,424,431,0.9837587006960556
monthly,2016-07-29,429,435,0.9862068965517241
monthly,2016-08-31,429,435,0.9862068965517241
monthly,2016-09-30,432,438,0.9863013698630136
monthly,2016-10-31,434,440,0.9863636363636363
monthly,2016-11-30,435,441,0.9863945578231292
monthly,2016-12-30,436,442,0.9864253393665159
monthly,2017-01-31,438,443,0.9887133182844243
monthly,2017-02-28,439,444,0.9887387387387387
monthly,2017-03-31,440,447,0.9843400447427293
monthly,2017-04-28,441,449,0.9821826280623608
monthly,2017-05-31,441,449,0.9821826280623608
monthly,2017-06-30,442,450,0.9822222222222222
monthly,2017-07-31,443,452,0.9800884955752213
monthly,2017-08-31,443,452,0.9800884955752213
monthly,2017-09-29,441,452,0.9756637168141593
monthly,2017-10-31,476,489,0.9734151329243353
monthly,2017-11-30,476,490,0.9714285714285714
monthly,2017-12-29,476,490,0.9714285714285714
monthly,2018-01-31,478,491,0.9735234215885947
monthly,2018-02-28,486,493,0.9858012170385395
monthly,2018-03-29,486,493,0.9858012170385395
