factor_id,minimum_coverage,weekly_minimum,monthly_minimum,passed
XS001_MOM_255_0,0.9899598393574297,0.9899598393574297,0.9939516129032258,True
XS002_MOM_12_1,1.0,1.0,1.0,True
XS003_MOM_12_7,1.0,1.0,1.0,True
XS004_HIGH_52W,0.9939516129032258,0.9939516129032258,0.9939516129032258,True
XS007_ST_REV_21,1.0,1.0,1.0,True
XS015_MAX_21,1.0,1.0,1.0,True
XS018_AMIHUD_252,0.9899193548387096,0.9899193548387096,0.9899193548387096,True
XS019_PRICE_DELAY_52W,1.0,1.0,1.0,True
XS020_VOLUME_SHOCK_50D,1.0,1.0,1.0,True
XS041_ASSET_GROWTH,0.9688249400479616,0.9688249400479616,0.9688249400479616,True
