process_id,parent_process,frequency,economic_mean_increment,economic_p,mean_rank_ic_increment,economic_q
FO_RIDGE_A01,STATIC_DIM5,weekly,0.00010064503794223275,0.4477104579084183,-0.0012983169943234308,1.0
FO_RIDGE_A1,STATIC_DIM5,weekly,0.0005055644295021693,0.29314137172565485,-0.0007342473624181588,1.0
FO_RIDGE_A10,STATIC_DIM5,weekly,0.00025478712087085507,0.38292341531693663,0.0001924491313005553,1.0
FO_RIDGE_A100,STATIC_DIM5,weekly,0.0003014748007607416,0.3499300139972006,0.00012312613242764384,1.0
FO_LGBM_D1_N50,STATIC_DIM5,weekly,-0.00018055823327762014,0.5752849430113978,0.0012228199556827547,1.0
FO_LGBM_D1_N100,STATIC_DIM5,weekly,0.00043783137102043336,0.3093381323735253,0.0001475725161739331,1.0
FO_LGBM_D2_N50,STATIC_DIM5,weekly,0.0006301440753378083,0.24075184963007398,0.0007531938172352351,1.0
FO_LGBM_D2_N100,STATIC_DIM5,weekly,0.0006182930580676552,0.242751449710058,-0.001755425488115999,1.0
FS_RIDGE_A01_S2,FO_RIDGE_A01,weekly,0.0005762769232500679,0.28374325134973005,0.009789125997325421,1.0
FS_RIDGE_A1_S2,FO_RIDGE_A1,weekly,0.00018051180678875934,0.4341131773645271,0.00925068380874727,1.0
FS_RIDGE_A10_S2,FO_RIDGE_A10,weekly,0.00047169121563410464,0.3091381723655269,0.006788130353420161,1.0
FS_RIDGE_A100_S2,FO_RIDGE_A100,weekly,-0.0003721940066045377,0.6772645470905819,0.000632933104627904,1.0
FS_RIDGE_A01_S1,FO_RIDGE_A01,weekly,0.00016409046038405844,0.45610877824435114,-0.002779780087639623,1.0
FS_RIDGE_A1_S1,FO_RIDGE_A1,weekly,7.144832398177253e-05,0.48890221955608876,-0.002575422704254057,1.0
FS_RIDGE_A10_S1,FO_RIDGE_A10,weekly,0.0003113901984951523,0.38812237552489504,-0.002067824937495108,1.0
FS_RIDGE_A100_S1,FO_RIDGE_A100,weekly,-0.00015621177300487516,0.5768846230753849,-0.0038820474543788527,1.0
FS_RIDGE_A01_S6,FO_RIDGE_A01,weekly,-0.00021349635996861053,0.5882823435312937,0.008060388791003488,1.0
FS_RIDGE_A1_S6,FO_RIDGE_A1,weekly,-0.000983964085850565,0.8346330733853229,0.006835060689842672,1.0
FS_RIDGE_A10_S6,FO_RIDGE_A10,weekly,-0.0001363801315185155,0.5616876624675065,0.005151628259630028,1.0
FS_RIDGE_A100_S6,FO_RIDGE_A100,weekly,-0.0007062830317675591,0.7824435112977405,0.0006956231985523484,1.0
FS_RIDGE_A01_S5,FO_RIDGE_A01,weekly,-0.0012991069541304458,0.8810237952409518,-0.004847565879663546,1.0
FS_RIDGE_A1_S5,FO_RIDGE_A1,weekly,-0.0020474867237413375,0.9630073985202959,-0.00644931914247538,1.0
FS_RIDGE_A10_S5,FO_RIDGE_A10,weekly,-0.0018033199992390561,0.9204159168166367,-0.007818128156500346,1.0
FS_RIDGE_A100_S5,FO_RIDGE_A100,weekly,-0.0017467319560342978,0.9320135972805439,-0.005251981325562553,1.0
FS_LGBM_D2_N50_S2,FO_LGBM_D2_N50,weekly,,1.0,,1.0
FS_LGBM_D2_N100_S2,FO_LGBM_D2_N100,weekly,,1.0,,1.0
FS_LGBM_D2_N50_S1,FO_LGBM_D2_N50,weekly,,1.0,,1.0
FS_LGBM_D2_N100_S1,FO_LGBM_D2_N100,weekly,,1.0,,1.0
FS_LGBM_D2_N50_S6,FO_LGBM_D2_N50,weekly,-0.0005562188667882369,0.8160367926414717,0.004497783832963491,1.0
FS_LGBM_D2_N100_S6,FO_LGBM_D2_N100,weekly,,1.0,,1.0
FS_LGBM_D2_N50_S5,FO_LGBM_D2_N50,weekly,-0.0013176277246111884,0.9492101579684064,0.0052936498655863674,1.0
FS_LGBM_D2_N100_S5,FO_LGBM_D2_N100,weekly,,1.0,,1.0
FO_RIDGE_A01,STATIC_DIM5,monthly,0.004606320821443845,0.1843631273745251,0.008217867493563607,0.842802867997829
FO_RIDGE_A1,STATIC_DIM5,monthly,0.006277099142754529,0.10557888422315537,0.0099981568757048,0.5780177297873759
FO_RIDGE_A10,STATIC_DIM5,monthly,0.006814766448503528,0.07378524295140972,0.01328739920723062,0.5780177297873759
FO_RIDGE_A100,STATIC_DIM5,monthly,0.007498987058050397,0.07458508298340331,0.015522048857404061,0.5780177297873759
FO_LGBM_D1_N50,STATIC_DIM5,monthly,0.0025674081322152307,0.27494501099780044,0.015546209588807133,0.9188562287542491
FO_LGBM_D1_N100,STATIC_DIM5,monthly,0.005142750279763273,0.10837832433513298,0.016084092982668594,0.5780177297873759
FO_LGBM_D2_N50,STATIC_DIM5,monthly,0.005422340662221375,0.07658468306338732,0.015448148188263223,0.5780177297873759
FO_LGBM_D2_N100,STATIC_DIM5,monthly,0.004477129945953181,0.10217956408718257,0.010105856665329677,0.5780177297873759
FS_RIDGE_A01_S2,FO_RIDGE_A01,monthly,0.0009289422981213121,0.4585082983403319,-0.008026950513244393,0.9188562287542491
FS_RIDGE_A1_S2,FO_RIDGE_A1,monthly,-0.0031669859189129347,0.7670465906818636,-0.012746037918968925,0.9188562287542491
FS_RIDGE_A10_S2,FO_RIDGE_A10,monthly,-0.004410657019641365,0.8472305538892222,-0.020543963412845367,0.9188562287542491
FS_RIDGE_A100_S2,FO_RIDGE_A100,monthly,-0.0033450144477994966,0.7762447510497901,-0.02772017314275398,0.9188562287542491
FS_RIDGE_A01_S1,FO_RIDGE_A01,monthly,0.0012498352738561352,0.3835232953409318,-0.009070105468640028,0.9188562287542491
FS_RIDGE_A1_S1,FO_RIDGE_A1,monthly,-0.0018834127173596724,0.7020595880823836,-0.010094920644496725,0.9188562287542491
