process_id,frequency,valid,absolute_qualified,qualified_incremental,beats_raw_XS003,primary_status
STATIC_EQ10,weekly,True,False,False,False,not_qualified
STATIC_DIM5,weekly,True,False,False,False,not_qualified
FO_RIDGE_A01,weekly,True,False,False,False,not_qualified
FO_RIDGE_A1,weekly,True,False,False,False,not_qualified
FO_RIDGE_A10,weekly,True,False,False,False,not_qualified
FO_RIDGE_A100,weekly,True,False,False,False,not_qualified
FO_LGBM_D1_N50,weekly,True,False,False,False,not_qualified
FO_LGBM_D1_N100,weekly,True,False,False,False,not_qualified
FO_LGBM_D2_N50,weekly,True,False,False,False,not_qualified
FO_LGBM_D2_N100,weekly,True,False,False,False,not_qualified
FS_RIDGE_A01_S2,weekly,True,False,False,False,not_qualified
FS_RIDGE_A1_S2,weekly,True,False,False,False,not_qualified
FS_RIDGE_A10_S2,weekly,True,False,False,False,not_qualified
FS_RIDGE_A100_S2,weekly,True,False,False,False,not_qualified
FS_RIDGE_A01_S1,weekly,True,False,False,False,not_qualified
FS_RIDGE_A1_S1,weekly,True,False,False,False,not_qualified
FS_RIDGE_A10_S1,weekly,True,False,False,False,not_qualified
FS_RIDGE_A100_S1,weekly,True,False,False,False,not_qualified
FS_RIDGE_A01_S6,weekly,True,False,False,False,not_qualified
FS_RIDGE_A1_S6,weekly,True,False,False,False,not_qualified
FS_RIDGE_A10_S6,weekly,True,False,False,False,not_qualified
FS_RIDGE_A100_S6,weekly,True,False,False,False,not_qualified
FS_RIDGE_A01_S5,weekly,True,False,False,False,not_qualified
FS_RIDGE_A1_S5,weekly,True,False,False,False,not_qualified
FS_RIDGE_A10_S5,weekly,True,False,False,False,not_qualified
FS_RIDGE_A100_S5,weekly,True,False,False,False,not_qualified
FS_LGBM_D2_N50_S2,weekly,False,False,False,False,invalid
FS_LGBM_D2_N100_S2,weekly,False,False,False,False,invalid
FS_LGBM_D2_N50_S1,weekly,False,False,False,False,invalid
FS_LGBM_D2_N100_S1,weekly,False,False,False,False,invalid
FS_LGBM_D2_N50_S6,weekly,True,False,False,False,not_qualified
FS_LGBM_D2_N100_S6,weekly,False,False,False,False,invalid
FS_LGBM_D2_N50_S5,weekly,True,False,False,False,not_qualified
FS_LGBM_D2_N100_S5,weekly,False,False,False,False,invalid
STATIC_EQ10,monthly,True,False,False,False,not_qualified
STATIC_DIM5,monthly,True,False,False,False,not_qualified
FO_RIDGE_A01,monthly,True,False,False,False,not_qualified
FO_RIDGE_A1,monthly,True,False,False,False,not_qualified
FO_RIDGE_A10,monthly,True,False,False,False,not_qualified
FO_RIDGE_A100,monthly,True,False,False,False,not_qualified
FO_LGBM_D1_N50,monthly,True,False,False,False,not_qualified
FO_LGBM_D1_N100,monthly,True,False,False,False,not_qualified
FO_LGBM_D2_N50,monthly,True,False,False,False,not_qualified
FO_LGBM_D2_N100,monthly,True,False,False,False,not_qualified
FS_RIDGE_A01_S2,monthly,True,False,False,False,not_qualified
FS_RIDGE_A1_S2,monthly,True,False,False,False,not_qualified
FS_RIDGE_A10_S2,monthly,True,False,False,False,not_qualified
FS_RIDGE_A100_S2,monthly,True,False,False,False,not_qualified
FS_RIDGE_A01_S1,monthly,True,False,False,False,not_qualified
FS_RIDGE_A1_S1,monthly,True,False,False,False,not_qualified
FS_RIDGE_A10_S1,monthly,True,False,False,False,not_qualified
FS_RIDGE_A100_S1,monthly,True,False,False,False,not_qualified
FS_RIDGE_A01_S6,monthly,True,False,False,False,not_qualified
FS_RIDGE_A1_S6,monthly,True,False,False,False,not_qualified
FS_RIDGE_A10_S6,monthly,True,False,False,False,not_qualified
FS_RIDGE_A100_S6,monthly,True,False,False,False,not_qualified
FS_RIDGE_A01_S5,monthly,True,False,False,False,not_qualified
FS_RIDGE_A1_S5,monthly,True,False,False,False,not_qualified
FS_RIDGE_A10_S5,monthly,True,False,False,False,not_qualified
FS_RIDGE_A100_S5,monthly,True,False,False,False,not_qualified
FS_LGBM_D2_N50_S2,monthly,True,False,False,False,not_qualified
FS_LGBM_D2_N100_S2,monthly,True,False,False,False,not_qualified
FS_LGBM_D2_N50_S1,monthly,True,False,False,False,not_qualified
FS_LGBM_D2_N100_S1,monthly,True,False,False,False,not_qualified
FS_LGBM_D2_N50_S6,monthly,True,False,False,False,not_qualified
FS_LGBM_D2_N100_S6,monthly,True,False,False,False,not_qualified
FS_LGBM_D2_N50_S5,monthly,True,False,False,False,not_qualified
FS_LGBM_D2_N100_S5,monthly,True,False,False,False,not_qualified
