process_id,parent_process,frequency,economic_mean_increment,economic_p,mean_rank_ic_increment,economic_q
FS_RIDGE_A01_S2,FS_RIDGE_A01_S1,weekly,0.00041218646286600934,0.3151369726054789,0.012568906084965043,0.6302739452109578
FS_RIDGE_A1_S2,FS_RIDGE_A1_S1,weekly,0.00010906348280698712,0.4439112177564487,0.01182610651300132,0.665866826634673
FS_RIDGE_A10_S2,FS_RIDGE_A10_S1,weekly,0.0001603010171389528,0.4179164167166567,0.00885595529091527,0.665866826634673
FS_RIDGE_A100_S2,FS_RIDGE_A100_S1,weekly,-0.0002159822335996627,0.608878224355129,0.004514980559006757,0.8118376324735053
FS_RIDGE_A01_S6,FS_RIDGE_A01_S5,weekly,0.0010856105941618346,0.0611877624475105,0.012907954670667037,0.18188362327534496
FS_RIDGE_A1_S6,FS_RIDGE_A1_S5,weekly,0.0010635226378907724,0.07578484303139373,0.013284379832318054,0.18188362327534496
FS_RIDGE_A10_S6,FS_RIDGE_A10_S5,weekly,0.0016669398677205411,0.04079184163167367,0.01296975641613037,0.18188362327534496
FS_RIDGE_A100_S6,FS_RIDGE_A100_S5,weekly,0.001040448924266739,0.05878824235152969,0.005947604524114904,0.18188362327534496
FS_LGBM_D2_N50_S2,FS_LGBM_D2_N50_S1,weekly,,1.0,,1.0
FS_LGBM_D2_N100_S2,FS_LGBM_D2_N100_S1,weekly,,1.0,,1.0
FS_LGBM_D2_N50_S6,FS_LGBM_D2_N50_S5,weekly,0.0007614088578229514,0.0591881623675265,-0.0007958660326228777,0.18188362327534496
FS_LGBM_D2_N100_S6,FS_LGBM_D2_N100_S5,weekly,,1.0,,1.0
FS_RIDGE_A01_S2,FS_RIDGE_A01_S1,monthly,-0.00032089297573482354,0.5620875824835033,0.0010431549553956373,0.843131373725255
FS_RIDGE_A1_S2,FS_RIDGE_A1_S1,monthly,-0.0012835732015532625,0.6526694661067787,-0.0026511172744722055,0.8564105360746033
FS_RIDGE_A10_S2,FS_RIDGE_A10_S1,monthly,-0.00258242739460111,0.7850429914017196,-0.009100073608427905,0.8564105360746033
FS_RIDGE_A100_S2,FS_RIDGE_A100_S1,monthly,-0.0021288261843212357,0.7376524695060988,-0.011980402909152596,0.8564105360746033
FS_RIDGE_A01_S6,FS_RIDGE_A01_S5,monthly,0.005034415680224038,0.07438512297540492,0.021626441055495372,0.44631073785242953
FS_RIDGE_A1_S6,FS_RIDGE_A1_S5,monthly,0.0047553123718660235,0.04799040191961608,0.021407742735411815,0.44631073785242953
FS_RIDGE_A10_S6,FS_RIDGE_A10_S5,monthly,0.001161920309875486,0.27894421115776846,0.013217967408505428,0.74625074985003
FS_RIDGE_A100_S6,FS_RIDGE_A100_S5,monthly,-0.003507454093554422,0.9892021595680864,0.0027220352108226218,0.9892021595680864
FS_LGBM_D2_N50_S2,FS_LGBM_D2_N50_S1,monthly,-0.00024392560609632984,0.5538892221555689,0.006740986176154772,0.843131373725255
FS_LGBM_D2_N100_S2,FS_LGBM_D2_N100_S1,monthly,0.0012440888260886217,0.3109378124375125,0.006633163957823968,0.74625074985003
FS_LGBM_D2_N50_S6,FS_LGBM_D2_N50_S5,monthly,-0.0001748628978373414,0.5444911017796441,0.00635027420064625,0.843131373725255
FS_LGBM_D2_N100_S6,FS_LGBM_D2_N100_S5,monthly,0.0016700201424009369,0.22095580883823235,0.003945234568478351,0.74625074985003
