transfer_id,frequency,top_k,path_type,cost_bps,peak_date,trough_date,recovery_date,depth,decline_sessions,recovery_sessions,duration_sessions,recovered
MONTHLY_TOP10,monthly,10,matched_static,0.0,2018-08-29,2018-12-24,2019-11-15,-0.2777978645795294,80,226,306,True
MONTHLY_TOP10,monthly,10,matched_static,0.0,2020-02-19,2020-03-23,2020-07-06,-0.2256323860451137,23,72,95,True
MONTHLY_TOP10,monthly,10,matched_static,0.0,2022-03-29,2022-06-16,2022-08-23,-0.1843610961266008,55,46,101,True
MONTHLY_TOP10,monthly,10,matched_static,0.0,2025-01-23,2025-04-08,2025-05-13,-0.18265185842250586,52,24,76,True
MONTHLY_TOP10,monthly,10,matched_static,0.0,2022-08-29,2022-09-26,2022-10-21,-0.14946781771728423,19,19,38,True
MONTHLY_TOP10,monthly,10,matched_static,0.0,2021-02-12,2021-03-08,2021-08-05,-0.13559266147087523,15,105,120,True
MONTHLY_TOP10,monthly,10,matched_static,0.0,2022-11-15,2022-12-09,2023-06-15,-0.1187051709178889,17,128,145,True
MONTHLY_TOP10,monthly,10,matched_static,0.0,2022-02-09,2022-03-07,2022-03-18,-0.10788214301975452,17,9,26,True
MONTHLY_TOP10,monthly,10,matched_static,0.0,2026-01-26,2026-03-30,2026-04-08,-0.10622668159270288,44,6,50,True
MONTHLY_TOP10,monthly,10,matched_static,0.0,2020-09-02,2020-10-30,2020-12-18,-0.10063266342889499,41,34,75,True
MONTHLY_TOP10,monthly,10,matched_static,5.0,2018-08-29,2018-12-24,2019-11-19,-0.278963544714094,80,228,308,True
MONTHLY_TOP10,monthly,10,matched_static,5.0,2020-02-19,2020-03-23,2020-07-06,-0.2259961942197093,23,72,95,True
MONTHLY_TOP10,monthly,10,matched_static,5.0,2022-03-29,2022-06-16,2022-08-23,-0.18517185499666344,55,46,101,True
MONTHLY_TOP10,monthly,10,matched_static,5.0,2025-01-23,2025-04-08,2025-05-14,-0.1835755526221865,52,25,77,True
MONTHLY_TOP10,monthly,10,matched_static,5.0,2022-08-29,2022-09-26,2022-10-21,-0.14955265265297524,19,19,38,True
MONTHLY_TOP10,monthly,10,matched_static,5.0,2021-02-12,2021-03-08,2021-08-06,-0.1358140526889472,15,106,121,True
MONTHLY_TOP10,monthly,10,matched_static,5.0,2022-11-15,2022-12-09,2023-06-15,-0.11891934114122527,17,128,145,True
MONTHLY_TOP10,monthly,10,matched_static,5.0,2022-02-09,2022-03-07,2022-03-18,-0.10827162864682571,17,9,26,True
MONTHLY_TOP10,monthly,10,matched_static,5.0,2026-01-26,2026-03-30,2026-04-08,-0.10689856288785993,44,6,50,True
MONTHLY_TOP10,monthly,10,matched_static,5.0,2020-09-02,2020-10-30,2020-12-18,-0.10093329281576136,41,34,75,True
MONTHLY_TOP10,monthly,10,matched_static,10.0,2018-08-29,2018-12-24,2019-11-26,-0.2801277921821155,80,233,313,True
MONTHLY_TOP10,monthly,10,matched_static,10.0,2020-02-19,2020-03-23,2020-07-06,-0.22635998601870977,23,72,95,True
MONTHLY_TOP10,monthly,10,matched_static,10.0,2022-03-29,2022-06-16,2022-08-23,-0.1859820641536506,55,46,101,True
MONTHLY_TOP10,monthly,10,matched_static,10.0,2025-01-23,2025-04-08,2025-05-14,-0.184498519290624,52,25,77,True
MONTHLY_TOP10,monthly,10,matched_static,10.0,2022-08-29,2022-09-26,2022-10-21,-0.14963748477948746,19,19,38,True
MONTHLY_TOP10,monthly,10,matched_static,10.0,2021-02-12,2021-03-08,2021-08-09,-0.13603543765152204,15,107,122,True
MONTHLY_TOP10,monthly,10,matched_static,10.0,2022-11-15,2022-12-09,2023-06-15,-0.11913350878007367,17,128,145,True
MONTHLY_TOP10,monthly,10,matched_static,10.0,2022-02-09,2022-03-07,2022-03-18,-0.10866110970105625,17,9,26,True
MONTHLY_TOP10,monthly,10,matched_static,10.0,2026-01-26,2026-03-30,2026-04-08,-0.10757018325344414,44,6,50,True
MONTHLY_TOP10,monthly,10,matched_static,10.0,2020-09-02,2020-10-30,2020-12-18,-0.10123390910202901,41,34,75,True
MONTHLY_TOP10,monthly,10,matched_static,20.0,2018-08-29,2018-12-24,2020-01-09,-0.282451994032458,80,262,342,True
MONTHLY_TOP10,monthly,10,matched_static,20.0,2020-02-19,2020-03-23,2020-07-09,-0.22708752049143033,23,75,98,True
MONTHLY_TOP10,monthly,10,matched_static,20.0,2022-03-29,2022-06-16,2022-08-23,-0.187600834172018,55,46,101,True
MONTHLY_TOP10,monthly,10,matched_static,20.0,2025-01-23,2025-04-08,2025-05-14,-0.18634227138245896,52,25,77,True
MONTHLY_TOP10,monthly,10,matched_static,20.0,2022-08-29,2022-09-26,2022-10-21,-0.14980714060516742,19,19,38,True
MONTHLY_TOP10,monthly,10,matched_static,20.0,2021-02-12,2021-03-08,2021-08-09,-0.136478188810512,15,107,122,True
MONTHLY_TOP10,monthly,10,matched_static,20.0,2022-11-15,2022-12-09,2023-07-31,-0.11956183630434947,17,158,175,True
MONTHLY_TOP10,monthly,10,matched_static,20.0,2022-02-09,2022-03-07,2022-03-18,-0.10944005809110213,17,9,26,True
MONTHLY_TOP10,monthly,10,matched_static,20.0,2026-01-26,2026-03-30,2026-04-08,-0.10891264124888766,44,6,50,True
MONTHLY_TOP10,monthly,10,matched_static,20.0,2020-09-02,2020-11-02,2020-12-22,-0.10188071085921824,42,35,77,True
MONTHLY_TOP10,monthly,10,naked,0.0,2018-08-29,2018-12-24,2019-11-27,-0.3590163105771289,80,234,314,True
MONTHLY_TOP10,monthly,10,naked,0.0,2020-02-19,2020-03-23,2020-07-09,-0.29347810447176126,23,75,98,True
MONTHLY_TOP10,monthly,10,naked,0.0,2025-01-23,2025-04-08,2025-05-15,-0.24526147950572152,52,26,78,True
MONTHLY_TOP10,monthly,10,naked,0.0,2022-03-29,2022-06-16,2022-08-23,-0.2432641518749844,55,46,101,True
MONTHLY_TOP10,monthly,10,naked,0.0,2022-08-29,2022-09-26,2022-10-21,-0.1977078465142933,19,19,38,True
MONTHLY_TOP10,monthly,10,naked,0.0,2021-02-12,2021-03-08,2021-08-09,-0.17891872532839082,15,107,122,True
MONTHLY_TOP10,monthly,10,naked,0.0,2022-11-15,2022-12-09,2023-07-31,-0.15857326687285034,17,158,175,True
MONTHLY_TOP10,monthly,10,naked,0.0,2026-01-26,2026-03-30,2026-04-08,-0.142983855391968,44,6,50,True
MONTHLY_TOP10,monthly,10,naked,0.0,2022-02-09,2022-03-07,2022-03-18,-0.14253073217188483,17,9,26,True
MONTHLY_TOP10,monthly,10,naked,0.0,2020-09-02,2020-10-30,2020-12-18,-0.13453956881680418,41,34,75,True
MONTHLY_TOP10,monthly,10,naked,5.0,2018-08-29,2018-12-24,2020-01-02,-0.3603552271447539,80,257,337,True
MONTHLY_TOP10,monthly,10,naked,5.0,2020-02-19,2020-03-23,2020-07-09,-0.2939048817332802,23,75,98,True
MONTHLY_TOP10,monthly,10,naked,5.0,2025-01-23,2025-04-08,2025-05-16,-0.24635121830321083,52,27,79,True
MONTHLY_TOP10,monthly,10,naked,5.0,2022-03-29,2022-06-16,2022-08-23,-0.24423426795885828,55,46,101,True
MONTHLY_TOP10,monthly,10,naked,5.0,2022-08-29,2022-09-26,2022-10-21,-0.1977941810496857,19,19,38,True
MONTHLY_TOP10,monthly,10,naked,5.0,2021-02-12,2021-03-08,2021-08-09,-0.17918573658027748,15,107,122,True
MONTHLY_TOP10,monthly,10,naked,5.0,2022-11-15,2022-12-09,2023-08-14,-0.15883978652253794,17,168,185,True
MONTHLY_TOP10,monthly,10,naked,5.0,2026-01-26,2026-03-30,2026-04-08,-0.14383086946927137,44,6,50,True
MONTHLY_TOP10,monthly,10,naked,5.0,2022-02-09,2022-03-07,2022-03-18,-0.14302656685228143,17,9,26,True
MONTHLY_TOP10,monthly,10,naked,5.0,2020-09-02,2020-10-30,2020-12-18,-0.13490040761346755,41,34,75,True
MONTHLY_TOP10,monthly,10,naked,10.0,2018-08-29,2018-12-24,2020-01-09,-0.3616920612474712,80,262,342,True
MONTHLY_TOP10,monthly,10,naked,10.0,2020-02-19,2020-03-23,2020-07-20,-0.2943316589947993,23,82,105,True
MONTHLY_TOP10,monthly,10,naked,10.0,2025-01-23,2025-04-08,2025-05-16,-0.24743991368580276,52,27,79,True
MONTHLY_TOP10,monthly,10,naked,10.0,2022-03-29,2022-06-16,2022-08-23,-0.24520357042640084,55,46,101,True
MONTHLY_TOP10,monthly,10,naked,10.0,2022-08-29,2022-09-26,2022-10-21,-0.1978805155850779,19,19,38,True
MONTHLY_TOP10,monthly,10,naked,10.0,2021-02-12,2021-03-08,2021-08-09,-0.17945274783216414,15,107,122,True
MONTHLY_TOP10,monthly,10,naked,10.0,2022-11-15,2023-01-03,2023-11-17,-0.15917501260043265,32,221,253,True
MONTHLY_TOP10,monthly,10,naked,10.0,2026-01-26,2026-03-30,2026-04-08,-0.1446774710369042,44,6,50,True
MONTHLY_TOP10,monthly,10,naked,10.0,2022-02-09,2022-03-07,2022-03-18,-0.14352240153267815,17,9,26,True
MONTHLY_TOP10,monthly,10,naked,10.0,2020-09-02,2020-10-30,2020-12-22,-0.1352612464101316,41,36,77,True
MONTHLY_TOP10,monthly,10,naked,20.0,2018-08-29,2018-12-24,2020-01-16,-0.36435949063257733,80,267,347,True
MONTHLY_TOP10,monthly,10,naked,20.0,2020-02-19,2020-03-23,2020-07-20,-0.29518521351783744,23,82,105,True
MONTHLY_TOP10,monthly,10,naked,20.0,2025-01-23,2025-04-08,2025-05-16,-0.24961417619187087,52,27,79,True
MONTHLY_TOP10,monthly,10,naked,20.0,2022-03-29,2022-06-16,2022-08-23,-0.24713973584877025,55,46,101,True
MONTHLY_TOP10,monthly,10,naked,20.0,2022-08-29,2022-09-26,2022-10-21,-0.19805318465586197,19,19,38,True
MONTHLY_TOP10,monthly,10,naked,20.0,2021-02-12,2021-03-08,2021-08-09,-0.1799867703359379,15,107,122,True
MONTHLY_TOP10,monthly,10,naked,20.0,2022-11-15,2023-01-03,2023-11-20,-0.16025343072579323,32,222,254,True
MONTHLY_TOP10,monthly,10,naked,20.0,2026-01-26,2026-03-30,2026-04-08,-0.1463694366431575,44,6,50,True
MONTHLY_TOP10,monthly,10,naked,20.0,2022-02-09,2022-03-07,2022-03-18,-0.14451407089347146,17,9,26,True
