transfer_id,frequency,top_k,cost_bps,overlay_to_naked_terminal_ratio,timing_value_vs_static,delta_sharpe_vs_naked,delta_mdd_vs_naked,delta_ulcer_vs_naked,delta_pain_vs_naked,delta_cdar95_vs_naked,delta_max_duration_vs_naked,four_metric_gate
MONTHLY_TOP10,monthly,10,0.0,0.8770369972691431,0.39937934444609,0.1390775708649663,0.10245300832799997,-0.020662843477324555,-0.016498935124747635,-0.05308204523132751,-45.0,False
MONTHLY_TOP10,monthly,10,5.0,0.8749407638494813,0.38030397355486745,0.13317586955348948,0.10139897858805047,-0.020670878594273953,-0.01672320426242286,-0.05280856817729146,-68.0,False
MONTHLY_TOP10,monthly,10,10.0,0.8728556951704457,0.36148232932226554,0.12725995479822116,0.10034976193762113,-0.020772654213951386,-0.01708392900807367,-0.05253082928642386,-72.0,False
MONTHLY_TOP10,monthly,10,20.0,0.8687188731780264,0.32458708964923444,0.11538878421604315,0.09826570607947227,-0.021087661412824546,-0.017875787701976585,-0.05197950184015962,-77.0,False
MONTHLY_TOP20,monthly,20,0.0,0.8533179782110063,0.26424345001366545,0.12206381455302662,0.12225255022148895,-0.016441967537931666,-0.012549789962503582,-0.0445623605040443,-26.0,False
MONTHLY_TOP20,monthly,20,5.0,0.8506944933039989,0.2467181753057699,0.11492932721618376,0.12182389996499121,-0.016419845567000116,-0.012824066609609039,-0.04421794932528525,-33.0,False
MONTHLY_TOP20,monthly,20,10.0,0.8480836613073464,0.22942990273446995,0.10777452164157075,0.12139562051359276,-0.016406565077491296,-0.013095494742411985,-0.043864783858762496,-34.0,False
MONTHLY_TOP20,monthly,20,20.0,0.8428997191601765,0.1955518977770121,0.09340927839932434,0.12020093981848667,-0.016432101211573458,-0.013687801345050613,-0.04307825278183261,-60.0,False
MONTHLY_TOP5,monthly,5,0.0,1.2167247265182077,0.6613421007282201,0.20212321782251996,0.11659742646202054,-0.05103143018704759,-0.040185740252496924,-0.10047563270420148,31.0,True
MONTHLY_TOP5,monthly,5,5.0,1.2131875364838254,0.6384846119022902,0.19686143658181532,0.11561546811006096,-0.0511551529680241,-0.03990485644914453,-0.1014170515575398,-36.0,True
MONTHLY_TOP5,monthly,5,10.0,1.2096692713531132,0.6159336070724202,0.19158695883674937,0.11463787614652798,-0.05138997823506143,-0.04003559702886968,-0.10235028045931974,-49.0,True
MONTHLY_TOP5,monthly,5,20.0,1.2026891639500494,0.5717350780366077,0.18100226228984329,0.11269573631201679,-0.05168920181650481,-0.04025089902601786,-0.10426145216366184,-48.0,True
MONTHLY_TOP50,monthly,50,0.0,0.8823413132174731,0.168040843486422,0.1210520735465419,0.12920847980540384,-0.016118332286481567,-0.012031956012109352,-0.043905388749147706,196.0,False
MONTHLY_TOP50,monthly,50,5.0,0.878299391501208,0.15158128372154422,0.11192983957171354,0.1267781826547485,-0.015241955804910258,-0.01148973801912783,-0.04272480809915563,190.0,False
MONTHLY_TOP50,monthly,50,10.0,0.8742787873954334,0.1353483621824978,0.10278081372714587,0.12435613749611907,-0.014316464772162592,-0.010969204470163411,-0.04153780003515237,186.0,False
MONTHLY_TOP50,monthly,50,20.0,0.8663010582361386,0.10355027943746187,0.08441085319253394,0.11953671408767519,-0.012491036662917135,-0.010136994718836723,-0.03901780242458594,116.0,False
WEEKLY_TOP10,weekly,10,0.0,0.9419013056954018,0.41001184987528405,0.14684517613337877,0.13000630207786046,-0.033163292762805635,-0.02845426160195525,-0.07737817494011842,-213.0,False
WEEKLY_TOP10,weekly,10,5.0,0.9578246081618454,0.39451988448498465,0.14393535099150445,0.12878486917807452,-0.034156203799324936,-0.029552850419857828,-0.07658753779201086,-115.0,False
WEEKLY_TOP10,weekly,10,10.0,0.9740247231962631,0.3791883067503381,0.1410192067208631,0.1275715499604233,-0.035186438488173,-0.030437292829017457,-0.07615243060141602,-99.0,False
WEEKLY_TOP10,weekly,10,20.0,1.0072752584707918,0.3490001039093291,0.1351732452459219,0.13908348737735576,-0.03688760431241758,-0.03144997754065232,-0.07601813659491818,-78.0,True
WEEKLY_TOP20,weekly,20,0.0,0.8316104172076277,0.2687071286380418,0.11894965898556609,0.11317213521021652,-0.02579745826986899,-0.01956002487676181,-0.06695520869362984,-68.0,False
WEEKLY_TOP20,weekly,20,5.0,0.8444437957811997,0.2551855163806709,0.11531248797773919,0.11198986980483816,-0.026457571453562277,-0.020382468591080685,-0.06691325793681513,-72.0,False
WEEKLY_TOP20,weekly,20,10.0,0.857479565696132,0.24179926777132943,0.11165342233994668,0.11081527414862291,-0.027141137537788206,-0.021089408586880215,-0.06692399076050004,-46.0,False
WEEKLY_TOP20,weekly,20,20.0,0.8841713727301883,0.21542781482890372,0.10427807711883397,0.10848892881528271,-0.02840945458372937,-0.02186230597680859,-0.06680594747060334,-3.0,False
WEEKLY_TOP5,weekly,5,0.0,1.1681801527193316,0.48325743037251656,0.15196689413732434,0.07907405446492277,-0.029925264108696115,-0.03214508054047652,-0.04497298099092717,24.0,True
WEEKLY_TOP5,weekly,5,5.0,1.1909241896403584,0.46768042359097595,0.15014447875424008,0.08751070884584522,-0.03053599683540878,-0.03257388161494644,-0.042045413571040524,11.0,True
WEEKLY_TOP5,weekly,5,10.0,1.2141260166487413,0.4522568154873565,0.148313282212023,0.09151642077596067,-0.02909580326863692,-0.03180519890149355,-0.03475116414629115,223.0,True
WEEKLY_TOP5,weekly,5,20.0,1.2619413043223007,0.4218641758713171,0.1446271631053001,0.09780599629392983,-0.027210233254013477,-0.03182518291379591,-0.021511206387586634,68.0,True
WEEKLY_TOP50,weekly,50,0.0,0.8657584023730643,0.17681402260392254,0.12141347021346771,0.1332166610138411,-0.017375198945820777,-0.013137747433897846,-0.04322401822642308,108.0,False
WEEKLY_TOP50,weekly,50,5.0,0.8755362122538215,0.1627801766088921,0.11497624675510087,0.1304443019767505,-0.01635524868505262,-0.012288061656723956,-0.04156765566380127,212.0,False
WEEKLY_TOP50,weekly,50,10.0,0.885426335083495,0.1489055582010439,0.1085110235479092,0.12565540007895004,-0.014697583308443181,-0.01121765944689581,-0.038883701976327484,197.0,False
WEEKLY_TOP50,weekly,50,20.0,0.905548778876798,0.12162717485193886,0.09551228832009395,0.11618693132533786,-0.01177356097404575,-0.010150545439732803,-0.035217681494944364,132.0,False
