transfer_id,frequency,top_k,cost_bps,overlay_to_naked_terminal_ratio,timing_value_vs_static,delta_sharpe_vs_naked,delta_mdd_vs_naked,delta_ulcer_vs_naked,delta_pain_vs_naked,delta_cdar95_vs_naked,delta_max_duration_vs_naked,four_metric_gate
MONTHLY_TOP10,monthly,10,0.0,0.8770369972691431,0.39937934444609,0.1390775708649663,0.1024530083279999,-0.0206628434773245,-0.0164989351247476,-0.0530820452313275,-45.0,False
MONTHLY_TOP10,monthly,10,5.0,0.8749407638494813,0.3803039735548674,0.1331758695534894,0.1013989785880504,-0.0206708785942739,-0.0167232042624228,-0.0528085681772914,-68.0,False
MONTHLY_TOP10,monthly,10,10.0,0.8728556951704457,0.3614823293222655,0.1272599547982211,0.1003497619376211,-0.0207726542139513,-0.0170839290080736,-0.0525308292864238,-72.0,False
MONTHLY_TOP10,monthly,10,20.0,0.8687188731780264,0.3245870896492344,0.1153887842160431,0.0982657060794722,-0.0210876614128245,-0.0178757877019765,-0.0519795018401596,-77.0,False
MONTHLY_TOP20,monthly,20,0.0,0.8533179782110063,0.2642434500136654,0.1220638145530266,0.1222525502214889,-0.0164419675379316,-0.0125497899625035,-0.0445623605040443,-26.0,False
MONTHLY_TOP20,monthly,20,5.0,0.8506944933039989,0.2467181753057699,0.1149293272161837,0.1218238999649912,-0.0164198455670001,-0.012824066609609,-0.0442179493252852,-33.0,False
MONTHLY_TOP20,monthly,20,10.0,0.8480836613073464,0.2294299027344699,0.1077745216415707,0.1213956205135927,-0.0164065650774912,-0.0130954947424119,-0.0438647838587624,-34.0,False
MONTHLY_TOP20,monthly,20,20.0,0.8428997191601765,0.1955518977770121,0.0934092783993243,0.1202009398184866,-0.0164321012115734,-0.0136878013450506,-0.0430782527818326,-60.0,False
MONTHLY_TOP5,monthly,5,0.0,1.2167247265182075,0.6613421007282201,0.2021232178225199,0.1165974264620205,-0.0510314301870475,-0.0401857402524969,-0.1004756327042014,31.0,True
MONTHLY_TOP5,monthly,5,5.0,1.2131875364838254,0.6384846119022902,0.1968614365818153,0.1156154681100609,-0.0511551529680241,-0.0399048564491445,-0.1014170515575398,-36.0,True
MONTHLY_TOP5,monthly,5,10.0,1.2096692713531132,0.6159336070724202,0.1915869588367493,0.1146378761465279,-0.0513899782350614,-0.0400355970288696,-0.1023502804593197,-49.0,True
MONTHLY_TOP5,monthly,5,20.0,1.2026891639500494,0.5717350780366077,0.1810022622898432,0.1126957363120167,-0.0516892018165048,-0.0402508990260178,-0.1042614521636618,-48.0,True
MONTHLY_TOP50,monthly,50,0.0,0.8823413132174731,0.168040843486422,0.1210520735465419,0.1292084798054038,-0.0161183322864815,-0.0120319560121093,-0.0439053887491477,196.0,False
MONTHLY_TOP50,monthly,50,5.0,0.878299391501208,0.1515812837215442,0.1119298395717135,0.1267781826547485,-0.0152419558049102,-0.0114897380191278,-0.0427248080991556,190.0,False
MONTHLY_TOP50,monthly,50,10.0,0.8742787873954334,0.1353483621824978,0.1027808137271458,0.124356137496119,-0.0143164647721625,-0.0109692044701634,-0.0415378000351523,186.0,False
MONTHLY_TOP50,monthly,50,20.0,0.8663010582361386,0.1035502794374618,0.0844108531925339,0.1195367140876751,-0.0124910366629171,-0.0101369947188367,-0.0390178024245859,116.0,False
WEEKLY_TOP10,weekly,10,0.0,0.9419013056954018,0.410011849875284,0.1468451761333787,0.1300063020778604,-0.0331632927628056,-0.0284542616019552,-0.0773781749401184,-213.0,False
WEEKLY_TOP10,weekly,10,5.0,0.9578246081618454,0.3945198844849846,0.1439353509915044,0.1287848691780745,-0.0341562037993249,-0.0295528504198578,-0.0765875377920108,-115.0,False
WEEKLY_TOP10,weekly,10,10.0,0.9740247231962632,0.3791883067503381,0.1410192067208631,0.1275715499604233,-0.035186438488173,-0.0304372928290174,-0.076152430601416,-99.0,False
WEEKLY_TOP10,weekly,10,20.0,1.0072752584707918,0.3490001039093291,0.1351732452459219,0.1390834873773557,-0.0368876043124175,-0.0314499775406523,-0.0760181365949181,-78.0,True
WEEKLY_TOP20,weekly,20,0.0,0.8316104172076277,0.2687071286380418,0.118949658985566,0.1131721352102165,-0.0257974582698689,-0.0195600248767618,-0.0669552086936298,-68.0,False
WEEKLY_TOP20,weekly,20,5.0,0.8444437957811997,0.2551855163806709,0.1153124879777391,0.1119898698048381,-0.0264575714535622,-0.0203824685910806,-0.0669132579368151,-72.0,False
WEEKLY_TOP20,weekly,20,10.0,0.857479565696132,0.2417992677713294,0.1116534223399466,0.1108152741486229,-0.0271411375377882,-0.0210894085868802,-0.0669239907605,-46.0,False
WEEKLY_TOP20,weekly,20,20.0,0.8841713727301883,0.2154278148289037,0.1042780771188339,0.1084889288152827,-0.0284094545837293,-0.0218623059768085,-0.0668059474706033,-3.0,False
WEEKLY_TOP5,weekly,5,0.0,1.1681801527193316,0.4832574303725165,0.1519668941373243,0.0790740544649227,-0.0299252641086961,-0.0321450805404765,-0.0449729809909271,24.0,True
WEEKLY_TOP5,weekly,5,5.0,1.1909241896403584,0.4676804235909759,0.15014447875424,0.0875107088458452,-0.0305359968354087,-0.0325738816149464,-0.0420454135710405,11.0,True
WEEKLY_TOP5,weekly,5,10.0,1.214126016648741,0.4522568154873565,0.148313282212023,0.0915164207759606,-0.0290958032686369,-0.0318051989014935,-0.0347511641462911,223.0,True
WEEKLY_TOP5,weekly,5,20.0,1.261941304322301,0.4218641758713171,0.1446271631053001,0.0978059962939298,-0.0272102332540134,-0.0318251829137959,-0.0215112063875866,68.0,True
WEEKLY_TOP50,weekly,50,0.0,0.8657584023730643,0.1768140226039225,0.1214134702134677,0.1332166610138411,-0.0173751989458207,-0.0131377474338978,-0.043224018226423,108.0,False
WEEKLY_TOP50,weekly,50,5.0,0.8755362122538215,0.1627801766088921,0.1149762467551008,0.1304443019767505,-0.0163552486850526,-0.0122880616567239,-0.0415676556638012,212.0,False
WEEKLY_TOP50,weekly,50,10.0,0.885426335083495,0.1489055582010439,0.1085110235479092,0.12565540007895,-0.0146975833084431,-0.0112176594468958,-0.0388837019763274,197.0,False
WEEKLY_TOP50,weekly,50,20.0,0.905548778876798,0.1216271748519388,0.0955122883200939,0.1161869313253378,-0.0117735609740457,-0.0101505454397328,-0.0352176814949443,132.0,False
