factor_id,total_rows,eligible_rows,missing_rows,coverage_rate
XS001_MOM_255_0,81232,71135,10097,0.8757016939137285
XS002_MOM_12_1,81232,71247,9985,0.8770804609021076
XS003_MOM_12_7,81232,71248,9984,0.8770927713216466
XS004_HIGH_52W,81232,71535,9697,0.8806258617293677
XS007_ST_REV_21,81232,76181,5051,0.9378200709080166
XS008_SAME_MONTH_5Y,81232,60132,21100,0.7402501477250345
XS013_LOW_BETA_FP,81232,60474,20758,0.744460311207406
XS015_MAX_21,81232,76169,5063,0.9376723458735474
XS018_AMIHUD_252,81232,71071,10161,0.8749138270632263
XS019_PRICE_DELAY_52W,81232,72217,9015,0.8890215678550325
XS020_VOLUME_SHOCK_50D,81232,75739,5493,0.9323788654717353
XS026_VALUE_BM,81232,0,81232,0.0
XS030_NET_PAYOUT_YIELD,81232,0,81232,0.0
XS032_GROSS_PROFIT_AT,81232,41465,39767,0.5104515461886941
XS039_ACCRUALS_V2,81232,8081,73151,0.09948050029545007
XS041_ASSET_GROWTH,81232,79640,1592,0.9804018120937562
XS056_CFO_ACCRUALS_PT,81232,68164,13068,0.8391274374630687
