factor_id,data_family,registered_first_round,evaluation_start,evaluation_end,required_member_coverage,required_covered_signal_months,required_eligible_names_per_month,evaluation_rows,eligible_rows,evaluation_member_coverage,covered_signal_months,total_signal_months,minimum_observed_eligible_names,median_eligible_names,maximum_eligible_names,member_coverage_passed,month_count_gate_passed,coverage_gate_passed,coverage_alternative_factor_id,alternative_of_factor_id,coverage_alternative_passed,selection_status,selected_factor_id,failure_reasons,performance_used
XS001_MOM_255_0,market,True,2018-01-02,2026-06-30,0.5,24,100,51408,50694,0.9861111111111112,102,102,492,498.0,503,True,True,True,,,False,ready_first_round,XS001_MOM_255_0,,False
XS002_MOM_12_1,market,True,2018-01-02,2026-06-30,0.5,24,100,51408,50795,0.9880757858699035,102,102,493,498.0,503,True,True,True,,,False,ready_first_round,XS002_MOM_12_1,,False
XS003_MOM_12_7,market,True,2018-01-02,2026-06-30,0.5,24,100,51408,50797,0.9881146903205726,102,102,493,498.0,503,True,True,True,,,False,ready_first_round,XS003_MOM_12_7,,False
XS004_HIGH_52W,market,True,2018-01-02,2026-06-30,0.5,24,100,51408,50698,0.9861889200124494,102,102,492,498.0,503,True,True,True,,,False,ready_first_round,XS004_HIGH_52W,,False
XS007_ST_REV_21,market,True,2018-01-02,2026-06-30,0.5,24,100,51408,50965,0.9913826641767818,102,102,495,500.0,503,True,True,True,,,False,ready_first_round,XS007_ST_REV_21,,False
XS008_SAME_MONTH_5Y,market,True,2018-01-02,2026-06-30,0.5,24,100,51408,49715,0.967067382508559,102,102,450,495.0,498,True,True,True,,,False,ready_first_round,XS008_SAME_MONTH_5Y,,False
XS013_LOW_BETA_FP,market,True,2018-01-02,2026-06-30,0.5,24,100,51408,49648,0.9657640834111423,102,102,449,494.0,498,True,True,True,,,False,ready_first_round,XS013_LOW_BETA_FP,,False
XS015_MAX_21,market,True,2018-01-02,2026-06-30,0.5,24,100,51408,50959,0.9912659508247743,102,102,494,500.0,503,True,True,True,,,False,ready_first_round,XS015_MAX_21,,False
XS018_AMIHUD_252,market,True,2018-01-02,2026-06-30,0.5,24,100,51408,50656,0.9853719265483971,102,102,491,498.0,503,True,True,True,,,False,ready_first_round,XS018_AMIHUD_252,,False
XS019_PRICE_DELAY_52W,market,True,2018-01-02,2026-06-30,0.5,24,100,51408,50843,0.9890094926859633,102,102,493,499.0,503,True,True,True,,,False,ready_first_round,XS019_PRICE_DELAY_52W,,False
XS020_VOLUME_SHOCK_50D,market,True,2018-01-02,2026-06-30,0.5,24,100,51408,50948,0.991051976346094,102,102,495,500.0,503,True,True,True,,,False,ready_first_round,XS020_VOLUME_SHOCK_50D,,False
XS026_VALUE_BM,sec_fundamental,True,2018-01-02,2026-06-30,0.5,24,100,51408,0,0.0,0,102,0,0.0,0,False,False,False,,,False,blocked_data_readiness,,member_coverage_below_threshold|covered_month_count_below_threshold,False
XS030_NET_PAYOUT_YIELD,sec_fundamental,True,2018-01-02,2026-06-30,0.5,24,100,51408,0,0.0,0,102,0,0.0,0,False,False,False,,,False,blocked_data_readiness,,member_coverage_below_threshold|covered_month_count_below_threshold,False
XS032_GROSS_PROFIT_AT,sec_fundamental,True,2018-01-02,2026-06-30,0.5,24,100,51408,28900,0.5621693121693122,102,102,214,291.0,306,True,True,True,,,False,ready_first_round,XS032_GROSS_PROFIT_AT,,False
XS039_ACCRUALS_V2,sec_fundamental,True,2018-01-02,2026-06-30,0.5,24,100,51408,5517,0.10731792717086834,0,102,47,53.0,62,False,False,False,XS056_CFO_ACCRUALS_PT,,True,ready_coverage_alternative,XS056_CFO_ACCRUALS_PT,member_coverage_below_threshold|covered_month_count_below_threshold,False
XS041_ASSET_GROWTH,sec_fundamental,True,2018-01-02,2026-06-30,0.5,24,100,51408,50540,0.9831154684095861,102,102,488,496.0,501,True,True,True,,,False,ready_first_round,XS041_ASSET_GROWTH,,False
XS056_CFO_ACCRUALS_PT,sec_fundamental,False,2018-01-02,2026-06-30,0.5,24,100,51408,46977,0.9138071895424836,102,102,342,473.0,487,True,True,True,,XS039_ACCRUALS_V2,False,available_expanded_not_first_round,,,False
