year,factor_id,total_rows,eligible_rows,missing_rows,coverage_rate
2013,XS001_MOM_255_0,5747,0,5747,0.0
2014,XS001_MOM_255_0,5956,4796,1160,0.8052384150436535
2015,XS001_MOM_255_0,6009,4936,1073,0.8214345148943252
2016,XS001_MOM_255_0,6053,5190,863,0.8574260697174955
2017,XS001_MOM_255_0,6059,5519,540,0.910876382241294
2018,XS001_MOM_255_0,6057,5913,144,0.9762258543833581
2019,XS001_MOM_255_0,6060,5921,139,0.9770627062706271
2020,XS001_MOM_255_0,6060,5935,125,0.9793729372937293
2021,XS001_MOM_255_0,6060,5970,90,0.9851485148514851
2022,XS001_MOM_255_0,6044,5977,67,0.9889146260754468
2023,XS001_MOM_255_0,6036,5977,59,0.9902253147779987
2024,XS001_MOM_255_0,6037,5983,54,0.9910551598476064
2025,XS001_MOM_255_0,6036,6015,21,0.9965208747514911
2026,XS001_MOM_255_0,3018,3003,15,0.9950298210735586
2013,XS002_MOM_12_1,5747,0,5747,0.0
2014,XS002_MOM_12_1,5956,4796,1160,0.8052384150436535
2015,XS002_MOM_12_1,6009,4936,1073,0.8214345148943252
2016,XS002_MOM_12_1,6053,5197,856,0.8585825210639353
2017,XS002_MOM_12_1,6059,5523,536,0.9115365571876547
2018,XS002_MOM_12_1,6057,5932,125,0.9793627208188872
2019,XS002_MOM_12_1,6060,5942,118,0.9805280528052805
2020,XS002_MOM_12_1,6060,5967,93,0.9846534653465346
2021,XS002_MOM_12_1,6060,5987,73,0.987953795379538
2022,XS002_MOM_12_1,6044,5979,65,0.9892455327597618
2023,XS002_MOM_12_1,6036,5977,59,0.9902253147779987
2024,XS002_MOM_12_1,6037,5983,54,0.9910551598476064
2025,XS002_MOM_12_1,6036,6019,17,0.9971835652750166
2026,XS002_MOM_12_1,3018,3009,9,0.9970178926441352
2013,XS003_MOM_12_7,5747,0,5747,0.0
2014,XS003_MOM_12_7,5956,4796,1160,0.8052384150436535
2015,XS003_MOM_12_7,6009,4936,1073,0.8214345148943252
2016,XS003_MOM_12_7,6053,5196,857,0.8584173137287295
2017,XS003_MOM_12_7,6059,5523,536,0.9115365571876547
2018,XS003_MOM_12_7,6057,5932,125,0.9793627208188872
2019,XS003_MOM_12_7,6060,5942,118,0.9805280528052805
2020,XS003_MOM_12_7,6060,5969,91,0.984983498349835
2021,XS003_MOM_12_7,6060,5987,73,0.987953795379538
2022,XS003_MOM_12_7,6044,5979,65,0.9892455327597618
2023,XS003_MOM_12_7,6036,5977,59,0.9902253147779987
2024,XS003_MOM_12_7,6037,5983,54,0.9910551598476064
2025,XS003_MOM_12_7,6036,6019,17,0.9971835652750166
2026,XS003_MOM_12_7,3018,3009,9,0.9970178926441352
2013,XS004_HIGH_52W,5747,393,5354,0.06838350443709762
2014,XS004_HIGH_52W,5956,4797,1159,0.8054063129617193
2015,XS004_HIGH_52W,6009,4937,1072,0.8216009319354302
2016,XS004_HIGH_52W,6053,5190,863,0.8574260697174955
2017,XS004_HIGH_52W,6059,5520,539,0.9110414259778842
2018,XS004_HIGH_52W,6057,5914,143,0.976390952616807
2019,XS004_HIGH_52W,6060,5921,139,0.9770627062706271
2020,XS004_HIGH_52W,6060,5936,124,0.9795379537953796
2021,XS004_HIGH_52W,6060,5970,90,0.9851485148514851
2022,XS004_HIGH_52W,6044,5977,67,0.9889146260754468
2023,XS004_HIGH_52W,6036,5977,59,0.9902253147779987
2024,XS004_HIGH_52W,6037,5983,54,0.9910551598476064
2025,XS004_HIGH_52W,6036,6017,19,0.9968522200132538
2026,XS004_HIGH_52W,3018,3003,15,0.9950298210735586
2013,XS007_ST_REV_21,5747,4259,1488,0.7410823038106839
2014,XS007_ST_REV_21,5956,4820,1136,0.8092679650772331
2015,XS007_ST_REV_21,6009,4972,1037,0.8274255283741055
2016,XS007_ST_REV_21,6053,5307,746,0.8767553279365604
2017,XS007_ST_REV_21,6059,5858,201,0.9668262089453705
2018,XS007_ST_REV_21,6057,5946,111,0.9816740960871718
2019,XS007_ST_REV_21,6060,5975,85,0.985973597359736
