factor_id,missing_reason,missing_rows,factor_rows,factor_missing_rows,share_of_factor_rows,share_of_factor_missing_rows
XS001_MOM_255_0,insufficient_history_or_missing_input,10097,81232,10097,0.12429830608627142,1.0
XS002_MOM_12_1,insufficient_history_or_missing_input,9985,81232,9985,0.12291953909789245,1.0
XS003_MOM_12_7,insufficient_history_or_missing_input,9984,81232,9984,0.12290722867835335,1.0
XS004_HIGH_52W,insufficient_history_or_missing_input,9697,81232,9697,0.11937413827063226,1.0
XS007_ST_REV_21,insufficient_history_or_missing_input,5051,81232,5051,0.06217992909198346,1.0
XS008_SAME_MONTH_5Y,insufficient_history_or_missing_input,21100,81232,21100,0.25974985227496555,1.0
XS013_LOW_BETA_FP,insufficient_history_or_missing_input,20758,81232,20758,0.25553968879259403,1.0
XS015_MAX_21,insufficient_history_or_missing_input,5063,81232,5063,0.06232765412645263,1.0
XS018_AMIHUD_252,insufficient_history_or_missing_input,10161,81232,10161,0.12508617293677368,1.0
XS019_PRICE_DELAY_52W,insufficient_history_or_missing_input,9015,81232,9015,0.1109784321449675,1.0
XS020_VOLUME_SHOCK_50D,insufficient_history_or_missing_input,5493,81232,5493,0.06762113452826472,1.0
XS026_VALUE_BM,issuer_market_equity_not_provided,76704,81232,81232,0.9442584203269647,0.9442584203269647
XS026_VALUE_BM,missing_metric:common_book_equity,352,81232,81232,0.004333267677762458,0.004333267677762458
XS026_VALUE_BM,no_available_filing,591,81232,81232,0.007275457947606854,0.007275457947606854
XS026_VALUE_BM,nonpositive_common_book_equity,3585,81232,81232,0.04413285404766595,0.04413285404766595
XS030_NET_PAYOUT_YIELD,issuer_market_equity_not_provided,11854,81232,81232,0.14592771321646641,0.14592771321646641
XS030_NET_PAYOUT_YIELD,missing_metric:common_dividends,3134,81232,81232,0.038580854835532793,0.038580854835532793
XS030_NET_PAYOUT_YIELD,missing_metric:common_dividends;missing_metric:common_share_issuance,10434,81232,81232,0.1284469174709474,0.1284469174709474
XS030_NET_PAYOUT_YIELD,missing_metric:common_dividends;missing_metric:common_share_repurchases,1279,81232,81232,0.015745026590506205,0.015745026590506205
XS030_NET_PAYOUT_YIELD,missing_metric:common_dividends;missing_metric:common_share_repurchases;missing_metric:common_share_issuance,3481,81232,81232,0.04285257041559976,0.04285257041559976
XS030_NET_PAYOUT_YIELD,missing_metric:common_share_issuance,38164,81232,81232,0.46981485129013195,0.46981485129013195
XS030_NET_PAYOUT_YIELD,missing_metric:common_share_repurchases,4767,81232,81232,0.05868376994287965,0.05868376994287965
XS030_NET_PAYOUT_YIELD,missing_metric:common_share_repurchases;missing_metric:common_share_issuance,7528,81232,81232,0.09267283829032893,0.09267283829032893
XS030_NET_PAYOUT_YIELD,no_available_filing,591,81232,81232,0.007275457947606854,0.007275457947606854
XS032_GROSS_PROFIT_AT,missing_metric:cost_of_goods_sold,30028,81232,39767,0.3696572779200315,0.7550984484622929
XS032_GROSS_PROFIT_AT,missing_metric:cost_of_goods_sold;missing_metric:total_assets,32,81232,39767,0.00039393342525113255,0.0008046873035431388
XS032_GROSS_PROFIT_AT,missing_metric:revenue,1258,81232,39767,0.01548650778018515,0.03163426962053964
XS032_GROSS_PROFIT_AT,missing_metric:revenue;missing_metric:cost_of_goods_sold,7763,81232,39767,0.09556578688201695,0.19521211054391832
XS032_GROSS_PROFIT_AT,missing_metric:revenue;missing_metric:cost_of_goods_sold;missing_metric:total_assets,95,81232,39767,0.0011694898562142999,0.0023889154323936935
XS032_GROSS_PROFIT_AT,no_available_filing,591,81232,39767,0.007275457947606854,0.014861568637312344
XS039_ACCRUALS_V2,missing_metric:cash_and_cash_equivalents,110,81232,73151,0.0013541461493007682,0.0015037388415742778
XS039_ACCRUALS_V2,missing_metric:cash_and_cash_equivalents;missing_metric:current_liabilities;missing_metric:short_term_debt;missing_metric:taxes_payable,12,81232,73151,0.00014772503446917472,0.00016404423726264848
XS039_ACCRUALS_V2,missing_metric:cash_and_cash_equivalents;missing_metric:short_term_debt,24,81232,73151,0.00029545006893834944,0.00032808847452529697
XS039_ACCRUALS_V2,missing_metric:cash_and_cash_equivalents;missing_metric:short_term_debt;missing_metric:taxes_payable,198,81232,73151,0.0024374630687413828,0.0027067299148337003
XS039_ACCRUALS_V2,missing_metric:cash_and_cash_equivalents;missing_metric:short_term_debt;missing_metric:taxes_payable;missing_metric:depreciation_and_amortization,35,81232,73151,0.00043086468386842623,0.00047846235868272477
XS039_ACCRUALS_V2,missing_metric:cash_and_cash_equivalents;missing_metric:taxes_payable,326,81232,73151,0.004013196769745913,0.004456535112301951
XS039_ACCRUALS_V2,missing_metric:cash_and_cash_equivalents;missing_metric:taxes_payable;missing_metric:depreciation_and_amortization,12,81232,73151,0.00014772503446917472,0.00016404423726264848
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:cash_and_cash_equivalents;missing_metric:current_liabilities;missing_metric:depreciation_and_amortization,67,81232,73151,0.0008247981091195588,0.0009159136580497874
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:cash_and_cash_equivalents;missing_metric:current_liabilities;missing_metric:short_term_debt,61,81232,73151,0.0007509355918849715,0.0008338915394184631
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:cash_and_cash_equivalents;missing_metric:current_liabilities;missing_metric:short_term_debt;missing_metric:taxes_payable,546,81232,73151,0.006721489068347449,0.007464012795450507
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:cash_and_cash_equivalents;missing_metric:current_liabilities;missing_metric:short_term_debt;missing_metric:taxes_payable;missing_metric:depreciation_and_amortization,524,81232,73151,0.006450659838487295,0.007163265027135651
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:cash_and_cash_equivalents;missing_metric:current_liabilities;missing_metric:short_term_debt;missing_metric:taxes_payable;missing_metric:total_assets;missing_metric:depreciation_and_amortization,95,81232,73151,0.0011694898562142999,0.0012986835449959673
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:cash_and_cash_equivalents;missing_metric:current_liabilities;missing_metric:taxes_payable,170,81232,73151,0.002092771321646642,0.0023239600278875203
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:cash_and_cash_equivalents;missing_metric:current_liabilities;missing_metric:taxes_payable;missing_metric:depreciation_and_amortization,548,81232,73151,0.006746109907425645,0.007491353501660948
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:cash_and_cash_equivalents;missing_metric:current_liabilities;missing_metric:taxes_payable;missing_metric:total_assets,24,81232,73151,0.00029545006893834944,0.00032808847452529697
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:current_liabilities,59,81232,73151,0.0007263147528067756,0.0008065508332080217
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:current_liabilities;missing_metric:depreciation_and_amortization,29,81232,73151,0.00035700216663383887,0.00039644024005140054
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:current_liabilities;missing_metric:short_term_debt,162,81232,73151,0.0019942879653338584,0.0022145972030457547
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:current_liabilities;missing_metric:short_term_debt;missing_metric:depreciation_and_amortization,264,81232,73151,0.0032499507583218434,0.003608973219778267
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:current_liabilities;missing_metric:short_term_debt;missing_metric:taxes_payable,5029,81232,73151,0.0619090998621233,0.06874820576615494
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:current_liabilities;missing_metric:short_term_debt;missing_metric:taxes_payable;missing_metric:depreciation_and_amortization,3309,81232,73151,0.040735178254874924,0.04523519842517532
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:current_liabilities;missing_metric:short_term_debt;missing_metric:taxes_payable;missing_metric:total_assets,35,81232,73151,0.00043086468386842623,0.00047846235868272477
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:current_liabilities;missing_metric:taxes_payable,611,81232,73151,0.007521666338388812,0.008352585747289852
XS039_ACCRUALS_V2,missing_metric:current_assets;missing_metric:current_liabilities;missing_metric:taxes_payable;missing_metric:depreciation_and_amortization,2038,81232,73151,0.025088635020681503,0.027860179628439802
XS039_ACCRUALS_V2,missing_metric:current_liabilities;missing_metric:taxes_payable,11,81232,73151,0.00013541461493007682,0.00015037388415742778
XS039_ACCRUALS_V2,missing_metric:depreciation_and_amortization,1109,81232,73151,0.013652255268859563,0.015160421593689764
XS039_ACCRUALS_V2,missing_metric:short_term_debt,5893,81232,73151,0.07254530234390388,0.08055939084906563
XS039_ACCRUALS_V2,missing_metric:short_term_debt;missing_metric:depreciation_and_amortization,958,81232,73151,0.01179338191845578,0.013096198274801438
XS039_ACCRUALS_V2,missing_metric:short_term_debt;missing_metric:taxes_payable,18699,81232,73151,0.23019253496159148,0.255621932714522
XS039_ACCRUALS_V2,missing_metric:short_term_debt;missing_metric:taxes_payable;missing_metric:depreciation_and_amortization,1857,81232,73151,0.022860449084104787,0.025385845716394854
XS039_ACCRUALS_V2,missing_metric:taxes_payable,26478,81232,73151,0.325955288556234,0.3619636095200339
XS039_ACCRUALS_V2,missing_metric:taxes_payable;missing_metric:depreciation_and_amortization,2842,81232,73151,0.03498621233011621,0.038851143525037254
XS039_ACCRUALS_V2,missing_prior_fiscal_year,413,81232,73151,0.005084203269647429,0.005645855832456153
XS039_ACCRUALS_V2,negative_short_term_debt,12,81232,73151,0.00014772503446917472,0.00016404423726264848
XS039_ACCRUALS_V2,no_available_filing,591,81232,73151,0.007275457947606854,0.008079178685185439
XS041_ASSET_GROWTH,missing_metric:total_assets,588,81232,1592,0.007238526688989561,0.3693467336683417
XS041_ASSET_GROWTH,missing_prior_fiscal_year,413,81232,1592,0.005084203269647429,0.2594221105527638
XS041_ASSET_GROWTH,no_available_filing,591,81232,1592,0.007275457947606854,0.3712311557788945
XS056_CFO_ACCRUALS_PT,missing_metric:cash_flow_from_operations,10050,81232,13068,0.12371971636793382,0.7690541781450873
XS056_CFO_ACCRUALS_PT,missing_metric:cash_flow_from_operations;missing_metric:total_assets,82,81232,13068,0.0010094544022060273,0.006274869911233548
XS056_CFO_ACCRUALS_PT,missing_metric:net_income,695,81232,13068,0.008555741579673036,0.05318334863789409
XS056_CFO_ACCRUALS_PT,missing_metric:net_income;missing_metric:cash_flow_from_operations,779,81232,13068,0.009589816820957258,0.059611264156718705
XS056_CFO_ACCRUALS_PT,missing_metric:net_income;missing_metric:cash_flow_from_operations;missing_metric:total_assets,44,81232,13068,0.0005416584597203073,0.003367003367003367
XS056_CFO_ACCRUALS_PT,missing_metric:total_assets,414,81232,13068,0.005096513689186528,0.03168044077134986
XS056_CFO_ACCRUALS_PT,missing_prior_fiscal_year,413,81232,13068,0.005084203269647429,0.03160391796755433
XS056_CFO_ACCRUALS_PT,no_available_filing,591,81232,13068,0.007275457947606854,0.04522497704315886
