sid,cik10,effective_from,effective_to,research_interval_from,research_interval_to,research_interval_days,issuer_periodic_filing_count,first_periodic_filed,last_periodic_filed,source_applicability_status,temporal_support_status,temporal_support_passed
sec::A,0001090872,2000-06-05,,2013-01-02,2026-07-01,4928,54,2013-03-06,2026-06-01,available,supported_by_periodic_filing,True
sec::AABA,0001011006,1999-12-08,2017-06-19,2013-01-02,2017-06-19,1629,26,2013-03-01,2017-05-09,available,supported_by_periodic_filing,True
sec::AAL,0000006201,2015-03-23,2024-09-23,2015-03-23,2024-09-23,3472,39,2015-04-24,2024-07-25,available,supported_by_periodic_filing,True
sec::AAP,0001158449,2015-07-09,2023-08-25,2015-07-09,2023-08-25,2969,33,2015-08-25,2023-08-23,available,supported_by_periodic_filing,True
sec::AAPL,0000320193,1996-01-02,,2013-01-02,2026-07-01,4928,54,2013-01-24,2026-05-01,available,supported_by_periodic_filing,True
sec::ABBV,0001551152,2013-01-02,,2013-01-02,2026-07-01,4928,55,2013-03-15,2026-05-08,available,supported_by_periodic_filing,True
sec::ABMD,0000815094,2018-05-31,2022-12-22,2018-05-31,2022-12-22,1666,18,2018-08-02,2022-11-03,available,supported_by_periodic_filing,True
sec::ABNB,0001559720,2023-09-18,,2023-09-18,2026-07-01,1017,11,2023-11-01,2026-05-07,available,supported_by_periodic_filing,True
sec::ABT,0000001800,1996-01-02,,2013-01-02,2026-07-01,4928,55,2013-02-15,2026-04-29,available,supported_by_periodic_filing,True
sec::ACGL,0000947484,2022-11-01,,2022-11-01,2026-07-01,1338,15,2022-11-03,2026-05-05,available,supported_by_periodic_filing,True
sec::ACN,0001467373,2011-07-06,,2013-01-02,2026-07-01,4928,54,2013-03-28,2026-06-18,available,supported_by_periodic_filing,True
sec::ADBE,0000796343,1997-05-06,,2013-01-02,2026-07-01,4928,55,2013-01-22,2026-06-15,available,supported_by_periodic_filing,True
sec::ADI,0000006281,1999-10-12,,2013-01-02,2026-07-01,4928,54,2013-02-19,2026-05-20,available,supported_by_periodic_filing,True
sec::ADM,0000007084,1996-01-02,,2013-01-02,2026-07-01,4928,57,2013-05-07,2026-05-05,available,supported_by_periodic_filing,True
sec::ADP,0000008670,1996-01-02,,2013-01-02,2026-07-01,4928,54,2013-02-06,2026-04-30,available,supported_by_periodic_filing,True
sec::ADSK,0000769397,1996-01-02,,2013-01-02,2026-07-01,4928,55,2013-03-18,2026-05-29,available,supported_by_periodic_filing,True
sec::ADT,0001546640,2012-10-02,2016-05-02,2013-01-02,2016-05-02,1216,13,2013-01-31,2016-02-02,available,supported_by_periodic_filing,True
sec::AEE,0001002910,1996-01-02,,2013-01-02,2026-07-01,4928,54,2013-03-01,2026-05-08,available,supported_by_periodic_filing,True
sec::AEP,0000004904,1996-01-02,,2013-01-02,2026-07-01,4928,54,2013-02-26,2026-05-05,available,supported_by_periodic_filing,True
sec::AES,0000874761,1998-10-02,,2013-01-02,2026-07-01,4928,55,2013-02-27,2026-05-05,available,supported_by_periodic_filing,True
sec::AET,0001122304,1996-01-02,2018-11-29,2013-01-02,2018-11-29,2157,24,2013-02-19,2018-10-30,available,supported_by_periodic_filing,True
sec::AFL,0000004977,1999-05-28,,2013-01-02,2026-07-01,4928,54,2013-02-27,2026-05-06,available,supported_by_periodic_filing,True
sec::AGN,0001578845,1996-01-02,2020-05-12,2013-01-02,2020-05-12,2687,30,2013-10-31,2020-05-07,available,supported_by_periodic_filing,True
sec::AIG,0000005272,1996-01-02,,2013-01-02,2026-07-01,4928,56,2013-02-21,2026-05-01,available,supported_by_periodic_filing,True
sec::AIV,0000922864,2003-03-14,2020-12-21,2013-01-02,2020-12-21,2910,32,2013-02-25,2020-11-02,available,supported_by_periodic_filing,True
sec::AIZ,0001267238,2007-04-10,,2013-01-02,2026-07-01,4928,54,2013-02-20,2026-05-07,available,supported_by_periodic_filing,True
sec::AJG,0000354190,2016-05-31,,2016-05-31,2026-07-01,3683,40,2016-07-29,2026-05-07,available,supported_by_periodic_filing,True
sec::AKAM,0001086222,2007-07-12,,2013-01-02,2026-07-01,4928,55,2013-03-01,2026-05-08,available,supported_by_periodic_filing,True
sec::ALB,0000915913,2016-07-01,,2016-07-01,2026-07-01,3652,47,2016-08-05,2026-05-06,available,supported_by_periodic_filing,True
sec::ALGN,0001097149,2017-06-19,,2017-06-19,2026-07-01,3299,36,2017-08-03,2026-05-06,available,supported_by_periodic_filing,True
sec::ALK,0000766421,2016-05-13,2023-12-18,2016-05-13,2023-12-18,2775,31,2016-08-02,2023-11-02,available,supported_by_periodic_filing,True
sec::ALL,0000899051,1996-01-02,,2013-01-02,2026-07-01,4928,54,2013-02-20,2026-04-29,available,supported_by_periodic_filing,True
sec::ALLE,0001579241,2013-12-02,,2013-12-02,2026-07-01,4594,50,2014-03-10,2026-04-28,available,supported_by_periodic_filing,True
sec::ALTR,0000768251,2000-04-18,2015-12-28,2013-01-02,2015-12-28,1090,12,2013-02-15,2015-10-22,available,supported_by_periodic_filing,True
sec::ALXN,0000899866,2012-05-25,2021-07-21,2013-01-02,2021-07-21,3122,37,2013-02-19,2021-04-30,available,supported_by_periodic_filing,True
sec::AMAT,0000006951,1996-01-02,,2013-01-02,2026-07-01,4928,54,2013-02-21,2026-05-21,available,supported_by_periodic_filing,True
sec::AMCR,0001748790,2019-06-07,,2019-06-07,2026-07-01,2581,28,2019-09-03,2026-05-07,available,supported_by_periodic_filing,True
sec::AMD,0000002488,2017-03-20,,2017-03-20,2026-07-01,3390,38,2017-05-08,2026-05-06,available,supported_by_periodic_filing,True
sec::AME,0001037868,2013-09-23,,2013-09-23,2026-07-01,4664,51,2013-11-04,2026-04-30,available,supported_by_periodic_filing,True
