cik10,companyfacts_error_code,companyfacts_http_status,companyfacts_object_key,companyfacts_raw_record_id,companyfacts_raw_sha256,companyfacts_raw_size_bytes,exception_review_status,exception_reviewed_date,explicit_missing,fact_value_state,imputation_applied,imputation_policy,imputed_fact_rows,periodic_form_amendments_included,periodic_form_bases,periodic_form_count,reason_code,schema_version,source,status,submissions_cik10,ticker
0000001800,,200,,6e3f52c44d85bf71fc5aa859dfa0c53d809ab954b7816c63e7b1b70c5f1e02ad,e67743e4f2abe67a3b9224a1a30079b37e515db41497fe339d96a35926b40915,242891,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000001800,
0000002488,,200,,491d13a1bcf5e9468a2370fe3bf443bab2ef74dce801a2795e3ee15006402469,2da8d2e87417f177475a9c9dcf60b25c35c6428762ac4cd334647e3176594d84,273132,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000002488,
0000002969,,200,,781cd7a4dbe3db198683be833eea45089eb26c69361c8767b0d148d265480f79,1882fd0b9c72d94d194911485f75a788862c069a6292b1f021e74d3a82943ca1,377028,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000002969,
0000004127,,200,,fcdf702f662efea252563198e231cf654fa4608e72c83c0190dec7bc998d0d43,e10c6b1b2a7e4f97c2313245cd82ad5a7f8e07ec129e4bacb1d8f6b5ee471fed,229023,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000004127,
0000004281,,200,,3aed9b83e124c3bef595a979ebb3df7fec111b77986ad0a45c51c60894aa0ee7,138c4e30685dddcf9dbdfc7cde5d73e2671c1d24eea8645f586ca53cb9c2df33,349449,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000004281,
0000004447,,200,,e2eab567eecabfa1ee77a52fdab84d8f4e620053da105c08976e5473399bafe4,ce61957ddcbdc80b94c6d07dfbb2059fc467a8c2a0a16dcf857950f222bdd38a,267368,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000004447,
0000004904,,200,,6ea0fcf02f797061318aafe27b78e39a5bbd41e815f57438d8858bd0043fcd68,73b1fb476b70a754b90e9cb141814ee65e3db5e715cdcc94eddd161e27638ffa,349899,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000004904,
0000004962,,200,,59b84143b28f05469b7d648410d17a0c4f92927bfb8e7a731a51c53b3c889526,b680e54b72619e5c83e4fc64e99db3073b5b0c529a1801f919a53b4c8b9cd635,327178,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000004962,
0000004977,,200,,deee747b2c1eb9ee4dde3a04d13953ddbc16599951800e958f7819b9a8c70ebf,4e806239f703a2cbdeb509af1bb62c8a924ac906c4bd35b1ca0db826ef87fb89,346148,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000004977,
0000005272,,200,,85cfcabe688e7513f78dc101e38cb72f5ab420994cdfef9f2c106f605a0cf9c6,ab83dadb66b91dc714fcff09429f25617bbe390e9d21badadd4470008c2cc661,482726,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000005272,
