transfer_id,cost_bps,maximum_daily_return_error_after_first_day,normalized_nav_bridge_error,identity_passed
R10__MOM255__TOP10__WEEKLY,0.0,6.661338147750939e-16,3.1086244689504383e-15,True
R10__MOM255__TOP10__WEEKLY,5.0,8.881784197001252e-16,5.329070518200751e-15,True
R10__MOM255__TOP10__WEEKLY,10.0,6.661338147750939e-16,4.440892098500626e-15,True
R10__MOM255__TOP10__WEEKLY,20.0,8.881784197001252e-16,5.329070518200751e-15,True
R10__MOM255__TOP10__MONTHLY,0.0,6.661338147750939e-16,2.4868995751603507e-14,True
R10__MOM255__TOP10__MONTHLY,5.0,6.661338147750939e-16,5.329070518200751e-15,True
R10__MOM255__TOP10__MONTHLY,10.0,6.661338147750939e-16,1.687538997430238e-14,True
R10__MOM255__TOP10__MONTHLY,20.0,6.661338147750939e-16,8.881784197001252e-15,True
R10__MOM255__TOP20__WEEKLY,0.0,7.771561172376096e-16,8.260059303211165e-14,True
R10__MOM255__TOP20__WEEKLY,5.0,8.881784197001252e-16,7.638334409421077e-14,True
R10__MOM255__TOP20__WEEKLY,10.0,8.881784197001252e-16,4.3520742565306136e-14,True
R10__MOM255__TOP20__WEEKLY,20.0,8.881784197001252e-16,6.394884621840902e-14,True
R10__MOM255__TOP20__MONTHLY,0.0,8.881784197001252e-16,1.9539925233402755e-14,True
R10__MOM255__TOP20__MONTHLY,5.0,6.661338147750939e-16,1.7763568394002505e-14,True
R10__MOM255__TOP20__MONTHLY,10.0,7.771561172376096e-16,1.7763568394002505e-14,True
R10__MOM255__TOP20__MONTHLY,20.0,6.661338147750939e-16,1.6431300764452317e-14,True
R10__MOM255__TOP50__WEEKLY,0.0,8.881784197001252e-16,6.972200594645983e-14,True
R10__MOM255__TOP50__WEEKLY,5.0,8.881784197001252e-16,4.618527782440651e-14,True
R10__MOM255__TOP50__WEEKLY,10.0,8.881784197001252e-16,5.773159728050814e-14,True
R10__MOM255__TOP50__WEEKLY,20.0,1.1102230246251565e-15,4.440892098500626e-14,True
R10__MOM255__TOP50__MONTHLY,0.0,6.661338147750939e-16,1.3766765505351941e-14,True
R10__MOM255__TOP50__MONTHLY,5.0,9.992007221626409e-16,1.4654943925052066e-14,True
R10__MOM255__TOP50__MONTHLY,10.0,6.661338147750939e-16,1.7319479184152442e-14,True
R10__MOM255__TOP50__MONTHLY,20.0,6.661338147750939e-16,1.3322676295501878e-14,True
