arm_id,eligibility_status,source_status,valid_weeks,valid_years,first_valid_signal,last_valid_signal,missing_fraction_eligible_span,max_consecutive_missing_weeks,data_gate_pass,reference_gate_pass
R4B__DOWNSIDE_VAR63,reference_eligible,available,1496,29,1993-04-30,2021-12-23,0.0,0,True,True
R4B__DOWN_VOLUME21,reference_eligible,available,1504,29,1993-03-05,2021-12-23,0.0,0,True,True
R4B__DRAWDOWN252,reference_eligible,available,1457,28,1994-01-28,2021-12-23,0.0,0,True,True
R4B__HY_OAS_CHANGE21,invalid_data,invalid_source_history_truncated,0,0,,,1.0,1509,False,False
R4B__HY_OAS_LEVEL,invalid_data,invalid_source_history_truncated,0,0,,,1.0,1509,False,False
R4B__KURT126,reference_eligible,available,1483,29,1993-07-30,2021-12-23,0.0,0,True,True
R4B__NFCI,invalid_data,invalid_no_vintage_asof,0,0,,,1.0,1509,False,False
R4B__RET126,reference_eligible,available,1483,29,1993-07-30,2021-12-23,0.0,0,True,True
R4B__RET21,reference_eligible,available,1504,29,1993-03-05,2021-12-23,0.0,0,True,True
R4B__RSP_SPY63,reference_eligible,available,961,19,2003-08-01,2021-12-23,0.0,0,True,True
R4B__RV126,reference_eligible,available,1483,29,1993-07-30,2021-12-23,0.0,0,True,True
R4B__RV21,reference_eligible,available,1504,29,1993-03-05,2021-12-23,0.0,0,True,True
R4B__RV_RATIO,reference_eligible,available,1483,29,1993-07-30,2021-12-23,0.0,0,True,True
R4B__SKEW63,reference_eligible,available,1496,29,1993-04-30,2021-12-23,0.0,0,True,True
R4B__SMA_GAP,reference_eligible,available,1468,29,1993-11-12,2021-12-23,0.0,0,True,True
R4B__VIX_LEVEL,reference_eligible,available,1508,29,1993-01-29,2021-12-23,0.0006626905235255136,1,True,True
R4B__VIX_RV_GAP,reference_eligible,available,1503,29,1993-03-05,2021-12-23,0.0006648936170212766,1,True,True
R4B__VOLUME_SHOCK,reference_eligible,available,1457,28,1994-01-28,2021-12-23,0.0,0,True,True
R4B__YC_10Y2Y,reference_eligible,available,1508,29,1993-02-05,2021-12-23,0.0,0,True,True
R4B__YC_10Y3M,reference_eligible,available,1508,29,1993-02-05,2021-12-23,0.0,0,True,True
