arm_id,native_start,oos_target_weeks,auc_t2,pr_auc_t2,spearman_t1,alert_precision,alert_recall,negative_amount_capture,mean_daily_target_weight,dynamic_cagr,dynamic_sharpe,dynamic_mdd,dynamic_turnover,static_cagr,active_terminal_wealth,positive_year_fraction,block90_lower_active_logwealth,one_sided_block_p,reference_positive,bh_q_value,robust_reference_positive
R4B__RV21,2005-01-03,886,0.48774026355548095,0.4173250910898699,0.06876641117338571,0.4301675977653631,0.20923913043478262,0.37084850001091496,0.898714953271028,0.09261864741709513,0.7064951201367987,-0.4239335322632046,22.70535650439556,0.09659942735700322,-0.05989760552359713,0.5882352941176471,-0.38347950258542113,0.623,False,0.9714999999999999,False
R4B__RV126,2005-01-03,886,0.5018255833473225,0.41338597417861866,0.05331583182000972,0.3805970149253731,0.13858695652173914,0.25617210180694455,0.9239485981308411,0.08651719181089335,0.6110629887522614,-0.3980266995041054,7.979006330062683,0.0987021998104467,-0.1725548349236814,0.5882352941176471,-0.5588859209044352,0.8095,False,0.9714999999999999,False
R4B__RV_RATIO,2005-01-03,886,0.48068448883666276,0.41025623178596604,0.03667468256221154,0.36492890995260663,0.20923913043478262,0.3488324296738307,0.8801401869158878,0.09505357165915473,0.6846683127505511,-0.47765141910557407,46.48644815484445,0.0950408239884819,0.00019773527828559345,0.47058823529411764,-0.27966107101052096,0.4865,False,0.9714999999999999,False
R4B__RET21,2005-01-03,886,0.5173745173745175,0.42477303347518997,0.04068710190200202,0.4263157894736842,0.22010869565217392,0.3450860142674416,0.8929906542056075,0.08465009501395793,0.6326517682148322,-0.4126939662992184,65.57832772008042,0.09612006980998866,-0.16361062462513565,0.29411764705882354,-0.4625254295120441,0.7915,False,0.9714999999999999,False
R4B__RET126,2005-01-03,886,0.49653768675507803,0.42049440279105454,0.05886874205766605,0.40350877192982454,0.1875,0.32766178571860305,0.9037383177570093,0.08557048340996865,0.6295501848732329,-0.3520560392455908,25.99122957747377,0.09701937674796013,-0.16321151831964176,0.47058823529411764,-0.5740320783761937,0.768,False,0.9714999999999999,False
R4B__SMA_GAP,2005-01-03,886,0.4985626154104415,0.4246395826698209,0.024334416185912065,0.41566265060240964,0.1875,0.33613417492422687,0.9065420560747663,0.10135577515081806,0.7016997642769166,-0.3369994047056155,10.135438261220528,0.09725347756717295,0.06543172007846176,0.6470588235294118,-0.2617401106044448,0.391,False,0.9714999999999999,False
R4B__DRAWDOWN252,2005-01-03,886,0.492616354708746,0.41678829883005997,0.09894171670545832,0.41333333333333333,0.16847826086956522,0.32623089777430575,0.91553738317757,0.09029834634839595,0.6761491001157716,-0.3534793189089135,24.870925659575597,0.09800314823086409,-0.11272427402590446,0.47058823529411764,-0.4970055620903369,0.708,False,0.9714999999999999,False
R4B__DOWNSIDE_VAR63,2005-01-03,886,0.488878630182978,0.4060777939032087,0.08405182146851821,0.40310077519379844,0.2826086956521739,0.3966999108357523,0.8539719626168224,0.07945490360937457,0.595419761586757,-0.40685979858630317,61.90155107832236,0.09282973093272928,-0.18872345477120134,0.29411764705882354,-0.5193807476580676,0.874,False,0.9714999999999999,False
R4B__SKEW63,2005-01-03,886,0.49336914554305855,0.4049915496852059,-0.004185533697451194,0.42492917847025496,0.4076086956521739,0.42491986600032416,0.7994158878504672,0.09740876609457838,0.6572953516562413,-0.4260555795512405,40.24337495782663,0.0881629582724186,0.15453725415683572,0.5294117647058824,-0.12387411488840495,0.2185,False,0.9714999999999999,False
R4B__KURT126,2005-01-03,886,0.4659696575457445,0.39955197696629174,0.020002908100362156,0.3765432098765432,0.33152173913043476,0.43278816352718114,0.8169392523364486,0.08709403719470421,0.6602256651304881,-0.4344218109520389,23.541384177020085,0.08967026969040481,-0.03940456859167207,0.5882352941176471,-0.2967746848252855,0.6175,False,0.9714999999999999,False
