policy,cost_bps,alert_weeks,relative_to_cash_terminal
sign_oracle,0,642,3268.7533496467245
sign_oracle,5,642,2690.9230997196914
sign_oracle,10,642,2215.1301071686553
sign_oracle,20,642,1500.830185560441
worst_25pct_oracle,0,377,1811.4736381041507
worst_25pct_oracle,5,377,1577.9449932885273
worst_25pct_oracle,10,377,1374.4744027075235
worst_25pct_oracle,20,377,1042.7521256348325
random_25pct,0,377,8.444407627822484
random_25pct,5,377,7.304467976663015
random_25pct,10,377,6.3181827588276525
random_25pct,20,377,4.726633462704561
