episode_id,peak_date,first_5_date,first_10_date,first_15_date,first_20_date,trough_date,recovery_date,right_censored,max_drawdown,severity_10,severity_15,severity_20,shallow_5_10
E001,1994-02-02,1994-03-29,,,,1994-04-04,1994-08-26,False,-0.08536458400056901,False,False,False,True
E002,1994-10-28,1994-11-22,,,,1994-12-08,1995-02-02,False,-0.05835966778769974,False,False,False,True
E003,1996-05-22,1996-07-15,,,,1996-07-15,1996-09-13,False,-0.0762924498257539,False,False,False,True
E004,1997-02-18,1997-03-27,1997-04-11,,,1997-04-11,1997-05-05,False,-0.10039763859069972,True,False,False,False
E005,1997-08-06,1997-08-15,,,,1997-08-15,1997-10-02,False,-0.06508301672070493,False,False,False,True
E006,1997-10-07,1997-10-27,1997-10-27,,,1997-10-27,1997-12-05,False,-0.11203055378816285,True,False,False,False
E007,1997-12-05,1997-12-24,,,,1998-01-09,1998-02-02,False,-0.06322557842064469,False,False,False,True
E008,1998-07-20,1998-07-29,1998-08-14,1998-08-31,,1998-08-31,1998-11-23,False,-0.19030047443303177,True,True,False,False
E009,1999-01-08,1999-01-14,,,,1999-01-14,1999-03-08,False,-0.05112565949158898,False,False,False,True
E010,1999-05-13,1999-05-25,,,,1999-05-27,1999-06-30,False,-0.06393597772871051,False,False,False,True
E011,1999-07-16,1999-07-29,1999-09-29,,,1999-10-15,1999-11-17,False,-0.11698531918901545,True,False,False,False
E012,1999-12-31,2000-01-06,,,,2000-01-06,2000-01-14,False,-0.06212765957398392,False,False,False,True
E013,2000-01-19,2000-01-28,,,,2000-02-25,2000-03-17,False,-0.09300616326548816,False,False,False,True
E014,2000-03-24,2000-04-13,2000-04-14,2000-12-20,2001-03-12,2002-10-09,2006-10-26,False,-0.4750257139180425,True,True,True,False
E015,2007-02-20,2007-03-02,,,,2007-03-05,2007-04-16,False,-0.059504159248278565,False,False,False,True
E016,2007-07-19,2007-07-27,,,,2007-08-15,2007-10-05,False,-0.09047535543080265,False,False,False,True
E017,2007-10-09,2007-11-07,2008-01-08,2008-01-18,2008-07-14,2009-03-09,2012-08-16,False,-0.5520110457220229,True,True,True,False
E018,2012-09-14,2012-11-08,,,,2012-11-15,2013-01-02,False,-0.07345078071534128,False,False,False,True
E019,2013-05-21,2013-06-24,,,,2013-06-24,2013-07-11,False,-0.05552122435441742,False,False,False,True
E020,2013-12-31,2014-02-03,,,,2014-02-03,2014-02-24,False,-0.056960311874185154,False,False,False,True
E021,2014-09-18,2014-10-10,,,,2014-10-16,2014-10-31,False,-0.07272983954353507,False,False,False,True
E022,2015-07-20,2015-08-21,2015-08-24,,,2016-02-11,2016-04-18,False,-0.13018165698347273,True,False,False,False
E023,2016-06-08,2016-06-27,,,,2016-06-27,2016-07-08,False,-0.05522288139884346,False,False,False,True
E024,2018-01-26,2018-02-05,2018-02-08,,,2018-02-08,2018-08-06,False,-0.10101891269460828,True,False,False,False
E025,2018-09-20,2018-10-11,2018-12-14,2018-12-20,,2018-12-24,2019-04-12,False,-0.1933875922421765,True,True,False,False
E026,2019-05-03,2019-05-29,,,,2019-06-03,2019-06-20,False,-0.06618372274949791,False,False,False,True
E027,2019-07-26,2019-08-05,,,,2019-08-05,2019-10-25,False,-0.06022979371548942,False,False,False,True
E028,2020-02-19,2020-02-25,2020-02-27,2020-03-09,2020-03-12,2020-03-23,2020-08-10,False,-0.3369994047056152,True,True,True,False
E029,2020-09-02,2020-09-08,,,,2020-09-23,2020-11-11,False,-0.09436180798599336,False,False,False,True
E030,2021-09-02,2021-09-30,,,,2021-10-04,2021-10-20,False,-0.0511113816164408,False,False,False,True
