arm_id,main_events,events_alerted_prior_13w,event_coverage,median_first_alert_lead_weeks,total_alert_weeks
R4B__RV21,10,5,0.5,-7.0,348
R4B__RV126,10,3,0.3,-13.0,303
R4B__RV_RATIO,10,7,0.7,-5.0,278
R4B__RET21,10,6,0.6,-9.0,314
R4B__RET126,10,6,0.6,-5.5,336
R4B__SMA_GAP,10,3,0.3,-1.0,341
R4B__DRAWDOWN252,10,4,0.4,-9.5,330
R4B__DOWNSIDE_VAR63,10,6,0.6,-7.5,359
R4B__SKEW63,10,6,0.6,-12.5,389
R4B__KURT126,10,5,0.5,-13.0,368
R4B__VIX_LEVEL,10,6,0.6,-11.0,382
R4B__VIX_RV_GAP,10,7,0.7,-10.0,346
R4B__DOWN_VOLUME21,10,7,0.7,-9.0,327
R4B__VOLUME_SHOCK,10,3,0.3,-7.0,101
R4B__YC_10Y3M,10,5,0.5,-13.0,332
R4B__YC_10Y2Y,10,5,0.5,-13.0,315
R4B__RSP_SPY63,10,4,0.4,-13.0,262
