arm_id,quintile,weeks,mean_y5,median_y5,mean_raw_mae,mae10_rate
R4B__RV21,1,175,0.017857567712632208,0.0,0.04450588475497924,0.08
R4B__RV21,2,175,0.007815584823720018,0.0,0.03759982983436868,0.06285714285714286
R4B__RV21,3,174,0.016582331126295514,0.0,0.04408147794062555,0.11494252873563218
R4B__RV21,4,175,0.02061382925081981,0.0,0.04544608112601024,0.1657142857142857
R4B__RV21,5,175,0.04364731185929323,0.0,0.07640868337402927,0.25142857142857145
R4B__RV126,1,175,0.0050603949990928754,0.0,0.03184344959714278,0.017142857142857144
R4B__RV126,2,175,0.014053598488372664,0.0,0.038836693376901515,0.10857142857142857
R4B__RV126,3,174,0.02792978658145796,0.0,0.057689380267540585,0.19540229885057472
R4B__RV126,4,175,0.014611203517870909,0.0,0.04474601490290017,0.12
R4B__RV126,5,175,0.0449264837885673,0.0,0.07500417832739599,0.2342857142857143
R4B__RV_RATIO,1,175,0.022062892366956747,0.0,0.05010074343607365,0.10857142857142857
R4B__RV_RATIO,2,175,0.011087693457803856,0.0,0.03791153868003365,0.10285714285714286
R4B__RV_RATIO,3,174,0.020030413112182663,0.0,0.04894360230729908,0.13793103448275862
R4B__RV_RATIO,4,175,0.024915078525989176,0.0,0.05400244428259368,0.13142857142857142
R4B__RV_RATIO,5,175,0.02844025063546198,0.0,0.05711141189182247,0.19428571428571428
R4B__DOWNSIDE_VAR63,1,175,0.016637031001309265,0.0,0.04465894909430945,0.10285714285714286
R4B__DOWNSIDE_VAR63,2,175,0.015478277740209911,0.0,0.04326625359332196,0.06857142857142857
R4B__DOWNSIDE_VAR63,3,174,0.01842306851559335,0.0,0.04684059362624624,0.14367816091954022
R4B__DOWNSIDE_VAR63,4,175,0.01786351225471221,0.0,0.044566221724413636,0.13714285714285715
R4B__DOWNSIDE_VAR63,5,175,0.03812525376030346,0.0,0.0687257053670681,0.22285714285714286
R4B__RET21,1,175,0.01802262492306753,0.0,0.045864937965207,0.10285714285714286
R4B__RET21,2,175,0.022550220981235176,0.0,0.049817344437998075,0.09714285714285714
R4B__RET21,3,174,0.011967327753874268,0.0,0.041538011864703246,0.08620689655172414
R4B__RET21,4,175,0.017661816563607744,0.0,0.043509939818768315,0.13714285714285715
R4B__RET21,5,175,0.03628826310313365,0.0,0.06729718885147391,0.25142857142857145
R4B__RET126,1,175,0.012113956608807246,0.0,0.044082991722979685,0.05142857142857143
R4B__RET126,2,175,0.01899889469054159,0.0,0.04473984313628568,0.08571428571428572
R4B__RET126,3,174,0.0072411532139817604,0.0,0.03264625711612299,0.05747126436781609
R4B__RET126,4,175,0.01760227819470232,0.0,0.043525743082147406,0.18285714285714286
R4B__RET126,5,175,0.05050696390522892,0.0,0.08298177785348006,0.29714285714285715
R4B__SMA_GAP,1,175,0.017074919632477367,0.0,0.04804964308498229,0.09142857142857143
R4B__SMA_GAP,2,175,0.013371778961433876,0.0,0.03950733145389274,0.05714285714285714
R4B__SMA_GAP,3,174,0.01176098511598993,0.0,0.03915177592138975,0.08620689655172414
R4B__SMA_GAP,4,175,0.014872741301230069,0.0,0.04115164058285333,0.15428571428571428
R4B__SMA_GAP,5,175,0.04940864921299922,0.0,0.08015339626107067,0.2857142857142857
R4B__DRAWDOWN252,1,175,0.014733586587573356,0.0,0.04365590161805214,0.06285714285714286
R4B__DRAWDOWN252,2,175,0.014904784013141093,0.0,0.04472097231857407,0.08571428571428572
R4B__DRAWDOWN252,3,174,0.012633047368463811,0.0,0.03926837242908637,0.10919540229885058
R4B__DRAWDOWN252,4,175,0.013930338537140215,0.0,0.03764577627805864,0.13142857142857142
R4B__DRAWDOWN252,5,175,0.050292300930683265,0.0,0.08272343092617582,0.2857142857142857
R4B__SKEW63,1,175,0.019690633200693988,0.0,0.04461527051210853,0.14285714285714285
R4B__SKEW63,2,175,0.02292826036267534,0.0,0.04843572837710483,0.12
R4B__SKEW63,3,174,0.021882572051260738,0.0,0.05313837565167852,0.13793103448275862
R4B__SKEW63,4,175,0.022962276426307077,0.0,0.056710032318744004,0.1657142857142857
R4B__SKEW63,5,175,0.01908316982282344,0.0,0.0451943038715831,0.10857142857142857
R4B__KURT126,1,175,0.015050440994587586,0.0,0.04550562746539694,0.16
R4B__KURT126,2,175,0.022665506947646116,0.0,0.05053612164969607,0.12
R4B__KURT126,3,174,0.017056006098097855,0.0,0.04226219616407755,0.09770114942528736
R4B__KURT126,4,175,0.024020330066641178,0.0,0.05410495535198215,0.14857142857142858
R4B__KURT126,5,175,0.027727047379912623,0.0,0.055622660502994276,0.14857142857142858
R4B__VIX_LEVEL,1,175,0.00759253398689412,0.0,0.03274930379539208,0.04
R4B__VIX_LEVEL,2,175,0.016067227250605793,0.0,0.04474954224356201,0.08571428571428572
R4B__VIX_LEVEL,3,174,0.016693142801748818,0.0,0.0436137405412062,0.1206896551724138
R4B__VIX_LEVEL,4,175,0.03237462723860464,0.0,0.06260683701691894,0.22857142857142856
R4B__VIX_LEVEL,5,175,0.033789726704481424,0.0,0.06431986064779421,0.2
R4B__VIX_RV_GAP,1,175,0.031068535292457615,0.0,0.0583857813581392,0.18285714285714286
R4B__VIX_RV_GAP,2,175,0.011452004492344925,0.0,0.03837664414169236,0.06285714285714286
R4B__VIX_RV_GAP,3,174,0.01913181933193848,0.0,0.0472790750271102,0.11494252873563218
R4B__VIX_RV_GAP,4,175,0.023437080465084647,0.0,0.05477817356103873,0.15428571428571428
R4B__VIX_RV_GAP,5,175,0.02144175369496735,0.0,0.04924055492538383,0.16
R4B__DOWN_VOLUME21,1,175,0.01615839553820622,0.0,0.04255177646830177,0.08571428571428572
R4B__DOWN_VOLUME21,2,175,0.019807256584233532,0.0,0.049260419581747934,0.10285714285714286
R4B__DOWN_VOLUME21,3,174,0.02274250747379974,0.0,0.051467796776706536,0.13218390804597702
R4B__DOWN_VOLUME21,4,175,0.027215645329840558,0.0,0.05617116820257312,0.17142857142857143
R4B__DOWN_VOLUME21,5,175,0.02062802085438075,0.0,0.0486330035368898,0.18285714285714286
R4B__VOLUME_SHOCK,1,175,0.014582010976492914,0.0,0.045341207786706486,0.08571428571428572
R4B__VOLUME_SHOCK,2,175,0.020957920982480175,0.0,0.046711639286049184,0.14285714285714285
R4B__VOLUME_SHOCK,3,174,0.017624603013131727,0.0,0.041809313169894585,0.11494252873563218
R4B__VOLUME_SHOCK,4,175,0.026630589680149426,0.0,0.05604616272048647,0.1657142857142857
R4B__VOLUME_SHOCK,5,175,0.026727455959859887,0.0,0.05812065026818636,0.1657142857142857
R4B__YC_10Y3M,1,175,0.027394718728996577,0.0,0.05828180608353822,0.2
