arm_id,episode_id,removed_weeks,remaining_weeks,spearman_y5_without_event
R4B__RV21,E014,95,779,0.13609727233778987
R4B__RV21,E017,266,608,-0.0414769695650277
R4B__RV21,E022,53,821,0.14982088414096034
R4B__RV21,E024,41,833,0.1407818119018731
R4B__RV21,E025,42,832,0.15285325777068748
R4B__RV21,E028,38,836,0.1808821128393138
R4B__RV126,E014,95,779,0.13871807617265877
R4B__RV126,E017,266,608,-0.009316029678378081
R4B__RV126,E022,53,821,0.16504877361513967
R4B__RV126,E024,41,833,0.16970905062337208
R4B__RV126,E025,42,832,0.18869201979675027
R4B__RV126,E028,38,836,0.19629274302428226
R4B__RV_RATIO,E014,95,779,0.06964827816684022
R4B__RV_RATIO,E017,266,608,-0.014885022657972603
R4B__RV_RATIO,E022,53,821,0.06959058509687552
R4B__RV_RATIO,E024,41,833,0.05089655973177535
R4B__RV_RATIO,E025,42,832,0.05227375192440377
R4B__RV_RATIO,E028,38,836,0.06686234513924648
R4B__DOWNSIDE_VAR63,E014,95,779,0.08796787569498962
R4B__DOWNSIDE_VAR63,E017,266,608,-0.049251059924715686
R4B__DOWNSIDE_VAR63,E022,53,821,0.08888417960072696
R4B__DOWNSIDE_VAR63,E024,41,833,0.09190659259735323
R4B__DOWNSIDE_VAR63,E025,42,832,0.06894990167489311
R4B__DOWNSIDE_VAR63,E028,38,836,0.1080437885467206
R4B__RET21,E014,95,779,0.0780448405631978
R4B__RET21,E017,266,608,-0.008011829683267326
R4B__RET21,E022,53,821,0.04133547292365713
R4B__RET21,E024,41,833,0.0760639581380198
R4B__RET21,E025,42,832,0.04363961692770366
R4B__RET21,E028,38,836,0.06534999778445204
R4B__RET126,E014,95,779,0.21161953001767325
R4B__RET126,E017,266,608,0.006159830217533878
R4B__RET126,E022,53,821,0.13932501865612607
R4B__RET126,E024,41,833,0.18124352998176765
R4B__RET126,E025,42,832,0.16775111730781528
R4B__RET126,E028,38,836,0.2116961192304137
R4B__SMA_GAP,E014,95,779,0.19205125854490931
R4B__SMA_GAP,E017,266,608,0.011499517683292352
R4B__SMA_GAP,E022,53,821,0.129077882191682
R4B__SMA_GAP,E024,41,833,0.1682579666734681
R4B__SMA_GAP,E025,42,832,0.15690082771930633
R4B__SMA_GAP,E028,38,836,0.2063075231286375
R4B__DRAWDOWN252,E014,95,779,0.14728181794875989
R4B__DRAWDOWN252,E017,266,608,-0.06964173140056894
R4B__DRAWDOWN252,E022,53,821,0.13259218294035846
R4B__DRAWDOWN252,E024,41,833,0.1336846084404692
R4B__DRAWDOWN252,E025,42,832,0.12874166521934924
R4B__DRAWDOWN252,E028,38,836,0.15883959636262843
R4B__SKEW63,E014,95,779,-0.02865791023209685
R4B__SKEW63,E017,266,608,0.08421560811036627
R4B__SKEW63,E022,53,821,0.006198634207977624
R4B__SKEW63,E024,41,833,0.009093365046530922
R4B__SKEW63,E025,42,832,-0.03309714445365548
R4B__SKEW63,E028,38,836,-0.019194885864681044
R4B__KURT126,E014,95,779,-0.011452349095373642
R4B__KURT126,E017,266,608,0.08843023259569033
R4B__KURT126,E022,53,821,0.052881727395225786
R4B__KURT126,E024,41,833,0.05033065114724289
R4B__KURT126,E025,42,832,0.026639365212485833
R4B__KURT126,E028,38,836,0.021851683998885423
