attack_arm_id,native_weeks,common_weeks,native_start,native_end,native_spearman_a4,spearman_a4,block4_95_lower_spearman,block4_one_sided_p,block8_spearman_a4,block8_95_lower_spearman,block8_one_sided_p_diagnostic,causal_diagnostic_weeks,top_fraction,positive_upside_capture,top_mean_a4,rest_mean_a4,top_median_a4,rest_median_a4,top_positive_rate,rest_positive_rate,b4_lift,auc_b4,top_median_w4,rest_median_w4,top_severe_w4_rate,rest_severe_w4_rate,bh_q_value,positive_rankic_year_fraction
A4__RV21_LVL,883,883,2004-12-31,2021-11-26,-0.157501366257802,-0.157501366257802,-0.2482429817227198,0.997,-0.157501366257802,-0.25658990212246796,0.993,883,0.35447338618346547,0.23756560162156845,0.004877925533975357,0.0078070261430722475,0.010706984062789074,0.017540543479650984,0.6517571884984026,0.6701754385964912,0.9820846372766032,0.48579653187161714,-0.012798488331763207,-0.017807741647093,0.08945686900958466,0.17192982456140352,1.0,0.11764705882352941
A4__RV126_LVL,883,883,2004-12-31,2021-11-26,-0.15005010628696114,-0.15005010628696114,-0.24085873888674622,0.995,-0.15005010628696114,-0.24945536990066183,0.988,883,0.2536806342015855,0.17859481088344414,0.00471173853432299,0.007467930443091226,0.0101989222586151,0.015780527262375634,0.6517857142857143,0.6676783004552352,0.9821276206728425,0.4811137541512968,-0.012593128953331822,-0.01666259002235178,0.09375,0.15933232169954475,1.0,0.23529411764705882
A4__RV_RATIO_LVL,883,883,2004-12-31,2021-11-26,-0.027031458981362385,-0.027031458981362385,-0.11192602411166523,0.689,-0.027031458981362385,-0.11890277224223325,0.679,883,0.33069082672706684,0.3264561192327865,0.009590128258217989,0.0053747515097898714,0.014185391735711955,0.013779396456026584,0.684931506849315,0.6531302876480541,1.0320725606620225,0.5052918261109387,-0.013785114803991512,-0.016530277040868166,0.08904109589041095,0.1692047377326565,1.0,0.23529411764705882
A4__DOWNSIDE_VAR63_LVL,883,883,2004-12-31,2021-11-26,-0.10040481041270938,-0.10040481041270938,-0.1840516810488772,0.9725,-0.10040481041270938,-0.18867812166656628,0.9715,883,0.23669309173272934,0.18120309176386915,0.004158243493170881,0.0075782235958646174,0.011939080069998614,0.014792094568923483,0.6555023923444976,0.6661721068249258,0.9877280075771184,0.4921685570149735,-0.01354787118081736,-0.015943719103189306,0.10047846889952153,0.15578635014836795,1.0,0.11764705882352941
A4__RET21_LVL,883,883,2004-12-31,2021-11-26,-0.06644103760504114,-0.06644103760504114,-0.14809856038214142,0.8995,-0.06644103760504114,-0.1487607629270286,0.902,883,0.2480181200453001,0.23156011759246486,0.00735556022116357,0.006575192628389526,0.013676601734125618,0.01396198237834375,0.680365296803653,0.6581325301204819,1.0251920769242757,0.5000229829581365,-0.012122656341226565,-0.015870893368871826,0.136986301369863,0.14457831325301204,1.0,0.23529411764705882
A4__RET126_LVL,883,883,2004-12-31,2021-11-26,-0.08187278744584339,-0.08187278744584339,-0.17569996778405636,0.92,-0.08187278744584339,-0.18775782073954742,0.891,883,0.23103057757644394,0.18285675420402545,0.001396060895689647,0.008382914832054169,0.011482736723447236,0.015060492336882088,0.6470588235294118,0.6686303387334315,0.9750050190724755,0.5130083543052826,-0.017067370293576557,-0.0149044890721493,0.14705882352941177,0.14138438880706922,1.0,0.0
A4__SMA_GAP_LVL,883,883,2004-12-31,2021-11-26,-0.024578800942800676,-0.024578800942800676,-0.11721038203188348,0.656,-0.024578800942800676,-0.1298707984814534,0.6425,883,0.18006795016987542,0.1717705015764821,0.0018046695548040645,0.007858913169159697,0.013408524848026451,0.014096606414824533,0.6415094339622641,0.6685082872928176,0.9666430549294868,0.5206559336252169,-0.02250505367550198,-0.014597100820821874,0.16981132075471697,0.13674033149171272,1.0,0.17647058823529413
A4__DRAWDOWN252_LVL,883,883,2004-12-31,2021-11-26,-0.19811064401267772,-0.19811064401267772,-0.28515930252635185,1.0,-0.19811064401267772,-0.2989425056154707,0.999,883,0.3420158550396376,0.21391267433000885,0.002880358800002512,0.008789891972607072,0.008175900054131793,0.01842182133916832,0.6423841059602649,0.6746987951807228,0.9679610333838121,0.4768274324588318,-0.012626202055326437,-0.01706345666433064,0.08940397350993377,0.1703958691910499,1.0,0.0
A4__SKEW63_LVL,883,883,2004-12-31,2021-11-26,0.01876140298440136,0.01876140298440136,-0.06285790999972939,0.3645,0.01876140298440136,-0.07171705981826154,0.3705,883,0.20385050962627407,0.20875562116008092,0.00945204544779152,0.00608168906555191,0.01567456051704709,0.013540906649591688,0.6833333333333333,0.6586059743954481,1.0296643913538113,0.4991898507256869,-0.01215285204633166,-0.015780230888255895,0.1388888888888889,0.14366998577524892,1.0,0.7647058823529411
A4__KURT126_LVL,883,883,2004-12-31,2021-11-26,-0.048620807326328036,-0.048620807326328036,-0.1398600197856798,0.808,-0.048620807326328036,-0.13697055606564876,0.797,883,0.1245753114382786,0.08208189611563015,-0.0016842967332916545,0.007971627728780788,0.003608041129360976,0.015009662650534387,0.5636363636363636,0.6778783958602846,0.8493018926466025,0.4857965318716172,-0.014968824861703606,-0.01545082784180666,0.12727272727272726,0.1448900388098318,1.0,0.5294117647058824
