attack_arm_id,risk_low,attack_high,weeks,fraction_of_common,mean_a4,median_a4,positive_rate,median_w4,severe_w4_rate
A4__RV21_LVL,True,False,297,0.3363533408833522,0.018425836409893346,0.022580870798370994,0.7643097643097643,-0.010631229874995218,0.10101010101010101
A4__RV21_LVL,True,True,127,0.1438278595696489,0.009091152957251093,0.013195649189174825,0.7086614173228346,-0.012798488331763207,0.07086614173228346
A4__RV126_LVL,True,False,380,0.43035107587768967,0.015936305859807424,0.02108506699060078,0.7447368421052631,-0.012425994770224609,0.09473684210526316
A4__RV126_LVL,True,True,44,0.04983012457531144,0.012983036649599782,0.012088630739225285,0.7727272727272727,-0.005808496179898762,0.06818181818181818
A4__RV_RATIO_LVL,True,False,240,0.2718006795016987,0.01583430682513193,0.019821637791531864,0.7625,-0.010590560311530819,0.10833333333333334
A4__RV_RATIO_LVL,True,True,184,0.20838052095130238,0.015363131528682331,0.020661992711254074,0.7282608695652174,-0.013627351428632873,0.07065217391304347
A4__DOWNSIDE_VAR63_LVL,True,False,306,0.3465458663646659,0.016195611696891647,0.020468588548254386,0.7418300653594772,-0.011722867014255296,0.10784313725490197
A4__DOWNSIDE_VAR63_LVL,True,True,118,0.13363533408833522,0.01416264966152854,0.01741850627383641,0.7627118644067796,-0.011575625848820836,0.05084745762711865
A4__RET21_LVL,True,False,284,0.32163080407701017,0.01618107051844107,0.01971337169078837,0.75,-0.012456203096833752,0.08098591549295775
A4__RET21_LVL,True,True,140,0.15855039637599094,0.01451161294337106,0.020661992711254074,0.7428571428571429,-0.009860914165464155,0.11428571428571428
A4__RET126_LVL,True,False,281,0.318233295583239,0.017749176657336312,0.021467883129706614,0.7544483985765125,-0.010010890726039346,0.08540925266903915
A4__RET126_LVL,True,True,143,0.16194790486976218,0.011465253137046912,0.0150964177250425,0.7342657342657343,-0.014958868114865376,0.1048951048951049
A4__SMA_GAP_LVL,True,False,306,0.3465458663646659,0.0167728092315204,0.019949527442841498,0.7647058823529411,-0.009177382140900182,0.0784313725490196
A4__SMA_GAP_LVL,True,True,118,0.13363533408833522,0.012665849275118391,0.02108506699060078,0.7033898305084746,-0.018933541923144115,0.1271186440677966
A4__DRAWDOWN252_LVL,True,False,264,0.29898074745186864,0.019710532220719,0.02380406829640714,0.7765151515151515,-0.01254568162072437,0.12121212121212122
A4__DRAWDOWN252_LVL,True,True,160,0.1812004530011325,0.008896683331496222,0.010765939067107867,0.7,-0.010813885308583243,0.04375
A4__SKEW63_LVL,True,False,314,0.3556058890147225,0.014557708458975051,0.01905465383172221,0.7388535031847133,-0.012678487691923666,0.10191082802547771
A4__SKEW63_LVL,True,True,110,0.1245753114382786,0.018690267119918596,0.023193895062739812,0.7727272727272727,-0.008674056356995499,0.06363636363636363
A4__KURT126_LVL,True,False,383,0.4337485843714609,0.01634796372583319,0.021211554047438706,0.7519582245430809,-0.011655283639033997,0.09921671018276762
A4__KURT126_LVL,True,True,41,0.0464326160815402,0.008921456885734163,0.014399899739146552,0.7073170731707317,-0.013232344430100084,0.024390243902439025
A4__VIX_LEVEL_LVL,True,False,310,0.3510758776896942,0.018169155467724397,0.023021588472967022,0.7645161290322581,-0.012375521828710946,0.11612903225806452
A4__VIX_LEVEL_LVL,True,True,114,0.1291053227633069,0.008724663546619724,0.010628854746432187,0.7017543859649122,-0.009782885854040423,0.02631578947368421
A4__VIX_RV_GAP_LVL,True,False,328,0.3714609286523216,0.015697677616122205,0.02108506699060078,0.7439024390243902,-0.012979973506949561,0.0975609756097561
A4__VIX_RV_GAP_LVL,True,True,96,0.1087202718006795,0.015398037304386747,0.01855740185997909,0.7604166666666666,-0.007655457150527482,0.07291666666666667
A4__DOWN_VOLUME21_LVL,True,False,297,0.3363533408833522,0.015267149276176359,0.01920964714043758,0.7239057239057239,-0.014958868114865376,0.10774410774410774
A4__DOWN_VOLUME21_LVL,True,True,127,0.1438278595696489,0.01647800397074671,0.022186047911910176,0.8031496062992126,-0.00861522793520228,0.05511811023622047
A4__VOLUME_SHOCK_LVL,True,False,220,0.2491506228765572,0.016306690517722832,0.02017473416995608,0.7681818181818182,-0.010375776040655637,0.10454545454545454
A4__VOLUME_SHOCK_LVL,True,True,204,0.23103057757644394,0.014899891791226411,0.020188503667525007,0.7254901960784313,-0.013015416380931646,0.0784313725490196
A4__YC_10Y3M_LVL,True,False,314,0.3556058890147225,0.017637831524221166,0.01979945435115124,0.7643312101910829,-0.010346983555518257,0.054140127388535034
A4__YC_10Y3M_LVL,True,True,110,0.1245753114382786,0.009897915824579696,0.022755648150489388,0.7,-0.019739539515069595,0.2
A4__YC_10Y2Y_LVL,True,False,253,0.2865232163080408,0.016235133987836787,0.01920964714043758,0.7549407114624506,-0.010965314105376994,0.05533596837944664
A4__YC_10Y2Y_LVL,True,True,171,0.19365798414496035,0.014734274505184239,0.0230231254573436,0.7368421052631579,-0.012013599557556527,0.14619883040935672
A4__RSP_SPY63_LVL,True,False,318,0.47181008902077154,0.013017617795545682,0.016089498043819313,0.7169811320754716,-0.011222146313461087,0.08490566037735849
