attack_arm_id,conditional_registered,conditional_common_weeks,conditional_high_weeks,conditional_low_weeks,conditional_cells_valid,conditional_a4_contrast,conditional_block95_lower,conditional_one_sided_p,conditional_w4_harm_veto,conditional_bh_q
A4__RV21_LVL,False,883,127,297,True,-0.009334683452642253,-0.01745375130612992,0.988,True,
A4__RV126_LVL,False,883,44,380,False,-0.0029532692102076426,-0.011981266483495172,0.7425,False,
A4__RV_RATIO_LVL,False,883,184,240,True,-0.0004711752964496,-0.007269668873767126,0.434,True,
A4__DOWNSIDE_VAR63_LVL,True,883,118,306,True,-0.0020329620353631075,-0.010040216919374303,0.745,False,0.8939999999999999
A4__RET21_LVL,False,883,140,284,True,-0.00166945757507001,-0.009266551156292187,0.6995,True,
A4__RET126_LVL,False,883,143,281,True,-0.0062839235202894,-0.014579338794997558,0.9365,True,
A4__SMA_GAP_LVL,False,883,118,306,True,-0.004106959956402008,-0.014314137790647862,0.7955,True,
A4__DRAWDOWN252_LVL,False,883,160,264,True,-0.01081384888922278,-0.01819907659027906,0.9965,False,
A4__SKEW63_LVL,True,883,110,314,True,0.004132558660943544,-0.00395588626835061,0.1935,False,0.873
A4__KURT126_LVL,True,883,41,383,False,-0.007426506840099026,-0.018380484816849455,0.9105,True,0.9105
A4__VIX_LEVEL_LVL,False,883,114,310,True,-0.009444491921104673,-0.017237039304117893,0.9925,False,
A4__VIX_RV_GAP_LVL,True,883,96,328,True,-0.00029964031173545895,-0.00924340594499806,0.582,False,0.873
A4__DOWN_VOLUME21_LVL,True,883,127,297,True,0.0012108546945703517,-0.005468502720506207,0.445,False,0.873
A4__VOLUME_SHOCK_LVL,True,883,204,220,True,-0.001406798726496421,-0.008516248862933274,0.5085,True,0.873
A4__YC_10Y3M_LVL,False,883,110,314,True,-0.00773991569964147,-0.01779862125865613,0.829,True,
A4__YC_10Y2Y_LVL,False,883,171,253,True,-0.0015008594826525484,-0.009664040818511542,0.4955,True,
A4__RSP_SPY63_LVL,False,674,106,318,True,0.010448866924507952,0.0004005267360199955,0.0475,True,
A4__SMA_GAP_D4,False,883,140,284,True,0.004259230992542117,-0.0034848503376663956,0.158,True,
A4__RV_RATIO_D4,False,883,139,285,True,-0.004980796459245609,-0.011822706217963622,0.898,True,
A4__RSP_SPY63_D4,False,674,139,285,True,0.0011059279176048181,-0.006074123043242252,0.309,True,
