attack_arm_id,weeks,defense_benefit_proxy,missed_upside_proxy,net_timing_proxy
A4__DOWNSIDE_VAR63_LVL,883,4.545042103227248,7.098903455033625,-2.5538613518063773
A4__DOWN_VOLUME21_LVL,883,4.835393561664928,6.788577629101486,-1.953184067436558
A4__DRAWDOWN252_LVL,883,4.2618503823221126,6.8153140003644666,-2.553463618042354
A4__KURT126_LVL,883,4.877242145910833,7.958276263084608,-3.0810341171737754
A4__RET126_LVL,883,4.23856674896394,7.08456633444633,-2.8459995854823896
A4__RET21_LVL,883,4.479348131527424,6.662312084152747,-2.1829639526253226
A4__RSP_SPY63_D4,674,2.7423350788547314,5.173113386569742,-2.430778307715011
A4__RSP_SPY63_LVL,674,3.3168863578161343,5.8060553702108395,-2.4891690123947052
A4__RV126_LVL,883,4.660833959855308,7.121517040853867,-2.4606830809985585
A4__RV21_LVL,883,4.3852425690117185,6.610245019787309,-2.22500245077559
A4__RV_RATIO_D4,883,4.440005828603031,6.267598807086901,-1.82759297848387
A4__RV_RATIO_LVL,883,4.251332297776116,5.839571368919023,-1.5882390711429064
A4__SKEW63_LVL,883,4.722311530757972,6.860025237299469,-2.137713706541497
A4__SMA_GAP_D4,883,4.093982548477723,6.442929813621136,-2.348947265143413
A4__SMA_GAP_LVL,883,4.335756687400876,7.180683254636687,-2.8449265672358113
A4__VIX_LEVEL_LVL,883,4.50134773256347,6.907512658085285,-2.4061649255218143
A4__VIX_RV_GAP_LVL,883,3.7333982799442755,6.147113895488726,-2.4137156155444504
A4__VOLUME_SHOCK_LVL,883,3.521224980998965,5.533315519699869,-2.012090538700904
A4__YC_10Y2Y_LVL,883,3.8318751193531124,6.009111180845069,-2.177236061491956
A4__YC_10Y3M_LVL,883,4.145247872391213,7.132603946084847,-2.9873560736936344
