attack_arm_id,cost_bps,active_terminal_wealth,dynamic_mdd
A4__RV21_LVL,0,-0.1395204339521542,-0.1835728758288359
A4__RV21_LVL,5,-0.1600737206422073,-0.1838201719117159
A4__RV21_LVL,10,-0.1801410541386782,-0.1840674445625503
A4__RV21_LVL,20,-0.2188630856008355,-0.1845619195738247
A4__RV126_LVL,0,-0.1791690141733795,-0.2142669963754742
A4__RV126_LVL,5,-0.1831030934360064,-0.2146896261718185
A4__RV126_LVL,10,-0.187019316659978,-0.2151121291598173
A4__RV126_LVL,20,-0.1947985006463699,-0.2159567547534627
A4__RV_RATIO_LVL,0,-0.0056240929809118,-0.2713169972047099
A4__RV_RATIO_LVL,5,-0.0282718622248213,-0.2713169972047095
A4__RV_RATIO_LVL,10,-0.0504094425898864,-0.2713169972047097
A4__RV_RATIO_LVL,20,-0.0931992507767874,-0.2713169972047095
A4__DOWNSIDE_VAR63_LVL,0,-0.0471173782885926,-0.2002836949171522
A4__DOWNSIDE_VAR63_LVL,5,-0.0652149006866937,-0.2009184676452077
A4__DOWNSIDE_VAR63_LVL,10,-0.0829731324340063,-0.201552885965118
A4__DOWNSIDE_VAR63_LVL,20,-0.1174967212209213,-0.2028206598537295
A4__RET21_LVL,0,0.0037350981501751,-0.1837729146059017
A4__RET21_LVL,5,-0.0326593323856768,-0.184020200091507
A4__RET21_LVL,10,-0.0677428964534891,-0.1842674621205147
A4__RET21_LVL,20,-0.1341633568480223,-0.1847619158144969
A4__RET126_LVL,0,-0.1605190289031273,-0.2323544359387949
A4__RET126_LVL,5,-0.1742883512128493,-0.2325715527818848
A4__RET126_LVL,10,-0.1878352177372948,-0.2327886565094641
A4__RET126_LVL,20,-0.2142756844944545,-0.2332228246196424
A4__SMA_GAP_LVL,0,-0.2336768118623705,-0.3120687124423432
A4__SMA_GAP_LVL,5,-0.236454189764445,-0.3122449705707554
A4__SMA_GAP_LVL,10,-0.2392222355511658,-0.3124212265609799
A4__SMA_GAP_LVL,20,-0.2447304461282521,-0.3127737321268657
A4__DRAWDOWN252_LVL,0,-0.1631799122086739,-0.200479639254291
A4__DRAWDOWN252_LVL,5,-0.1949668003041216,-0.2011143053992424
