attack_arm_id,episode_id,removed_weeks,remaining_weeks,spearman_a4_without_event
A4__RV21_LVL,E014,95,788,-0.1554206758279905
A4__RV21_LVL,E017,257,626,-0.2401402204319978
A4__RV21_LVL,E022,44,839,-0.15659012746735093
A4__RV21_LVL,E024,32,851,-0.16433135343477193
A4__RV21_LVL,E025,33,850,-0.15139475951238854
A4__RV21_LVL,E028,29,854,-0.12916881791856882
A4__RV126_LVL,E014,95,788,-0.13700953497362384
A4__RV126_LVL,E017,257,626,-0.20664091596985495
A4__RV126_LVL,E022,44,839,-0.15434298051802126
A4__RV126_LVL,E024,32,851,-0.14439652360836758
A4__RV126_LVL,E025,33,850,-0.13483093605747307
A4__RV126_LVL,E028,29,854,-0.10945067779667683
A4__RV_RATIO_LVL,E014,95,788,-0.03700163067028614
A4__RV_RATIO_LVL,E017,257,626,-0.10845853524313251
A4__RV_RATIO_LVL,E022,44,839,-0.01564026061581112
A4__RV_RATIO_LVL,E024,32,851,-0.03997936050671904
A4__RV_RATIO_LVL,E025,33,850,-0.025725954597291118
A4__RV_RATIO_LVL,E028,29,854,-0.0392078056113127
A4__DOWNSIDE_VAR63_LVL,E014,95,788,-0.10274402439695231
A4__DOWNSIDE_VAR63_LVL,E017,257,626,-0.17757084549887642
A4__DOWNSIDE_VAR63_LVL,E022,44,839,-0.08711402083967447
A4__DOWNSIDE_VAR63_LVL,E024,32,851,-0.1067251841734029
A4__DOWNSIDE_VAR63_LVL,E025,33,850,-0.10971970081293825
A4__DOWNSIDE_VAR63_LVL,E028,29,854,-0.08727683756890929
A4__RET21_LVL,E014,95,788,-0.06874872670943556
A4__RET21_LVL,E017,257,626,-0.13553093538376876
A4__RET21_LVL,E022,44,839,-0.08421255070024346
A4__RET21_LVL,E024,32,851,-0.05688351439945403
A4__RET21_LVL,E025,33,850,-0.07369180645314144
A4__RET21_LVL,E028,29,854,-0.08127808036995222
A4__RET126_LVL,E014,95,788,-0.08312465081458592
A4__RET126_LVL,E017,257,626,-0.1592219025635538
A4__RET126_LVL,E022,44,839,-0.09231835181183906
A4__RET126_LVL,E024,32,851,-0.06955129546894974
A4__RET126_LVL,E025,33,850,-0.07129934558020556
A4__RET126_LVL,E028,29,854,-0.03919169861694191
A4__SMA_GAP_LVL,E014,95,788,-0.026616288402547653
A4__SMA_GAP_LVL,E017,257,626,-0.07253877126740756
A4__SMA_GAP_LVL,E022,44,839,-0.03336007951927574
A4__SMA_GAP_LVL,E024,32,851,-0.014458451823820507
A4__SMA_GAP_LVL,E025,33,850,-0.0124698076113763
A4__SMA_GAP_LVL,E028,29,854,0.019658981597710765
A4__DRAWDOWN252_LVL,E014,95,788,-0.18945728894658495
A4__DRAWDOWN252_LVL,E017,257,626,-0.29579014923917
A4__DRAWDOWN252_LVL,E022,44,839,-0.19568845226581533
A4__DRAWDOWN252_LVL,E024,32,851,-0.1994151642253686
