fold_type,outer_year,inner_fold,train_start_signal,train_end_signal,test_start_signal,test_end_signal,train_weeks,test_weeks
outer,2014,,2003-08-01,2013-09-27,2014-01-03,2014-12-26,531,52
inner,2014,1.0,2003-08-01,2009-07-02,2009-10-09,2010-10-01,310,52
inner,2014,2.0,2003-08-01,2010-07-02,2010-10-08,2011-09-30,362,52
inner,2014,3.0,2003-08-01,2011-07-01,2011-10-07,2012-09-28,414,52
inner,2014,4.0,2003-08-01,2012-06-29,2012-10-05,2013-09-27,466,52
outer,2015,,2003-08-01,2014-09-26,2015-01-02,2015-12-24,583,52
inner,2015,1.0,2003-08-01,2009-07-02,2009-10-09,2010-10-01,310,52
inner,2015,2.0,2003-08-01,2010-07-02,2010-10-08,2011-09-30,362,52
inner,2015,3.0,2003-08-01,2011-07-01,2011-10-07,2012-09-28,414,52
inner,2015,4.0,2003-08-01,2012-06-29,2012-10-05,2013-09-27,466,52
inner,2015,5.0,2003-08-01,2013-06-28,2013-10-04,2014-09-26,518,52
outer,2016,,2003-08-01,2015-09-25,2015-12-31,2016-12-23,635,52
inner,2016,1.0,2003-08-01,2010-07-02,2010-10-08,2011-09-30,362,52
inner,2016,2.0,2003-08-01,2011-07-01,2011-10-07,2012-09-28,414,52
inner,2016,3.0,2003-08-01,2012-06-29,2012-10-05,2013-09-27,466,52
inner,2016,4.0,2003-08-01,2013-06-28,2013-10-04,2014-09-26,518,52
inner,2016,5.0,2003-08-01,2014-06-27,2014-10-03,2015-09-25,570,52
outer,2017,,2003-08-01,2016-09-23,2016-12-30,2017-12-22,687,52
inner,2017,1.0,2003-08-01,2011-07-01,2011-10-07,2012-09-28,414,52
inner,2017,2.0,2003-08-01,2012-06-29,2012-10-05,2013-09-27,466,52
inner,2017,3.0,2003-08-01,2013-06-28,2013-10-04,2014-09-26,518,52
inner,2017,4.0,2003-08-01,2014-06-27,2014-10-03,2015-09-25,570,52
inner,2017,5.0,2003-08-01,2015-06-26,2015-10-02,2016-09-23,622,52
outer,2018,,2003-08-01,2017-09-22,2017-12-29,2018-12-28,739,53
inner,2018,1.0,2003-08-01,2012-06-29,2012-10-05,2013-09-27,466,52
inner,2018,2.0,2003-08-01,2013-06-28,2013-10-04,2014-09-26,518,52
inner,2018,3.0,2003-08-01,2014-06-27,2014-10-03,2015-09-25,570,52
inner,2018,4.0,2003-08-01,2015-06-26,2015-10-02,2016-09-23,622,52
inner,2018,5.0,2003-08-01,2016-06-24,2016-09-30,2017-09-22,674,52
outer,2019,,2003-08-01,2018-09-28,2019-01-04,2019-12-27,792,52
inner,2019,1.0,2003-08-01,2013-07-05,2013-10-11,2014-10-03,519,52
inner,2019,2.0,2003-08-01,2014-07-03,2014-10-10,2015-10-02,571,52
inner,2019,3.0,2003-08-01,2015-07-02,2015-10-09,2016-09-30,623,52
inner,2019,4.0,2003-08-01,2016-07-01,2016-10-07,2017-09-29,675,52
inner,2019,5.0,2003-08-01,2017-06-30,2017-10-06,2018-09-28,727,52
outer,2020,,2003-08-01,2019-09-27,2020-01-03,2020-12-24,844,52
inner,2020,1.0,2003-08-01,2014-07-03,2014-10-10,2015-10-02,571,52
inner,2020,2.0,2003-08-01,2015-07-02,2015-10-09,2016-09-30,623,52
inner,2020,3.0,2003-08-01,2016-07-01,2016-10-07,2017-09-29,675,52
inner,2020,4.0,2003-08-01,2017-06-30,2017-10-06,2018-09-28,727,52
inner,2020,5.0,2003-08-01,2018-06-29,2018-10-05,2019-09-27,779,52
outer,2021,,2003-08-01,2020-09-25,2020-12-31,2021-09-24,896,39
inner,2021,1.0,2003-08-01,2015-07-02,2015-10-09,2016-09-30,623,52
inner,2021,2.0,2003-08-01,2016-07-01,2016-10-07,2017-09-29,675,52
inner,2021,3.0,2003-08-01,2017-06-30,2017-10-06,2018-09-28,727,52
inner,2021,4.0,2003-08-01,2018-06-29,2018-10-05,2019-09-27,779,52
inner,2021,5.0,2003-08-01,2019-06-28,2019-10-04,2020-09-25,831,52
