process_id,outer_year,bundle_id,family,selected_recipe_id,inner_oof_weeks,outer_train_weeks,outer_test_weeks,threshold_q75
R7R__RB00__RIDGE,2014,RB00,positive_ridge,RIDGE_A100,208,531,52,0.027796971183114347
R7R__RB00__GAM,2014,RB00,additive_spline_ridge,GAM_K3_A10,208,531,52,0.02767917302886416
R7R__RB00__LGBM,2014,RB00,monotone_lightgbm,LGBM_D1_N50,208,531,52,0.02930382689460352
R7R__RB01__RIDGE,2014,RB01,positive_ridge,RIDGE_A100,208,531,52,0.03192420651986111
R7R__RB01__GAM,2014,RB01,additive_spline_ridge,GAM_K3_A10,208,531,52,0.03202855339683488
R7R__RB01__LGBM,2014,RB01,monotone_lightgbm,LGBM_D1_N50,208,531,52,0.014613210571041793
R7R__RB02__RIDGE,2014,RB02,positive_ridge,RIDGE_A10,208,531,52,0.0337868023522568
R7R__RB02__GAM,2014,RB02,additive_spline_ridge,GAM_K3_A10,208,531,52,0.029490278553781987
R7R__RB02__LGBM,2014,RB02,monotone_lightgbm,LGBM_D1_N50,208,531,52,0.01623299672006432
R7R__RB03__RIDGE,2014,RB03,positive_ridge,RIDGE_A100,208,531,52,0.03328928717358315
R7R__RB03__GAM,2014,RB03,additive_spline_ridge,GAM_K3_A10,208,531,52,0.0352682100530371
R7R__RB03__LGBM,2014,RB03,monotone_lightgbm,LGBM_D1_N50,208,531,52,0.04225599386488193
R7R__RB04__RIDGE,2014,RB04,positive_ridge,RIDGE_A100,208,531,52,0.0315779597109273
R7R__RB04__GAM,2014,RB04,additive_spline_ridge,GAM_K3_A10,208,531,52,0.03206098855710564
R7R__RB04__LGBM,2014,RB04,monotone_lightgbm,LGBM_D1_N50,208,531,52,0.03412989973897791
R7R__RB05__RIDGE,2014,RB05,positive_ridge,RIDGE_A100,208,531,52,0.032101886396465676
R7R__RB05__GAM,2014,RB05,additive_spline_ridge,GAM_K3_A10,208,531,52,0.032105130639474275
R7R__RB05__LGBM,2014,RB05,monotone_lightgbm,LGBM_D1_N50,208,531,52,0.023052651722847248
R7R__RB06__RIDGE,2014,RB06,positive_ridge,RIDGE_A100,208,531,52,0.03215891009743645
R7R__RB06__GAM,2014,RB06,additive_spline_ridge,GAM_K3_A10,208,531,52,0.03360556340171816
R7R__RB06__LGBM,2014,RB06,monotone_lightgbm,LGBM_D1_N50,208,531,52,0.016688510939966827
R7R__RB07__RIDGE,2014,RB07,positive_ridge,RIDGE_A100,208,531,52,0.03310342064239198
R7R__RB07__GAM,2014,RB07,additive_spline_ridge,GAM_K3_A10,208,531,52,0.031455665662550314
R7R__RB07__LGBM,2014,RB07,monotone_lightgbm,LGBM_D1_N50,208,531,52,0.015419438453464808
R7R__RB08__RIDGE,2014,RB08,positive_ridge,RIDGE_A01,208,531,52,0.032962261444276816
R7R__RB08__GAM,2014,RB08,additive_spline_ridge,GAM_K3_A10,208,531,52,0.03136259819840344
R7R__RB08__LGBM,2014,RB08,monotone_lightgbm,LGBM_D1_N50,208,531,52,0.017120541081668026
R7R__RB00__RIDGE,2015,RB00,positive_ridge,RIDGE_A100,260,583,52,0.02577481820801769
R7R__RB00__GAM,2015,RB00,additive_spline_ridge,GAM_K5_A1,260,583,52,0.018967632425885565
R7R__RB00__LGBM,2015,RB00,monotone_lightgbm,LGBM_D1_N50,260,583,52,0.0214810666453137
R7R__RB01__RIDGE,2015,RB01,positive_ridge,RIDGE_A01,260,583,52,0.030561069827801393
R7R__RB01__GAM,2015,RB01,additive_spline_ridge,GAM_K3_A1,260,583,52,0.02906532658891624
R7R__RB01__LGBM,2015,RB01,monotone_lightgbm,LGBM_D1_N50,260,583,52,0.01378770105192243
R7R__RB02__RIDGE,2015,RB02,positive_ridge,RIDGE_A01,260,583,52,0.03096915869133343
R7R__RB02__GAM,2015,RB02,additive_spline_ridge,GAM_K3_A1,260,583,52,0.02453955967820247
R7R__RB02__LGBM,2015,RB02,monotone_lightgbm,LGBM_D1_N50,260,583,52,0.015764621508639526
R7R__RB03__RIDGE,2015,RB03,positive_ridge,RIDGE_A100,260,583,52,0.031143602565532433
R7R__RB03__GAM,2015,RB03,additive_spline_ridge,GAM_K3_A10,260,583,52,0.03309181230564402
R7R__RB03__LGBM,2015,RB03,monotone_lightgbm,LGBM_D1_N50,260,583,52,0.025609890686416354
R7R__RB04__RIDGE,2015,RB04,positive_ridge,RIDGE_A100,260,583,52,0.029088834378671668
R7R__RB04__GAM,2015,RB04,additive_spline_ridge,GAM_K3_A10,260,583,52,0.02938023879056178
R7R__RB04__LGBM,2015,RB04,monotone_lightgbm,LGBM_D1_N50,260,583,52,0.03367498053872965
R7R__RB05__RIDGE,2015,RB05,positive_ridge,RIDGE_A100,260,583,52,0.028864501884420052
R7R__RB05__GAM,2015,RB05,additive_spline_ridge,GAM_K3_A10,260,583,52,0.02772051760158155
R7R__RB05__LGBM,2015,RB05,monotone_lightgbm,LGBM_D1_N50,260,583,52,0.021551343773620894
R7R__RB06__RIDGE,2015,RB06,positive_ridge,RIDGE_A100,260,583,52,0.029537948517671928
R7R__RB06__GAM,2015,RB06,additive_spline_ridge,GAM_K3_A10,260,583,52,0.030084612918655995
R7R__RB06__LGBM,2015,RB06,monotone_lightgbm,LGBM_D1_N50,260,583,52,0.016258522534672536
R7R__RB07__RIDGE,2015,RB07,positive_ridge,RIDGE_A100,260,583,52,0.029935739050407424
R7R__RB07__GAM,2015,RB07,additive_spline_ridge,GAM_K3_A10,260,583,52,0.027796855879977208
R7R__RB07__LGBM,2015,RB07,monotone_lightgbm,LGBM_D1_N50,260,583,52,0.013784899059809013
R7R__RB08__RIDGE,2015,RB08,positive_ridge,RIDGE_A01,260,583,52,0.02902554393585287
R7R__RB08__GAM,2015,RB08,additive_spline_ridge,GAM_K3_A10,260,583,52,0.02728715603362543
R7R__RB08__LGBM,2015,RB08,monotone_lightgbm,LGBM_D1_N50,260,583,52,0.01306260411844385
R7R__RB00__RIDGE,2016,RB00,positive_ridge,RIDGE_A100,260,635,52,0.025340653085363186
R7R__RB00__GAM,2016,RB00,additive_spline_ridge,GAM_K5_A1,260,635,52,0.01873280957642107
R7R__RB00__LGBM,2016,RB00,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.01993628852230773
R7R__RB01__RIDGE,2016,RB01,positive_ridge,RIDGE_A01,260,635,52,0.02958309858961578
R7R__RB01__GAM,2016,RB01,additive_spline_ridge,GAM_K3_A1,260,635,52,0.026499620584647852
R7R__RB01__LGBM,2016,RB01,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.01668954679086936
R7R__RB02__RIDGE,2016,RB02,positive_ridge,RIDGE_A01,260,635,52,0.029605083585639097
R7R__RB02__GAM,2016,RB02,additive_spline_ridge,GAM_K3_A1,260,635,52,0.02389683674412325
R7R__RB02__LGBM,2016,RB02,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.018257700430684826
R7R__RB03__RIDGE,2016,RB03,positive_ridge,RIDGE_A01,260,635,52,0.031392236254390284
R7R__RB03__GAM,2016,RB03,additive_spline_ridge,GAM_K3_A10,260,635,52,0.031061990843547597
R7R__RB03__LGBM,2016,RB03,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.02591383393820927
R7R__RB04__RIDGE,2016,RB04,positive_ridge,RIDGE_A01,260,635,52,0.02900014818416162
R7R__RB04__GAM,2016,RB04,additive_spline_ridge,GAM_K3_A1,260,635,52,0.02748832428532272
R7R__RB04__LGBM,2016,RB04,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.028605709318688687
R7R__RB05__RIDGE,2016,RB05,positive_ridge,RIDGE_A01,260,635,52,0.028161240943341978
R7R__RB05__GAM,2016,RB05,additive_spline_ridge,GAM_K3_A10,260,635,52,0.026130549284878683
R7R__RB05__LGBM,2016,RB05,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.02390542612166397
R7R__RB06__RIDGE,2016,RB06,positive_ridge,RIDGE_A01,260,635,52,0.02805896956043008
R7R__RB06__GAM,2016,RB06,additive_spline_ridge,GAM_K3_A1,260,635,52,0.027203246974273683
R7R__RB06__LGBM,2016,RB06,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.0179681940511003
