process_id,outer_year,weeks,spearman_y5
R7R__RB00__RIDGE,2014,52,0.3720527912095337
R7R__RB00__RIDGE,2015,52,0.7073361870805426
R7R__RB00__RIDGE,2016,52,0.3711762714280332
R7R__RB00__RIDGE,2017,52,
R7R__RB00__RIDGE,2018,53,0.5536281547760622
R7R__RB00__RIDGE,2019,52,0.18417596207683634
R7R__RB00__RIDGE,2020,52,0.14907807855737565
R7R__RB00__RIDGE,2021,39,0.2594475272392892
R7R__RB00__GAM,2014,52,0.3720527912095337
R7R__RB00__GAM,2015,52,0.683406729263655
R7R__RB00__GAM,2016,52,0.3711762714280332
R7R__RB00__GAM,2017,52,
R7R__RB00__GAM,2018,53,0.5344446867990192
R7R__RB00__GAM,2019,52,0.1069203622857364
R7R__RB00__GAM,2020,52,0.16179240279028664
R7R__RB00__GAM,2021,39,0.2594475272392892
R7R__RB00__LGBM,2014,52,0.3057576219845904
R7R__RB00__LGBM,2015,52,0.7056354488167037
R7R__RB00__LGBM,2016,52,0.38417328828202085
R7R__RB00__LGBM,2017,52,
R7R__RB00__LGBM,2018,53,0.531436605354657
R7R__RB00__LGBM,2019,52,0.17418370357460627
R7R__RB00__LGBM,2020,52,0.27115141432088213
R7R__RB00__LGBM,2021,39,0.2449352506032781
R7R__RB01__RIDGE,2014,52,0.02561693915228838
R7R__RB01__RIDGE,2015,52,0.30954960772059215
R7R__RB01__RIDGE,2016,52,0.3373753588335623
R7R__RB01__RIDGE,2017,52,
R7R__RB01__RIDGE,2018,53,0.02296967876198556
R7R__RB01__RIDGE,2019,52,-0.38945843158163035
R7R__RB01__RIDGE,2020,52,-0.09905533135319833
R7R__RB01__RIDGE,2021,39,0.1585512666462323
R7R__RB01__GAM,2014,52,-0.00040478233423480516
R7R__RB01__GAM,2015,52,0.21118327335486212
R7R__RB01__GAM,2016,52,0.33188271053696083
R7R__RB01__GAM,2017,52,
R7R__RB01__GAM,2018,53,0.030457962314427735
R7R__RB01__GAM,2019,52,-0.3988262513167787
R7R__RB01__GAM,2020,52,-0.2646871242115774
R7R__RB01__GAM,2021,39,0.21620627269940768
R7R__RB01__LGBM,2014,52,0.30124919543337625
R7R__RB01__LGBM,2015,52,0.1872949824397876
R7R__RB01__LGBM,2016,52,0.4018972205686058
R7R__RB01__LGBM,2017,52,
R7R__RB01__LGBM,2018,53,0.35282913483801315
R7R__RB01__LGBM,2019,52,-0.10255982447772377
R7R__RB01__LGBM,2020,52,-0.04856264754367979
R7R__RB01__LGBM,2021,39,0.21216467758680393
R7R__RB02__RIDGE,2014,52,0.06939125729739516
R7R__RB02__RIDGE,2015,52,0.5377390588637666
R7R__RB02__RIDGE,2016,52,0.27104106786691323
R7R__RB02__RIDGE,2017,52,
R7R__RB02__RIDGE,2018,53,0.13218082540322093
R7R__RB02__RIDGE,2019,52,-0.16451510584257437
R7R__RB02__RIDGE,2020,52,-0.09043955398193965
R7R__RB02__RIDGE,2021,39,0.2594475272392892
R7R__RB02__GAM,2014,52,0.15572554658490434
R7R__RB02__GAM,2015,52,0.4711547616761941
R7R__RB02__GAM,2016,52,0.22139597749378412
R7R__RB02__GAM,2017,52,
R7R__RB02__GAM,2018,53,-0.009591733988521442
R7R__RB02__GAM,2019,52,-0.20522464345704622
R7R__RB02__GAM,2020,52,-0.05185131472521135
R7R__RB02__GAM,2021,39,0.2594475272392892
R7R__RB02__LGBM,2014,52,0.30124919543337625
R7R__RB02__LGBM,2015,52,0.5540763756328195
R7R__RB02__LGBM,2016,52,0.3067166296124087
R7R__RB02__LGBM,2017,52,
R7R__RB02__LGBM,2018,53,0.4812197034954277
R7R__RB02__LGBM,2019,52,-0.10208052620044929
R7R__RB02__LGBM,2020,52,0.1917400028524941
R7R__RB02__LGBM,2021,39,0.21216467758680393
R7R__RB03__RIDGE,2014,52,-0.13502382149118142
R7R__RB03__RIDGE,2015,52,0.5300723393690357
R7R__RB03__RIDGE,2016,52,0.3595572077236838
R7R__RB03__RIDGE,2017,52,
R7R__RB03__RIDGE,2018,53,-0.49212326402510453
R7R__RB03__RIDGE,2019,52,-0.0649386516208123
R7R__RB03__RIDGE,2020,52,-0.3295926470750595
R7R__RB03__RIDGE,2021,39,0.23062002421270153
R7R__RB03__GAM,2014,52,0.17989683454349698
R7R__RB03__GAM,2015,52,0.5461492178246534
R7R__RB03__GAM,2016,52,0.3373753588335623
R7R__RB03__GAM,2017,52,
R7R__RB03__GAM,2018,53,-0.5702874822298099
R7R__RB03__GAM,2019,52,-0.10726731857222337
R7R__RB03__GAM,2020,52,-0.38426367075813733
R7R__RB03__GAM,2021,39,0.20179252118611385
R7R__RB03__LGBM,2014,52,0.2775039511092381
R7R__RB03__LGBM,2015,52,0.41656664863263654
R7R__RB03__LGBM,2016,52,0.3557190410938845
R7R__RB03__LGBM,2017,52,
R7R__RB03__LGBM,2018,53,0.07135516683732163
R7R__RB03__LGBM,2019,52,0.1419981019744955
R7R__RB03__LGBM,2020,52,-0.35957915027292653
R7R__RB03__LGBM,2021,39,0.13287981728015533
R7R__RB04__RIDGE,2014,52,-0.058751264511794576
R7R__RB04__RIDGE,2015,52,0.08317229027617232
R7R__RB04__RIDGE,2016,52,0.32639006224035927
R7R__RB04__RIDGE,2017,52,
R7R__RB04__RIDGE,2018,53,0.15077532725816165
R7R__RB04__RIDGE,2019,52,-0.327584560491453
R7R__RB04__RIDGE,2020,52,-0.24382120836932514
R7R__RB04__RIDGE,2021,39,0.24503377572599536
R7R__RB04__GAM,2014,52,0.13149643257856383
R7R__RB04__GAM,2015,52,0.16671630028542253
R7R__RB04__GAM,2016,52,0.32639006224035927
R7R__RB04__GAM,2017,52,
R7R__RB04__GAM,2018,53,0.13192841135089142
R7R__RB04__GAM,2019,52,-0.3164819593238698
R7R__RB04__GAM,2020,52,-0.25421324530774786
R7R__RB04__GAM,2021,39,0.24503377572599536
R7R__RB04__LGBM,2014,52,-0.006852679396907578
R7R__RB04__LGBM,2015,52,-0.07586367692136974
R7R__RB04__LGBM,2016,52,0.344010248731384
R7R__RB04__LGBM,2017,52,
R7R__RB04__LGBM,2018,53,0.23827877718507887
R7R__RB04__LGBM,2019,52,-0.10178929397155206
R7R__RB04__LGBM,2020,52,-0.3454281996646093
R7R__RB04__LGBM,2021,39,0.12609661850054138
R7R__RB05__RIDGE,2014,52,-0.2506180909390922
R7R__RB05__RIDGE,2015,52,0.41874227931221514
R7R__RB05__RIDGE,2016,52,0.3373753588335623
R7R__RB05__RIDGE,2017,52,
R7R__RB05__RIDGE,2018,53,-0.28354511878348476
R7R__RB05__RIDGE,2019,52,-0.32018282637973083
R7R__RB05__RIDGE,2020,52,-0.22401021165272578
R7R__RB05__RIDGE,2021,39,0.17296501815952617
R7R__RB05__GAM,2014,52,-0.2616628660589276
R7R__RB05__GAM,2015,52,0.250213845328038
R7R__RB05__GAM,2016,52,0.33167145483324534
R7R__RB05__GAM,2017,52,
R7R__RB05__GAM,2018,53,-0.27773959557990596
R7R__RB05__GAM,2019,52,-0.32052978266621784
R7R__RB05__GAM,2020,52,-0.3512104157520358
R7R__RB05__GAM,2021,39,0.2594475272392892
R7R__RB05__LGBM,2014,52,0.355005545791091
R7R__RB05__LGBM,2015,52,-0.09686658009440559
R7R__RB05__LGBM,2016,52,0.36240097752748823
R7R__RB05__LGBM,2017,52,
R7R__RB05__LGBM,2018,53,0.0021162442496754637
R7R__RB05__LGBM,2019,52,-0.10212264637201583
R7R__RB05__LGBM,2020,52,-0.4829219284709975
R7R__RB05__LGBM,2021,39,0.13287981728015533
R7R__RB06__RIDGE,2014,52,-0.12715947899747665
R7R__RB06__RIDGE,2015,52,0.12889381744474973
R7R__RB06__RIDGE,2016,52,0.34265675142644836
R7R__RB06__RIDGE,2017,52,
R7R__RB06__RIDGE,2018,53,0.012536564599032412
R7R__RB06__RIDGE,2019,52,-0.5063827001277413
R7R__RB06__RIDGE,2020,52,-0.2001471191759669
R7R__RB06__RIDGE,2021,39,0.14413751513293843
R7R__RB06__GAM,2014,52,-0.1523716358155302
R7R__RB06__GAM,2015,52,0.15844553622444
R7R__RB06__GAM,2016,52,0.32617880653664383
R7R__RB06__GAM,2017,52,
R7R__RB06__GAM,2018,53,0.009086905883862418
R7R__RB06__GAM,2019,52,-0.5430444143998651
R7R__RB06__GAM,2020,52,-0.2943462851017285
R7R__RB06__GAM,2021,39,0.1585512666462323
R7R__RB06__LGBM,2014,52,0.06076345665154092
R7R__RB06__LGBM,2015,52,-0.12364429686978592
R7R__RB06__LGBM,2016,52,0.37026670560822234
R7R__RB06__LGBM,2017,52,
R7R__RB06__LGBM,2018,53,0.18757120992818682
R7R__RB06__LGBM,2019,52,-0.2359504001343216
R7R__RB06__LGBM,2020,52,-0.23345392561915015
R7R__RB06__LGBM,2021,39,0.12901362458564541
R7R__RB07__RIDGE,2014,52,-0.11027427305511048
R7R__RB07__RIDGE,2015,52,0.5584159690162229
R7R__RB07__RIDGE,2016,52,0.3208974139437578
R7R__RB07__RIDGE,2017,52,
R7R__RB07__RIDGE,2018,53,-0.1991546872879847
R7R__RB07__RIDGE,2019,52,-0.2070172509372289
R7R__RB07__RIDGE,2020,52,-0.2468811843109761
R7R__RB07__RIDGE,2021,39,0.2594475272392892
R7R__RB07__GAM,2014,52,-0.22089550239670797
R7R__RB07__GAM,2015,52,0.5041913529534893
R7R__RB07__GAM,2016,52,0.24864796327307628
R7R__RB07__GAM,2017,52,
R7R__RB07__GAM,2018,53,-0.26688579132973694
R7R__RB07__GAM,2019,52,-0.21598028833814248
R7R__RB07__GAM,2020,52,-0.2815009442936701
R7R__RB07__GAM,2021,39,0.20179252118611385
R7R__RB07__LGBM,2014,52,0.30124919543337625
R7R__RB07__LGBM,2015,52,0.3404967477196013
R7R__RB07__LGBM,2016,52,0.26141378911251956
R7R__RB07__LGBM,2017,52,
R7R__RB07__LGBM,2018,53,0.24589298609786192
R7R__RB07__LGBM,2019,52,-0.16308988686701012
R7R__RB07__LGBM,2020,52,0.05031565285043183
R7R__RB07__LGBM,2021,39,0.13287981728015533
R7R__RB08__RIDGE,2014,52,-0.10645775390375374
R7R__RB08__RIDGE,2015,52,0.26229473665306857
R7R__RB08__RIDGE,2016,52,0.3208974139437578
R7R__RB08__RIDGE,2017,52,
R7R__RB08__RIDGE,2018,53,0.1005449308445888
R7R__RB08__RIDGE,2019,52,-0.49111662352231433
R7R__RB08__RIDGE,2020,52,-0.2494920259386303
R7R__RB08__RIDGE,2021,39,0.24503377572599536
R7R__RB08__GAM,2014,52,-0.07332342854424756
R7R__RB08__GAM,2015,52,0.30778393898847234
R7R__RB08__GAM,2016,52,0.23259252979070263
R7R__RB08__GAM,2017,52,
R7R__RB08__GAM,2018,53,0.028438649895791642
R7R__RB08__GAM,2019,52,-0.5074813950349499
R7R__RB08__GAM,2020,52,-0.12646916844356687
R7R__RB08__GAM,2021,39,0.2738612787525831
R7R__RB08__LGBM,2014,52,0.04244332218892155
R7R__RB08__LGBM,2015,52,0.3888015081035544
R7R__RB08__LGBM,2016,52,0.2761849308274343
R7R__RB08__LGBM,2017,52,
R7R__RB08__LGBM,2018,53,0.4966541002838191
R7R__RB08__LGBM,2019,52,-0.2517103222952252
R7R__RB08__LGBM,2020,52,0.08440521409006467
R7R__RB08__LGBM,2021,39,0.21216467758680393
