head_type,head_id,qualified,canonical,role
risk,R7R__RB00__RIDGE,False,True,risk_model
risk,R7R__RB00__GAM,False,True,risk_model
risk,R7R__RB00__LGBM,False,True,risk_model
risk,R7R__RB01__RIDGE,False,True,risk_model
risk,R7R__RB01__GAM,False,True,risk_model
risk,R7R__RB01__LGBM,False,True,risk_model
risk,R7R__RB02__RIDGE,False,True,risk_model
risk,R7R__RB02__GAM,False,True,risk_model
risk,R7R__RB02__LGBM,False,True,risk_model
risk,R7R__RB03__RIDGE,False,True,risk_model
risk,R7R__RB03__GAM,False,True,risk_model
risk,R7R__RB03__LGBM,False,True,risk_model
risk,R7R__RB04__RIDGE,False,True,risk_model
risk,R7R__RB04__GAM,False,True,risk_model
risk,R7R__RB04__LGBM,False,True,risk_model
risk,R7R__RB05__RIDGE,False,True,risk_model
risk,R7R__RB05__GAM,False,True,risk_model
risk,R7R__RB05__LGBM,False,True,risk_model
risk,R7R__RB06__RIDGE,False,True,risk_model
risk,R7R__RB06__GAM,False,True,risk_model
risk,R7R__RB06__LGBM,False,True,risk_model
risk,R7R__RB07__RIDGE,False,True,risk_model
risk,R7R__RB07__GAM,False,True,risk_model
risk,R7R__RB07__LGBM,False,True,risk_model
risk,R7R__RB08__RIDGE,False,True,risk_model
risk,R7R__RB08__GAM,False,True,risk_model
risk,R7R__RB08__LGBM,False,True,risk_model
risk_control,RAW_RSP_SENTINEL,True,True,mandatory_round8_control
attack_control,AX00_Y5_CLEAR_ONLY,True,True,mandatory_round8_control
attack_control,AX01_RAW_RSP_RECOVERY,True,True,mandatory_round8_control
attack,AX02_RSP_A4_MONOTONE,False,True,formal_a4_head
