process_id,equivalence_cluster,canonical_representative,cluster_size
R7R__RB00__GAM,EQ01,True,1
R7R__RB00__LGBM,EQ02,True,1
R7R__RB00__RIDGE,EQ03,True,1
R7R__RB01__GAM,EQ04,True,1
R7R__RB01__LGBM,EQ05,True,1
R7R__RB01__RIDGE,EQ06,True,1
R7R__RB02__GAM,EQ07,True,1
R7R__RB02__LGBM,EQ08,True,1
R7R__RB02__RIDGE,EQ09,True,1
R7R__RB03__GAM,EQ10,True,1
R7R__RB03__LGBM,EQ11,True,1
R7R__RB03__RIDGE,EQ12,True,1
R7R__RB04__GAM,EQ13,True,1
R7R__RB04__LGBM,EQ14,True,1
R7R__RB04__RIDGE,EQ15,True,1
R7R__RB05__GAM,EQ16,True,1
R7R__RB05__LGBM,EQ17,True,1
R7R__RB05__RIDGE,EQ18,True,1
R7R__RB06__GAM,EQ19,True,1
R7R__RB06__LGBM,EQ20,True,1
R7R__RB06__RIDGE,EQ21,True,1
R7R__RB07__GAM,EQ22,True,1
R7R__RB07__LGBM,EQ23,True,1
R7R__RB07__RIDGE,EQ24,True,1
R7R__RB08__GAM,EQ25,True,1
R7R__RB08__LGBM,EQ26,True,1
R7R__RB08__RIDGE,EQ27,True,1
