process_id,bundle_id,family,outer_weeks,outer_complete,native_common_direction_match,spearman_y5,y5_capture,mae10_precision,mae10_lift,alert_fraction,block13_95_lower,block13_one_sided_p,block13_se,positive_full_year_fraction,raw_rsp_spearman_y5,rho_difference_vs_rsp,rho_difference_block_se,not_worse_than_rsp_one_se,is_multifactor,incremental_gate,bh_q_value,minimum_leaveout_spearman,risk_qualified,equivalence_cluster,canonical_representative
R7R__RB00__RIDGE,RB00,positive_ridge,404,True,True,0.3273063821456539,0.9021998861481436,0.1909547738693467,1.794086712632932,0.4925742574257425,0.1890500697194724,0.0,0.0839719176361326,1.0,0.3850387788219442,-0.0577323966762902,0.0347281025861074,False,False,False,0.0,0.2444854323552266,False,EQ03,True
R7R__RB00__GAM,RB00,additive_spline_ridge,404,True,True,0.2443919800850164,0.9021998861481436,0.1909547738693467,1.794086712632932,0.4925742574257425,0.0939264727768693,0.002,0.0904681543679325,1.0,0.3850387788219442,-0.1406467987369277,0.0556868406918095,False,False,False,0.018,0.16144068623821314,False,EQ01,True
R7R__RB00__LGBM,RB00,monotone_lightgbm,404,True,True,0.2759566812627352,0.9530556718893406,0.1729957805907173,1.6253557060151114,0.5866336633663366,0.1295864831381147,0.0,0.090096751676414,1.0,0.3850387788219442,-0.109082097559209,0.0532112773851748,False,False,True,0.0,0.17361798364421466,False,EQ02,True
R7R__RB01__RIDGE,RB01,positive_ridge,404,True,True,0.1132880763519397,0.2309374235734024,0.1891891891891892,1.7774984286612194,0.1831683168316831,-0.0835196798407672,0.173,0.1109685636296264,0.6666666666666666,0.3850387788219442,-0.2717507024700044,0.1262635618890731,False,True,False,0.2224285714285714,-0.027439463275434908,False,EQ06,True
R7R__RB01__GAM,RB01,additive_spline_ridge,404,True,True,0.0715100246622607,0.1898061815491111,0.1195652173913043,1.123356926188069,0.2277227722772277,-0.0958038123947929,0.2455,0.1013709787709658,0.5,0.3850387788219442,-0.3135287541596834,0.1187618786053121,False,True,False,0.2761875,-0.04363674905145298,False,EQ04,True
R7R__RB01__LGBM,RB01,monotone_lightgbm,404,True,True,0.1338295225458792,0.6865746467789101,0.204225352112676,1.9187684245004917,0.3514851485148514,-0.0046756408140167,0.055,0.0861102651405805,0.6666666666666666,0.3850387788219442,-0.251209256276065,0.0667695019867825,False,True,True,0.1161,0.11590819603426887,False,EQ05,True
R7R__RB02__RIDGE,RB02,positive_ridge,404,True,True,0.1855572883358586,0.124782002456302,0.1212121212121212,1.1388301620859762,0.1633663366336633,-0.0138665567770101,0.064,0.1155396218253042,0.6666666666666666,0.3850387788219442,-0.1994814904860855,0.1332237605012871,False,True,False,0.1161,0.08760648833945954,False,EQ09,True
R7R__RB02__GAM,RB02,additive_spline_ridge,404,True,True,0.1330617962446397,0.1109019343831101,0.0921052631578947,0.8653610771113831,0.1881188118811881,-0.0304965139002147,0.0945,0.0981804796749615,0.5,0.3850387788219442,-0.2519769825773044,0.1076944137834259,False,True,False,0.14175,0.04622296003950788,False,EQ07,True
R7R__RB02__LGBM,RB02,monotone_lightgbm,404,True,True,0.1402088970956459,0.7279180822862668,0.204225352112676,1.9187684245004917,0.3514851485148514,-0.0231978770095272,0.08,0.100070448756724,0.8333333333333334,0.3850387788219442,-0.2448298817262982,0.0762801585502207,False,True,True,0.135,0.0931704052401491,False,EQ08,True
R7R__RB03__RIDGE,RB03,positive_ridge,404,True,True,0.2051889479933615,0.2853478930660376,0.1222222222222222,1.1483204134366924,0.2227722772277227,0.0511497032742943,0.013,0.0929949430206116,0.3333333333333333,0.3850387788219442,-0.1798498308285826,0.0905026586758432,False,True,False,0.0702,0.15516257466211525,False,EQ12,True
R7R__RB03__GAM,RB03,additive_spline_ridge,404,True,True,0.1487532809630556,0.1472169486072651,0.0769230769230769,0.7227191413237926,0.2252475247524752,-0.0096694850926739,0.062,0.0954055587867824,0.5,0.3850387788219442,-0.2362854978588886,0.1018511438362089,False,True,False,0.1161,0.09532735340862321,False,EQ10,True
R7R__RB03__LGBM,RB03,monotone_lightgbm,404,True,True,0.1555224246505844,0.5577923798093516,0.1844660194174757,1.7331226010386092,0.2549504950495049,0.0209249326252507,0.03,0.0876343389241398,0.8333333333333334,0.3850387788219442,-0.2295163541713597,0.0729789877971124,False,True,False,0.1052999999999999,0.1264895193667908,False,EQ11,True
R7R__RB04__RIDGE,RB04,positive_ridge,404,True,True,0.1799627615346559,0.2933892237960109,0.1145833333333333,1.0765503875968991,0.2376237623762376,0.0513333788970389,0.012,0.0802040632607105,0.5,0.3850387788219442,-0.2050760172872882,0.0811812078746847,False,True,False,0.0702,0.15062473466796827,False,EQ15,True
R7R__RB04__GAM,RB04,additive_spline_ridge,404,True,True,0.1447437963221829,0.2875591435966387,0.1170212765957446,1.099455714992578,0.2326732673267326,0.0127113964917793,0.037,0.0803148238909977,0.6666666666666666,0.3850387788219442,-0.2402949824997612,0.0796384087468376,False,True,False,0.1052999999999999,0.10571434482035147,False,EQ13,True
R7R__RB04__LGBM,RB04,monotone_lightgbm,404,True,True,0.0061691641867486,0.2057872004226593,0.0918367346938775,0.8628381585192217,0.2425742574257425,-0.1335723161593662,0.434,0.0901168502222302,0.3333333333333333,0.3850387788219442,-0.3788696146351956,0.1096638236974864,False,True,False,0.434,-0.05976049268782976,False,EQ14,True
R7R__RB05__RIDGE,RB05,positive_ridge,404,True,True,0.1554289019642089,0.1788828545284679,0.0989010989010989,0.9292103245591616,0.2252475247524752,-0.0130428981792962,0.0645,0.0948362199843127,0.3333333333333333,0.3850387788219442,-0.2296098768577352,0.1072459106233335,False,True,False,0.1161,0.07240777779776193,False,EQ18,True
R7R__RB05__GAM,RB05,additive_spline_ridge,404,True,True,0.0808861211905809,0.1819158447568701,0.0980392156862745,0.9211126310989513,0.2524752475247525,-0.0791506823916825,0.209,0.0987529008791305,0.3333333333333333,0.3850387788219442,-0.3041526576313632,0.1162228527363604,False,True,False,0.2459347826086956,-0.011748188197362588,False,EQ16,True
R7R__RB05__LGBM,RB05,monotone_lightgbm,404,True,True,0.0714474048513388,0.2077613703136437,0.0660377358490566,0.6204475647213691,0.2623762376237624,-0.0816726704642544,0.2095,0.0991514602783987,0.5,0.3850387788219442,-0.3135913739706053,0.0984334758345325,False,True,False,0.2459347826086956,0.06013828935359477,False,EQ17,True
R7R__RB06__RIDGE,RB06,positive_ridge,404,True,True,0.1248230286350739,0.1805858616987253,0.12,1.1274418604651162,0.1856435643564356,-0.0296129570694716,0.09,0.090533562002175,0.5,0.3850387788219442,-0.2602157501868702,0.1016387286749652,False,True,False,0.14175,0.04134536492961033,False,EQ21,True
R7R__RB06__GAM,RB06,additive_spline_ridge,404,True,True,0.0402410422284577,0.1572537171788652,0.0869565217391304,0.8169868554095046,0.2277227722772277,-0.1136178626690377,0.3245,0.0969806397247304,0.5,0.3850387788219442,-0.3447977365934864,0.111779400805594,False,True,False,0.35046,-0.06039541207306229,False,EQ19,True
R7R__RB06__LGBM,RB06,monotone_lightgbm,404,True,True,0.0238148429757776,0.2246952559911922,0.1052631578947368,0.988984088127295,0.2351485148514851,-0.1101147587587637,0.3375,0.0900388539406369,0.5,0.3850387788219442,-0.3612239358461665,0.0972276019817276,False,True,False,0.3504807692307692,0.0004788938705576357,False,EQ20,True
