process_id,episode_id,removed_weeks,remaining_weeks,spearman_without_event
R7R__RB00__GAM,E014,0,404,0.24439198008501647
R7R__RB00__GAM,E017,0,404,0.24439198008501647
R7R__RB00__GAM,E022,53,351,0.16144068623821314
R7R__RB00__GAM,E024,41,363,0.2610953448568406
R7R__RB00__GAM,E025,42,362,0.2657778045628593
R7R__RB00__GAM,E028,38,366,0.23055458353325242
R7R__RB00__LGBM,E014,0,404,0.2759566812627352
R7R__RB00__LGBM,E017,0,404,0.2759566812627352
R7R__RB00__LGBM,E022,53,351,0.17361798364421466
R7R__RB00__LGBM,E024,41,363,0.28784562975027556
R7R__RB00__LGBM,E025,42,362,0.29999151501926213
R7R__RB00__LGBM,E028,38,366,0.2715993407123844
R7R__RB00__RIDGE,E014,0,404,0.32730638214565394
R7R__RB00__RIDGE,E017,0,404,0.32730638214565394
R7R__RB00__RIDGE,E022,53,351,0.2444854323552266
R7R__RB00__RIDGE,E024,41,363,0.3306466970567969
R7R__RB00__RIDGE,E025,42,362,0.3228291041703366
R7R__RB00__RIDGE,E028,38,366,0.34178572377713107
R7R__RB01__GAM,E014,0,404,0.07151002466226077
R7R__RB01__GAM,E017,0,404,0.07151002466226077
R7R__RB01__GAM,E022,53,351,-0.04363674905145298
R7R__RB01__GAM,E024,41,363,0.105341311820659
R7R__RB01__GAM,E025,42,362,0.08975978192275473
R7R__RB01__GAM,E028,38,366,0.15839881830824895
R7R__RB01__LGBM,E014,0,404,0.1338295225458792
R7R__RB01__LGBM,E017,0,404,0.1338295225458792
R7R__RB01__LGBM,E022,53,351,0.11590819603426887
R7R__RB01__LGBM,E024,41,363,0.14986518489189538
R7R__RB01__LGBM,E025,42,362,0.13534976757121758
R7R__RB01__LGBM,E028,38,366,0.12664500212113902
R7R__RB01__RIDGE,E014,0,404,0.11328807635193976
R7R__RB01__RIDGE,E017,0,404,0.11328807635193976
R7R__RB01__RIDGE,E022,53,351,-0.027439463275434908
R7R__RB01__RIDGE,E024,41,363,0.15327393272726203
R7R__RB01__RIDGE,E025,42,362,0.10344762501883512
R7R__RB01__RIDGE,E028,38,366,0.2300327385501142
R7R__RB02__GAM,E014,0,404,0.13306179624463976
R7R__RB02__GAM,E017,0,404,0.13306179624463976
R7R__RB02__GAM,E022,53,351,0.04622296003950788
R7R__RB02__GAM,E024,41,363,0.17239865738883614
R7R__RB02__GAM,E025,42,362,0.17301496919715922
