policy_id,episode_id,removed_days,active_terminal_without_event
P00_RSP_Y5_CLEAR,E014,0,0.26681367553133617
P00_RSP_Y5_CLEAR,E017,0,0.26681367553133617
P00_RSP_Y5_CLEAR,E022,189,0.2041835820229223
P00_RSP_Y5_CLEAR,E024,133,0.24364432960479276
P00_RSP_Y5_CLEAR,E025,141,0.2039837172420662
P00_RSP_Y5_CLEAR,E028,121,0.23941268565540708
P01_RSP_RAW_RECOVERY,E014,0,0.12880572721355343
P01_RSP_RAW_RECOVERY,E017,0,0.12880572721355343
P01_RSP_RAW_RECOVERY,E022,189,0.10732462976246926
P01_RSP_RAW_RECOVERY,E024,133,0.12873009346841346
P01_RSP_RAW_RECOVERY,E025,141,0.07963288591856976
P01_RSP_RAW_RECOVERY,E028,121,0.08579716294965567
P02_RSP_A4_ISOTONIC,E014,0,0.26681367553133617
P02_RSP_A4_ISOTONIC,E017,0,0.26681367553133617
P02_RSP_A4_ISOTONIC,E022,189,0.2041835820229223
P02_RSP_A4_ISOTONIC,E024,133,0.24364432960479276
P02_RSP_A4_ISOTONIC,E025,141,0.2039837172420662
P02_RSP_A4_ISOTONIC,E028,121,0.23941268565540708
