transfer_id,cost_bps,observations,maximum_nav_absolute_error,maximum_daily_return_absolute_error,identity_passed
R9__MOM255__TOP10__WEEKLY,0.0,1008,2.55351295663786e-15,6.661338147750939e-16,True
R9__MOM255__TOP10__WEEKLY,5.0,1008,1.4432899320127035e-15,6.661338147750939e-16,True
R9__MOM255__TOP10__WEEKLY,10.0,1008,2.7755575615628914e-15,6.661338147750939e-16,True
R9__MOM255__TOP10__WEEKLY,20.0,1008,1.2212453270876722e-15,6.661338147750939e-16,True
R9__MOM255__TOP10__MONTHLY,0.0,1008,4.218847493575595e-15,5.551115123125783e-16,True
R9__MOM255__TOP10__MONTHLY,5.0,1008,2.6645352591003757e-15,7.771561172376096e-16,True
R9__MOM255__TOP10__MONTHLY,10.0,1008,3.1086244689504383e-15,6.661338147750939e-16,True
R9__MOM255__TOP10__MONTHLY,20.0,1008,3.9968028886505635e-15,4.440892098500626e-16,True
R9__MOM255__TOP20__WEEKLY,0.0,1008,1.7319479184152442e-14,8.881784197001252e-16,True
R9__MOM255__TOP20__WEEKLY,5.0,1008,1.865174681370263e-14,7.771561172376096e-16,True
R9__MOM255__TOP20__WEEKLY,10.0,1008,1.2434497875801753e-14,8.881784197001252e-16,True
R9__MOM255__TOP20__WEEKLY,20.0,1008,1.687538997430238e-14,1.1102230246251565e-15,True
R9__MOM255__TOP20__MONTHLY,0.0,1008,7.327471962526033e-15,6.661338147750939e-16,True
R9__MOM255__TOP20__MONTHLY,5.0,1008,6.217248937900877e-15,6.661338147750939e-16,True
R9__MOM255__TOP20__MONTHLY,10.0,1008,7.771561172376096e-15,6.661338147750939e-16,True
R9__MOM255__TOP20__MONTHLY,20.0,1008,1.0436096431476471e-14,8.881784197001252e-16,True
R9__MOM255__TOP50__WEEKLY,0.0,1008,2.7533531010703882e-14,8.881784197001252e-16,True
R9__MOM255__TOP50__WEEKLY,5.0,1008,3.3306690738754696e-14,1.1102230246251565e-15,True
R9__MOM255__TOP50__WEEKLY,10.0,1008,2.842170943040401e-14,8.881784197001252e-16,True
R9__MOM255__TOP50__WEEKLY,20.0,1008,2.3314683517128287e-14,8.881784197001252e-16,True
R9__MOM255__TOP50__MONTHLY,0.0,1008,4.6629367034256575e-15,6.661338147750939e-16,True
R9__MOM255__TOP50__MONTHLY,5.0,1008,9.325873406851315e-15,8.881784197001252e-16,True
R9__MOM255__TOP50__MONTHLY,10.0,1008,5.10702591327572e-15,1.1102230246251565e-15,True
R9__MOM255__TOP50__MONTHLY,20.0,1008,5.551115123125783e-15,6.661338147750939e-16,True
